year,préparant_VERB en_ADP
1800,1.8864987794131594e-08
1801,9.524730337773235e-09
1802,0.0
1803,1.1702034896643454e-08
1804,2.2246657849223084e-08
1805,5.685755422035754e-09
1806,0.0
1807,4.555128185756985e-08
1808,4.305540457494317e-08
1809,2.9367397402779716e-08
1810,7.020380277111826e-09
1811,2.757784400841956e-08
1812,7.468183227388181e-08
1813,0.0
1814,1.2586708120210233e-08
1815,1.8880564667256294e-08
1816,1.3905623319487859e-08
1817,2.1796227045456362e-08
1818,5.960588467246453e-09
1819,3.001804671498576e-08
1820,1.0679833017945839e-08
1821,4.7335142028259725e-08
1822,3.0076847679083585e-09
1823,1.2847492847356534e-08
1824,5.894778887238772e-09
1825,1.2327619813845558e-08
1826,1.0569580766173203e-08
1827,1.6591091167583727e-08
1828,1.375845182227664e-08
1829,7.715858174606183e-09
1830,2.400472176589119e-08
1831,1.5591206548037917e-08
1832,5.411987746839486e-09
1833,2.3167256557599103e-08
1834,2.8003592777992026e-09
1835,5.294161553592858e-09
1836,8.064899859050456e-09
1837,4.174734336004349e-09
1838,1.2624323808552163e-09
1839,9.788065469251706e-09
1840,7.64362617644565e-09
1841,4.494383976094696e-09
1842,1.9453969102301016e-08
1843,2.126487963494128e-08
1844,1.6465684371524958e-09
1845,9.48638767539478e-09
1846,2.2247105491146613e-08
1847,1.4022381478184798e-08
1848,1.6090443422100975e-09
1849,2.0110596077316245e-08
1850,2.987158254086353e-08
1851,1.2898877521649865e-08
1852,2.6042181744401205e-09
1853,1.2541057081705276e-08
1854,1.558699302961486e-08
1855,1.326734277995456e-08
1856,3.727576086687279e-08
1857,4.393358210563747e-08
1858,1.2234189661342043e-08
1859,9.675129142294736e-09
1860,1.0069804545764782e-08
1861,3.772770984511453e-09
1862,5.873382225018986e-09
1863,2.1476870060155306e-08
1864,1.342523781033833e-08
1865,9.88437331983505e-09
1866,1.1190909532388105e-08
1867,2.232293283555009e-08
1868,2.0747471296544973e-08
1869,1.0255390314739543e-08
1870,2.981705193860762e-08
1871,2.1242353653860846e-08
1872,9.071008832961525e-09
1873,7.781805422268917e-09
1874,5.974609251779839e-09
1875,9.7265964171811e-09
1876,1.6324239737741664e-08
1877,2.040989244278535e-08
1878,1.8117265909722846e-08
1879,1.2218650868867087e-08
1880,2.3746031807547752e-08
1881,2.998178416646624e-08
1882,1.6638462607687643e-08
1883,1.8958017378167824e-08
1884,1.650424241717019e-08
1885,2.0626034213933053e-08
1886,2.0005737511041843e-08
1887,1.9586773092328258e-08
1888,3.043495055976564e-08
1889,5.6386229019267375e-09
1890,3.2771931834929546e-08
1891,1.7210394887001712e-08
1892,1.8805536683430546e-08
