year,payant_VERB en_ADP,payant_VERB cent_DET
1800,2.5153315874604232e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,8.951360541686881e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,4.610670600868616e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,4.0662548883574345e-08,6.7770917766551975e-09
1810,1.4040760554223652e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,5.751483289628823e-09,0.0
1814,5.349351184236184e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.71256075987003e-08,1.556873407970727e-09
1818,0.0,2.384235475716423e-09
1819,2.173720581311045e-08,1.035105001712111e-09
1820,1.6613073583471305e-08,8.306536791735653e-09
1821,2.7612166775270452e-08,0.0
1822,3.208197085768916e-08,0.0
1823,7.115534828017189e-08,1.3835761869529506e-08
1824,5.894778887238772e-09,8.421112696055388e-10
1825,2.6416328680056722e-08,1.7610886082763955e-09
1826,3.3470339388941284e-08,0.0
1827,1.3825909306319772e-08,0.0
1828,3.5771975603893225e-08,2.7516904310687096e-09
1829,1.4574399298528107e-08,3.429270423183084e-09
1830,2.817945699007396e-08,0.0
1831,1.5591206548037917e-08,3.274153215215847e-08
1832,3.2471927369215337e-08,5.411987746839486e-09
1833,1.50587169400751e-08,4.6334514003376626e-09
1834,1.8669062740173104e-08,0.0
1835,1.9664028627630614e-08,3.025235173481633e-09
1836,1.4113575197427508e-08,1.3441500135158435e-09
1837,1.3219993100221927e-08,6.957890930081589e-10
1838,2.651107955387033e-08,8.837027110075724e-09
1839,1.4682098203877558e-08,1.3982950353153e-09
1840,2.4841785517537573e-08,5.732719632334238e-09
1841,2.5040138851295524e-08,0.0
1842,2.4149754196400863e-08,2.0124795163667386e-09
1843,4.0757687003178944e-08,6.497602011990011e-09
1844,1.975882035765153e-08,3.841992946007622e-09
1845,4.464182268293371e-08,8.928364714222425e-09
1846,3.219975752699611e-08,7.025401593807601e-09
1847,6.310071576365317e-08,4.314578916364553e-09
1848,7.24069959545659e-09,1.6090443422100975e-09
1849,4.608678239037545e-08,2.513824481908955e-09
1850,2.2403686905647646e-08,2.7155984128057753e-09
1851,1.870337307252612e-08,0.0
1852,3.059956199535918e-08,1.3021090872200602e-09
1853,1.3138249599364826e-08,0.0
1854,1.1950028522278444e-08,8.832629738719788e-09
1855,9.552486801567284e-09,1.5920811335945473e-09
1856,9.3189408967298e-09,1.1389816201301528e-08
1857,3.221796163188628e-08,4.881509085841174e-10
1858,1.8106600663259087e-08,1.0276719919488642e-08
1859,3.513599722282379e-08,8.656694916453489e-09
1860,1.9224172476128842e-08,9.154367819341758e-10
1861,2.3108222890755314e-08,1.8863854922557266e-09
1862,1.5361154154236445e-08,4.9697850279528666e-09
1863,2.1476870060155306e-08,5.9935452156878455e-09
1864,1.4863656971897399e-08,2.8768367688059016e-09
1865,2.5416959203994338e-08,2.3534221238463715e-09
1866,2.2868380966656332e-08,4.865612912574591e-10
1867,1.552899675516528e-08,4.85281148598915e-10
1868,2.865126980111654e-08,6.421836395986702e-09
1869,8.692664010823137e-08,0.0
1870,5.9060702994884196e-08,1.1468097582678638e-09
1871,5.523012092112367e-08,1.0621177271019633e-09
1872,1.4513614310374123e-08,3.0236697590169115e-09
1873,4.908523720814628e-08,0.0
1874,2.0313670745508716e-08,0.0
1875,1.602027666081085e-08,5.721527140956084e-10
1876,2.5997863417615008e-08,4.232210137899983e-09
1877,1.6699003069220453e-08,5.566334504436554e-09
1878,3.925407554561389e-08,0.0
1879,4.276527654223372e-08,3.0546627449723474e-09
1880,3.7223507831640745e-08,0.0
1881,1.4642265677711208e-08,1.3945015142624584e-09
1882,2.728707926280549e-08,5.324308105514319e-09
1883,2.4013488642005143e-08,5.687405213450347e-09
1884,2.3766109080725073e-08,1.3203393933736152e-09
1885,8.379326565943757e-09,0.0
1886,2.0651083898481915e-08,3.2267319927115068e-09
1887,3.003305337756501e-08,6.528924623161458e-10
1888,1.9021843655764314e-08,1.268122939990235e-09
1889,2.380751951136517e-08,6.265136742733546e-10
1890,2.8839300725280737e-08,6.554386478008212e-10
1891,1.2748440525456317e-08,7.649063604731055e-09
1892,4.262588482184526e-08,0.0
1893,3.87980243488073e-08,6.158416554491453e-10
1894,3.906954493260173e-08,1.0082462864602348e-08
1895,2.046328972937772e-08,6.018614495673091e-10
1896,3.833068834557807e-08,1.7691086373616827e-09
1897,2.4472196713531957e-08,5.826713556089658e-10
1898,3.791097780148078e-08,2.26334195829736e-09
1899,3.924580482816964e-08,2.7637891975018647e-09
1900,2.6474371139784125e-08,0.0
1901,2.179608138419553e-08,0.0
1902,3.338993082024899e-08,1.9641135384773634e-09
