year,poussant_VERB en_ADP,poussant_VERB sans_ADP
1800,3.144164395507687e-08,0.0
1801,3.333655484993869e-08,0.0
1802,1.7902721083373763e-08,1.1189200677108602e-08
1803,1.950339223455444e-09,0.0
1804,9.887403784603066e-09,0.0
1805,1.421438877713399e-08,0.0
1806,3.458002950651462e-08,2.0171682990621775e-08
1807,1.7081731584767113e-08,1.4234775136401367e-08
1808,0.0,0.0
1809,3.162642769893864e-08,3.162642769893864e-08
1810,1.1700633351097167e-08,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,0.0
1814,6.608021863030444e-08,0.0
1815,3.236668177919455e-08,0.0
1816,3.9399267848239106e-08,2.3176038865813098e-09
1817,5.4490570278176165e-08,0.0
1818,2.026600132154499e-08,0.0
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,3.085285271708926e-08,0.0
1821,2.859831660373402e-08,8.875339574387908e-09
1822,1.5038423839541792e-08,0.0
1823,5.929612356680991e-09,0.0
1824,4.210556348027694e-09,8.421112696055388e-10
1825,2.3774696877865154e-08,0.0
1826,2.906634799515473e-08,8.807984341885344e-10
1827,4.608636583469661e-09,0.0
1828,2.2930752408001354e-08,0.0
1829,4.115124596637543e-08,6.858540846366168e-09
1830,1.982998831806526e-08,4.174734336004349e-09
1831,4.8332740476553226e-08,1.5591206103948707e-09
1832,1.488296597074168e-08,1.2176972319366541e-08
1833,6.486831871654886e-08,2.3167257001688313e-09
1834,3.080395316601425e-08,1.120143711119681e-08
1835,2.117664621437143e-08,5.294161553592858e-09
1836,3.5619976301859424e-08,1.68018754465038e-08
1837,4.313892532081809e-08,1.7394727436226276e-08
1838,3.976662044102852e-08,1.8936485712828244e-09
1839,3.7054818102788545e-08,6.292327547896548e-09
1840,2.8026629905752998e-08,1.2739377330817092e-09
1841,3.0818632978935057e-08,1.219904177673925e-08
1842,4.22620693996123e-08,1.8112315203211438e-08
1843,1.1813821920725331e-08,1.7720733769266417e-09
1844,3.89687833113328e-08,0.0
1845,2.3436957263811564e-08,3.9061593959388574e-09
1846,4.56651101377048e-08,8.781752214304106e-09
1847,1.833696039454935e-08,2.6966118227278457e-09
1848,4.666228647920434e-08,8.045221711050488e-10
1849,5.111443002192573e-08,8.379414939696517e-10
1850,3.1229383523623255e-08,9.504594444820214e-09
1851,3.3537082666512674e-08,9.029214709244116e-09
1852,4.231854688896419e-08,1.9531636308300904e-09
1853,3.2845626662947325e-08,2.388772735173461e-09
1854,3.4810952342922974e-08,2.0782657816909023e-09
1855,7.376642940926104e-08,1.5920811335945473e-09
1856,3.313400931403976e-08,1.0354378687793542e-08
1857,3.417056504417815e-08,4.881509085841174e-10
1858,3.1808895073481835e-08,3.9149408159744326e-09
1859,2.49516496353408e-08,1.018434669930457e-09
1860,2.5174511364411956e-08,5.034902272882391e-09
1861,4.1500481273715195e-08,7.073945429425521e-09
1862,2.4397126097142063e-08,5.873382225018986e-09
1863,4.04564275413577e-08,1.4983863039219614e-09
1864,1.6781548595190543e-08,0.0
1865,5.5070078275321066e-08,6.118897832863013e-09
1866,2.870711601765663e-08,0.0
1867,4.367530159754551e-08,7.279217228983725e-09
1868,3.408512938563035e-08,9.879747797647553e-09
1869,3.955650385023546e-08,6.348574999037737e-09
1870,3.7844721134661086e-08,0.0
1871,8.072094948019526e-08,1.3807530230280918e-08
1872,3.870297127228639e-08,4.8378714367913744e-09
1873,4.788803698030364e-08,6.584604861359367e-09
1874,6.094101223652615e-08,0.0
1875,5.034943750814591e-08,1.1443054281912168e-09
1876,3.3857681103199866e-08,1.813804439976252e-09
1877,3.896433931060983e-08,4.9478527941460015e-09
1878,3.563062378475479e-08,3.6234530931267273e-09
1879,4.032154521382836e-08,6.10932526790009e-10
1880,3.529815373326528e-08,7.701415505323439e-09
1881,5.0899306769380814e-08,0.0
1882,4.9915387156929114e-08,1.3310770263785798e-09
1883,3.349249766415596e-08,3.159669414998234e-09
1884,4.555170907138972e-08,4.621187876807653e-09
1885,5.1565084646654213e-08,4.511945039809007e-09
1886,3.678474314039448e-08,8.38950331427668e-09
1887,3.590908548289917e-08,1.3710741875172516e-08
1888,3.867774789334533e-08,8.876860135842435e-09
1889,3.0072656975743683e-08,8.771191772893872e-09
1890,3.998175712727203e-08,2.6217545912032847e-09
1891,3.952016314201501e-08,1.2111018299343357e-08
1892,4.387958574270101e-08,1.1283322720601063e-08
1893,3.756634125995362e-08,8.005941687372342e-09
1894,4.7261544011689693e-08,1.1342770278588432e-08
1895,3.972285611553161e-08,7.824199066419624e-09
1896,5.012474701970859e-08,7.076434771491336e-09
1897,3.26295968022805e-08,3.4960281336537946e-09
1898,6.111022987642656e-08,3.3950129374460403e-09
1899,3.8693050541382945e-08,1.1055156790007459e-08
1900,3.789468705495125e-08,3.633737311048435e-09
1901,4.750427973210236e-08,2.794369402536745e-09
1902,6.62888290925423e-08,9.820567470342212e-09
1903,5.6702312178913417e-08,1.6200660812870638e-09
1904,3.171028861714831e-08,9.13686282189019e-09
1905,4.4382527542019545e-08,3.096455536422127e-09
1906,3.9095803927580164e-08,2.0576738091193647e-09
