year,entendant_VERB en_ADP
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,4.6808139586573816e-08
1804,2.4718509461507665e-09
1805,8.528633133053631e-09
1806,0.0
1807,3.4163463169534225e-08
1808,1.1330369531492579e-08
1809,0.0
1810,2.3401267590372754e-09
1811,3.5099073869560016e-08
1812,1.0668832928217853e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,1.3905623319487859e-08
1817,3.113746771532533e-08
1818,7.152706205104664e-09
1819,3.62286756150354e-08
1820,1.0679833017945839e-08
1821,4.6348993976153e-08
1822,3.0076847679083585e-09
1823,9.882686669016039e-09
1824,1.8526447931321854e-08
1825,7.924898959288385e-09
1826,1.4973573048138178e-08
1827,5.530363722527909e-09
1828,1.7427371545863934e-08
1829,3.257806824308318e-08
1830,8.349468672008697e-09
1831,1.091384405071949e-08
1832,1.0823975493678972e-08
1833,1.3900354645102198e-08
1834,1.8669062740173104e-08
1835,5.294161553592858e-09
1836,3.024337613677375e-08
1837,6.262101948095733e-09
1838,9.468243078458727e-09
1839,9.78806569129631e-09
1840,1.7198159341091923e-08
1841,8.988767952189392e-09
1842,6.037438549100216e-09
1843,8.860366718099755e-09
1844,3.1833653935109396e-08
1845,1.2834524387717039e-08
1846,1.6392604607062822e-08
1847,2.2112217834546755e-08
1848,8.045221711050488e-10
1849,5.02764896381791e-09
1850,8.82569484161877e-09
1851,1.1608989325395669e-08
1852,1.9531636752390114e-08
1853,1.4929829372789527e-08
1854,1.0910895298366086e-08
1855,1.326734277995456e-08
1856,1.0872097000458325e-08
1857,5.369659827891837e-09
1858,2.5447114637699997e-08
1859,7.638259802433822e-09
1860,4.119465657481669e-09
1861,1.084671669149273e-08
1862,1.2198563048571032e-08
1863,1.048870412745373e-08
1864,9.589456340108882e-09
1865,1.4120533187167439e-08
1866,1.0217787504984699e-08
1867,1.552899675516528e-08
1868,1.5807597009143137e-08
1869,1.8557372083449764e-08
1870,2.8670243956696595e-09
1871,7.434824089713743e-09
1872,1.9351485747165498e-08
1873,1.0176207432266438e-08
1874,1.2546679251101978e-08
1875,8.58229043387837e-09
1876,6.650616057868319e-09
1877,1.1132669008873108e-08
1878,3.200716847118201e-08
1879,3.421222061206208e-08
1880,7.059630657835214e-09
1881,2.7890030285249168e-09
1882,1.1314154502173324e-08
1883,5.055470986281563e-09
1884,1.3203393933736152e-09
1885,5.156508553483263e-09
1886,1.4842966855610484e-08
1887,5.876032105334161e-09
1888,1.1413106904001324e-08
1889,6.265136853755848e-09
1890,1.1797895382859025e-08
1891,6.3742202627281586e-09
1892,5.014809900671935e-09
1893,1.2316832942449452e-08
1894,4.4110775032635274e-09
1895,1.625025936036195e-08
1896,2.948514543632541e-09
1897,1.1070755423503442e-08
1898,5.092519295146758e-09
1899,3.3165470370022376e-09
1900,7.786579381274805e-09
1901,4.470991132876634e-09
1902,3.928227076954727e-09
1903,2.1600881083827517e-09
1904,2.6873125946735854e-09
1905,1.3934049469810361e-08
1906,6.6874399351490865e-09
1907,6.171411992550446e-09
1908,3.929111258571538e-09
1909,8.251475058784763e-09
1910,4.809735609789811e-09
1911,7.980561100850991e-09
1912,6.772247373998397e-09
1913,5.302989602995467e-09
1914,9.37544086809794e-09
1915,1.4136913861761968e-08
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
1918,4.594550517822427e-09
1919,8.287063479883727e-09
1920,1.665890891899835e-08
