year,commençant_VERB en_ADP,commençant_VERB sans_ADP
1800,5.973912209356058e-08,3.144164484325529e-09
1801,1.1429676516350185e-07,0.0
1802,2.6854081625060644e-08,0.0
1803,8.581492494386112e-08,0.0
1804,9.88740396223875e-08,2.4718509461507665e-09
1805,3.695740957709859e-08,0.0
1806,1.0085842205853623e-07,0.0
1807,2.2775640928784924e-08,0.0
1808,6.798222074166915e-08,0.0
1809,1.0391540428145163e-07,2.259030518203531e-09
1810,3.978215445954447e-08,0.0
1811,7.270522672797597e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,1.1642705288750221e-07,0.0
1815,7.282503844407984e-08,0.0
1816,1.1356259221884102e-07,0.0
1817,3.89218364205135e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,4.6579724966022695e-08,0.0
1820,6.170570543417853e-08,1.1866481131050932e-09
1821,4.536284592404627e-08,9.86148829262845e-10
1822,9.925359734097583e-08,1.0025615893027862e-09
1823,1.2847492314449482e-07,0.0
1824,8.084268010577489e-08,0.0
1825,1.1799293986314296e-07,3.522177216552791e-09
1826,8.103345550125596e-08,6.1655889282974385e-09
1827,1.6406746539132655e-07,9.217273055917019e-10
1828,7.33784091266898e-08,9.172301251858528e-10
1829,9.687688679038686e-08,0.0
1830,1.1271782796029584e-07,3.1310507520032616e-09
1831,5.9246584527272717e-08,0.0
1832,1.041807635715486e-07,0.0
1833,1.0656938198572163e-07,2.3167257001688313e-09
1834,1.0361329039199063e-07,2.8003592777992026e-09
1835,1.739510224751939e-07,2.2689263801112247e-09
1836,3.071382650432497e-07,1.3441500135158435e-09
1837,2.136072474456796e-07,0.0
1838,1.110940524018389e-07,1.5780404538645598e-08
1839,1.971595954275429e-07,6.9914749545318955e-09
1840,1.006410799142543e-07,7.64362617644565e-09
1841,1.3033713042176487e-07,3.2102742686390684e-09
1842,8.452414235193828e-08,1.341653010911159e-09
1843,1.5771452410717757e-07,4.7255288571079745e-09
1844,1.3007890165006586e-07,8.781698035420504e-09
1845,1.4006372284214308e-07,1.0044410636567136e-08
1846,1.258717781116303e-07,5.854501328173001e-09
1847,1.3752720917636907e-07,1.6179670936367074e-09
1848,1.3194163883678556e-07,2.413566457803995e-09
1849,9.217356322643866e-08,5.865590679832167e-09
1850,1.6361480437154796e-07,1.3577992064028876e-09
1851,1.709101269398161e-07,2.579775504329973e-09
1852,1.7383156292183344e-07,1.9531636308300904e-09
1853,1.9468498169139536e-07,0.0
1854,1.1690244861028987e-07,1.0391328908454511e-09
1855,1.0666943595083467e-07,2.1227748447927297e-09
1856,1.4806760662011698e-07,0.0
1857,1.415637571611228e-07,4.881508974818871e-09
1858,1.4485281196741084e-07,1.468102750479261e-09
1859,1.3494259509805318e-07,4.073738679721828e-09
1860,1.1305644398440506e-07,0.0
1861,1.2685941808143752e-07,6.13075279431996e-09
1862,1.4864174607831515e-07,2.710791813242963e-09
1863,1.6132625602072181e-07,2.4973103585068657e-09
1864,1.970633248804532e-07,1.4384183844029508e-09
1865,1.798014488407773e-07,0.0
1866,1.7856798706361587e-07,4.865612912574591e-10
1867,1.737306476456979e-07,9.7056229719783e-10
1868,1.887031895186908e-07,6.421836395986702e-09
1869,1.6457459039997957e-07,6.348574999037737e-09
1870,1.8865020479097439e-07,4.013834153937523e-09
1871,1.625040180197601e-07,1.0621177271019633e-09
1872,1.7053497236574344e-07,4.23313739617015e-09
1873,1.6341791936325123e-07,3.591602570907071e-09
1874,2.336072162378855e-07,1.2546679251101978e-08
1875,1.607749074983289e-07,2.8607636259891933e-09
1876,1.7352061831843457e-07,1.3301232115736639e-08
1877,2.22653381953819e-07,6.184815992682502e-10
1878,1.8177656524454022e-07,0.0
1879,2.3520902736606786e-07,5.498392852132383e-09
1880,1.3670013143673998e-07,2.5671385017744797e-09
1881,1.6524842749721103e-07,2.7890030285249168e-09
1882,1.8235754950524097e-07,3.3276925659464496e-09
1883,2.2749619699169443e-07,0.0
1884,1.6174157835280312e-07,0.0
