year,charmant_VERB en_ADP,charmant_VERB sans_ADP
1800,3.144164484325529e-09,1.5720821977538435e-08
1801,5.000483449535409e-08,7.143547975374531e-09
1802,0.0,1.3427040812530322e-08
1803,3.900678446910888e-09,0.0
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,1.3596443970698147e-08
1809,6.7770917766551975e-09,3.162642769893864e-08
1810,2.106114083133548e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,2.0130190847567064e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,2.5493642752394408e-08
1817,1.5568733857662664e-08,1.556873407970727e-09
1818,7.152706427149269e-09,8.344824387052086e-09
1819,1.5526575580793178e-08,3.1053151161586356e-09
1820,2.3732962262101864e-09,3.5599443393152796e-09
1821,2.3667571014129862e-08,0.0
1822,1.4035862250239006e-08,3.0076847679083585e-09
1823,1.9765373782121287e-09,0.0
1824,1.1789557774477544e-08,8.421112696055388e-10
1825,3.434122675116669e-08,5.283265824829186e-09
1826,2.025836387531399e-08,9.688783109140786e-09
1827,2.2121454890111636e-08,1.1982455028203276e-08
1828,7.337841001486822e-09,1.8344602503717056e-09
1829,2.4862210068476998e-08,8.57317605795771e-10
1830,9.39315203396518e-09,3.1310507520032616e-09
1831,1.091384405071949e-08,0.0
1832,1.2176972319366541e-08,0.0
1833,3.475088550253247e-09,9.266902800675325e-09
1834,8.401078055442213e-09,1.8669061851994684e-09
1835,9.832014313815307e-09,3.781543966852041e-09
1836,4.704525213838906e-09,0.0
1837,4.870523762079415e-09,4.174734336004349e-09
1838,3.787297142565649e-09,0.0
1839,1.3982949909063791e-08,6.9914749545318955e-09
1840,3.1848443882154243e-09,2.5478754661634184e-09
1841,1.1556987367100646e-08,5.778493683550323e-09
1842,4.695785538189057e-09,6.708265054555795e-10
1843,0.0,0.0
1844,8.781698035420504e-09,8.232841963717874e-09
1845,1.0044410636567136e-08,7.254296274794569e-09
1846,1.3465353276842507e-08,1.7563503984519002e-09
1847,5.3932236454556914e-09,1.6179670936367074e-09
1848,8.045221711050488e-10,8.84974404868899e-09
1849,5.02764896381791e-09,8.379414939696517e-10
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,4.514607354622058e-09,0.0
1852,7.812654523320361e-09,8.463708844885787e-09
1853,4.180352064508952e-09,0.0
1854,9.871762074453727e-09,4.1565315633818045e-09
1855,2.4411910715116392e-08,6.8990182455763716e-09
1856,7.7657837382894e-09,6.73034605824796e-09
1857,2.0990489346672803e-08,6.8341128311999455e-09
1858,1.1255455178993401e-08,1.5170396494568195e-08
1859,1.6804171831807935e-08,9.165912473463322e-09
1860,1.9681891672007623e-08,2.70053845952134e-08
1861,6.6023493339173456e-09,1.1789909493131745e-08
1862,1.2650361647104091e-08,1.355395884417021e-08
1863,6.493007020935693e-09,2.9967726078439227e-09
1864,2.3973639073915365e-08,6.233146443435089e-09
1865,9.413688495385486e-09,8.47231973466478e-09
1866,3.4059290943133647e-09,2.432806400776144e-09
1867,1.455843445796745e-08,4.85281148598915e-09
1868,5.9278488784286765e-09,1.0867722721741302e-08
1869,1.9534076356464425e-08,6.8369265804335555e-09
1870,5.160643912205387e-09,1.7202146374017957e-09
1871,1.3807530230280918e-08,6.37270636261178e-09
1872,3.628403577593531e-09,2.4189358072135292e-08
1873,7.183205141814142e-09,1.0774807712721213e-08
1874,9.559374625212058e-09,1.4936523129449597e-08
1875,4.005069165202713e-09,3.432916173551348e-09
1876,8.464420275799966e-09,3.02300739996042e-09
1877,1.1751150275074451e-08,7.421779191219002e-09
1878,1.4493813149663026e-08,9.058632954861423e-09
1879,8.55305515301552e-09,3.665595160740054e-09
1880,1.3477477134316018e-08,8.984985200299889e-09
1881,7.669758161910067e-09,2.7890030285249168e-09
1882,7.986462158271479e-09,8.652000893505374e-09
1883,2.5277355764075082e-09,1.8958017378167824e-09
1884,1.2543224237049344e-08,1.2543224237049344e-08
1885,9.668453704314572e-09,5.156508553483263e-09
1886,9.034849313138693e-09,8.38950331427668e-09
1887,1.2404956672984468e-08,9.793386546164129e-09
1888,9.510922049926762e-09,2.53624587998047e-09
1889,1.3783300722991498e-08,6.891650361495749e-09
1890,2.6872984115744458e-08,1.5075089621063853e-08
1891,6.374219818638949e-09,6.3742202627281586e-09
1892,1.3790726782758611e-08,5.641661360300532e-09
1893,1.4780200174868696e-08,3.079208221734575e-09
1894,1.2603078580752936e-08,9.452309157609307e-09
1895,1.2639090440913492e-08,3.611168697403855e-09
1896,1.6511681300013237e-08,5.307326134129653e-09
1897,1.4566784223291052e-08,1.7480140668268973e-09
1898,2.2633418694795182e-08,3.960848538042683e-09
1899,4.4220627160029835e-09,4.9748205555033564e-09
1900,1.349673794948103e-08,7.26747462209687e-09
1901,1.732509075091926e-08,5.588738916095792e-10
1902,7.856453987376e-09,9.820567692386817e-10
1903,9.720396265677778e-09,1.0800440541913758e-08
1904,1.1286712897629059e-08,6.987012746151322e-09
1905,1.3417973843132813e-08,6.192911072844254e-09
1906,1.1317205561578447e-08,9.259531807970234e-09
1907,1.131425531042396e-08,5.142843484406967e-09
1908,1.3751889627044989e-08,5.893666887857307e-09
1909,1.1552065692921332e-08,4.950885035270858e-09
1910,1.9238942883248455e-08,5.878565634276356e-09
1911,1.3832972878269345e-08,7.448523575703803e-09
1912,1.9795800554334164e-08,6.251305251225858e-09
1913,1.3257474229533273e-08,1.1666577037772186e-08
1914,1.5402511266415786e-08,8.705766774141921e-09
1915,2.3561523843085297e-09,0.0
1916,1.3184954461564757e-08,4.394984820521586e-09
1917,4.386569774084137e-09,0.0
1918,1.2635013924011673e-08,2.2972752589112133e-09
1919,2.8544329566670967e-08,9.207848705727883e-09
1920,1.1358347595802343e-08,8.329454459499175e-09
1921,3.0290989716519334e-09,3.0290989716519334e-09
1922,8.115729421831475e-09,5.164555005876537e-09
1923,1.2739137744688378e-08,2.1231896241147297e-09
1924,6.445812328337297e-09,1.289162443462999e-09
1925,1.8696901804560184e-08,6.598906754362588e-09
1926,8.916910765321973e-09,3.343841648018042e-09
1927,1.1149224654616319e-08,1.4493992672726108e-08
1928,9.14083297942625e-09,7.998228745975666e-09
1929,1.8938691281888964e-08,1.0026365515614089e-08
1930,1.7856125467119455e-08,2.100720708497761e-09
1931,4.5621426636444085e-09,1.0264820993199919e-08
1932,1.2055489939655217e-08,1.0959536611565568e-09
1933,2.294132506186486e-08,0.0
