year,sentant_VERB en_ADP
1800,4.087413785214267e-08
1801,4.524246932646747e-08
1802,1.3427040812530322e-08
1803,1.950339223455444e-09
1804,4.943701981119375e-08
1805,3.695740957709859e-08
1806,1.729001475325731e-08
1807,3.131650672116848e-08
1808,2.2660739507074368e-08
1809,2.4849335034105025e-08
1810,5.3822915901946544e-08
1811,2.5070768572277302e-08
1812,1.8670457180292033e-08
1813,3.4508900625951355e-08
1814,2.5173417128598885e-08
1815,2.6972236000233352e-08
1816,4.4034472068688046e-08
1817,7.317304895337884e-08
1818,2.0266001543589596e-08
1819,3.415846450138815e-08
1820,3.2039500830194356e-08
1821,6.114122896860863e-08
1822,4.110502516141423e-08
1823,7.016707570528524e-08
1824,4.463189640091514e-08
1825,5.899646993157148e-08
1826,3.2589542175998076e-08
1827,2.8573547083965423e-08
1828,3.668920572907908e-08
1829,2.6576845446601993e-08
1830,6.888311521180412e-08
1831,5.1450980143030733e-08
1832,3.92369123858316e-08
1833,6.60266827878786e-08
1834,4.667265462998671e-08
1835,4.5378527602224494e-08
1836,8.80418258297766e-08
1837,7.2362068781473e-08
1838,5.807188885320613e-08
1839,6.15249815538732e-08
1840,5.8601136720959346e-08
1841,4.6227948580224165e-08
1842,8.385331362603665e-08
1843,5.965980337530041e-08
1844,5.323904539444868e-08
1845,4.798996089405705e-08
1846,6.43995143878584e-08
1847,5.231426936092021e-08
1848,5.390298696283935e-08
1849,4.5248841340495005e-08
1850,4.073397619208663e-08
1851,5.095056665460618e-08
1852,4.362065442187202e-08
1853,6.808002606106811e-08
1854,6.390667151023877e-08
1855,5.466145225341279e-08
1856,7.092749088055683e-08
1857,7.615154418161296e-08
1858,9.787351989976045e-08
1859,7.74010380233392e-08
1860,8.10161535635956e-08
1861,7.875659502332155e-08
1862,5.8282022985522985e-08
1863,7.491931369729699e-08
1864,8.630510395235547e-08
1865,6.542513686369489e-08
1866,5.3035181579730306e-08
1867,5.580733386523207e-08
1868,7.064019857949688e-08
1869,4.7858488172458635e-08
1870,9.518520727169744e-08
1871,6.585129597169725e-08
1872,6.531126550690658e-08
1873,9.457887362174233e-08
1874,6.751308595509542e-08
1875,6.980263123068653e-08
1876,7.19475763411026e-08
1877,7.54547538894812e-08
1878,6.099479454846346e-08
1879,8.369775383876288e-08
1880,6.032775701214632e-08
1881,6.554156783966647e-08
1882,6.921600870235523e-08
1883,7.014466429922095e-08
1884,7.988053596363898e-08
1885,6.961286702633629e-08
1886,7.356948727998969e-08
1887,5.157850324621904e-08
1888,5.833365590568462e-08
1889,6.327788015791924e-08
1890,7.734175921925157e-08
1891,6.947900033082988e-08
1892,5.202865338560514e-08
1893,7.88277318974906e-08
1894,9.830401270782829e-08
1895,6.439917732414813e-08
1896,1.0201860001224361e-07
1897,6.467652169384053e-08
1898,5.092519472782442e-08
1899,5.3617512207893014e-08
1900,8.980522148149817e-08
1901,5.253414420147706e-08
1902,4.468358127951433e-08
1903,6.210253178373648e-08
1904,7.954445102598129e-08
1905,6.347733716438597e-08
1906,6.481672354397006e-08
1907,8.794262384981266e-08
1908,8.987841937369012e-08
1909,9.076622831116765e-08
1910,7.588694117544037e-08
1911,9.257450861444028e-08
1912,7.814132163552756e-08
1913,7.636304988345444e-08
1914,6.495841287090798e-08
1915,5.419150639340842e-08
1916,5.6036057571873243e-08
1917,6.360525905968473e-08
1918,9.189101302098379e-08
1919,4.143531701084058e-08
1920,7.723676276327751e-08
1921,7.118382461257511e-08
1922,7.599273332825618e-08
1923,9.023555946896522e-08
1924,1.0571131836556447e-07
1925,9.898360242566184e-08
1926,7.133528578950887e-08
1927,1.0926240456843317e-07
1928,1.0397697280950524e-07
1929,7.798284329396665e-08
1930,9.663315236885239e-08
1931,8.554017405515424e-08
1932,5.8085543486186e-08
1933,6.76769076335404e-08
1934,7.788026934463232e-08
1935,7.180970573728018e-08
1936,5.698615979099486e-08
1937,5.9178256517355976e-08
1938,9.723910920911294e-08
1939,4.5882150523368637e-08
1940,6.339457314652464e-08
1941,7.378756849973911e-08
1942,8.495793002438745e-08
1943,9.00002916637277e-08
1944,8.354284375400312e-08
1945,7.406913482554955e-08
1946,4.872386583087973e-08
1947,8.463818357284936e-08
1948,9.023667257856971e-08
1949,5.497524724340508e-08
1950,4.0414374069541736e-08
1951,9.168805648052114e-08
1952,8.963083564239582e-08
1953,7.54167928107563e-08
1954,6.840775590433168e-08
1955,6.757638004728506e-08
1956,8.110661475768666e-08
1957,7.509782040671098e-08
1958,5.21151335419745e-08
1959,6.355613058062204e-08
1960,5.536666691785541e-08
1961,5.628008847846644e-08
1962,6.849313083368003e-08
1963,5.625466470426943e-08
1964,6.753204884191177e-08
1965,6.894774395860281e-08
1966,5.982200756982081e-08
1967,5.669886049552986e-08
1968,7.994720108150943e-08
1969,4.859681013158479e-08
1970,8.23171784070098e-08
1971,6.371612970568208e-08
1972,5.23274970021248e-08
1973,5.182411455528779e-08
1974,6.075617453582538e-08
1975,4.112265727940212e-08
1976,3.9994686618083364e-08
1977,5.1128001388178745e-08
1978,4.930690877813504e-08
1979,5.734933949952392e-08
1980,5.116635565238781e-08
1981,4.5543958160365605e-08
1982,4.5314768160054086e-08
1983,5.5574780333245144e-08
1984,5.393078039706012e-08
1985,5.293691140995094e-08
1986,5.095312533009988e-08
1987,4.766437067260654e-08
1988,5.696726279591502e-08
1989,5.8722906093322536e-08
1990,5.230705035774719e-08
1991,5.3925479193139836e-08
1992,5.565043587063556e-08
1993,5.483815296303263e-08
1994,4.9056818995918405e-08
1995,5.4224509327127635e-08
1996,6.45909135066347e-08
1997,5.657975521433656e-08
1998,6.15088637800909e-08
1999,5.986963361181985e-08
2000,5.036556061099873e-08
2001,6.615629799533451e-08
2002,6.221334292177971e-08
2003,7.66713839084332e-08
2004,6.695282800395219e-08
2005,6.440361621784518e-08
2006,9.141715756610935e-08
2007,8.148737795643513e-08
2008,8.514879501486661e-08
2009,9.965522695942752e-08
2010,1.0770248304314833e-07
2011,1.0286484453114753e-07
2012,1.1574459068963705e-07
2013,1.2634736634709043e-07
2014,1.3880504234897728e-07
2015,1.316645759086299e-07
2016,1.4395813763279364e-07
2017,1.393648667580294e-07
2018,1.796700894729497e-07
2019,1.4872258957687734e-07
