year,oubliant_VERB en_ADP
1800,9.432493452976587e-09
1801,2.619300909501021e-08
1802,1.7902721083373763e-08
1803,1.1702034896643454e-08
1804,2.9662210465630778e-08
1805,1.9900143755080535e-08
1806,7.204172902675055e-08
1807,2.562259604488304e-08
1808,1.8128591960930862e-08
1809,1.1295152813062259e-08
1810,2.106114038724627e-08
1811,7.270522672797597e-08
1812,1.600324850414836e-08
1813,2.300593315851529e-08
1814,0.0
1815,2.697223555614414e-09
1816,1.622322720606917e-08
1817,4.047870982848423e-08
1818,2.98029441125891e-08
1819,9.315945015409e-09
1820,2.254631326081835e-08
1821,1.4792232216898071e-08
1822,2.8071724500478012e-08
1823,1.8777104315859106e-08
1824,4.126345398702824e-08
1825,6.60408217001418e-08
1826,3.082794464148719e-08
1827,3.6869092667757286e-08
1828,4.219258542548232e-08
1829,1.9718305044325035e-08
1830,2.817945699007396e-08
1831,5.14509785887185e-08
1832,4.058990699107312e-08
1833,4.865124125785769e-08
1834,3.080395161170202e-08
1835,2.7227116561334697e-08
1836,4.2340726480460944e-08
1837,2.1569461661208322e-08
1838,2.2723782411304683e-08
1839,3.216078425793967e-08
1840,3.949206917042147e-08
1841,2.3756030476107526e-08
1842,2.1466448174578545e-08
1843,3.485077471054865e-08
1844,3.512679169759281e-08
1845,4.073566339801715e-08
1846,1.5807154030156312e-08
1847,2.3190860787281053e-08
1848,7.24069959545659e-09
1849,2.0948537127196687e-08
1850,1.5614690873633208e-08
1851,1.9993260380601896e-08
1852,1.6927417911816178e-08
1853,2.866527215594772e-08
1854,1.2989160858012383e-08
1855,3.237231638308913e-08
1856,2.070875626536406e-08
1857,3.612316668011317e-08
1858,2.7893954257507403e-08
1859,3.41175612206257e-08
1860,2.929397768802744e-08
1861,3.159695793897299e-08
1862,2.8011514996428843e-08
1863,2.047794495085853e-08
1864,3.356309496993504e-08
1865,1.5061901947888146e-08
1866,2.4814625465552353e-08
1867,2.426405742994575e-08
1868,1.2843672791973404e-08
1869,1.9045724108934792e-08
1870,2.695002887520559e-08
1871,1.4869647735338276e-08
1872,6.047339295989218e-09
1873,2.1549616757710055e-08
1874,1.6728905816165707e-08
1875,5.149374260327022e-09
1876,2.0556449653597042e-08
1877,9.277223766979148e-09
1878,9.058632899350272e-09
1879,1.0385853066452455e-08
1880,1.5402831232691483e-08
1881,2.3009274929819412e-08
1882,3.061477182875194e-08
1883,1.64302811356265e-08
1884,5.281357573494461e-09
1885,7.090199150017185e-09
1886,1.613365974151293e-08
1887,7.834709769838355e-09
1888,1.521747527988282e-08
1889,2.5687061089296748e-08
1890,7.209825181320184e-09
1891,8.92390783491237e-09
1892,1.0029620023388475e-08
1893,6.158416554491453e-09
1894,8.822155450616265e-09
1895,4.213030146971164e-09
1896,7.076434549446731e-09
1897,3.496028022631492e-09
1898,1.3014215816120611e-08
1899,7.738609753005221e-09
1900,8.824790231898305e-09
1901,8.38310842965484e-09
1902,2.9461704187383475e-09
1903,3.7801539676252105e-09
1904,5.912087708281888e-09
1905,1.0321517862621477e-08
1906,1.4918134283448126e-08
1907,1.2857108266928208e-08
1908,8.840500109741356e-09
1909,8.801573692096554e-09
1910,1.4429207051414039e-08
1911,3.7242617878519013e-09
1912,1.2502610502451716e-08
1913,9.545381873810044e-09
1914,3.3483718020477227e-09
1915,9.424609537234119e-09
1916,6.592477230782379e-09
1917,1.6449636319748606e-08
1918,1.033773866510046e-08
1919,1.7494911963567006e-08
1920,3.028892692213958e-09
1921,1.666004423306333e-08
1922,1.1804696775641332e-08
1923,5.307974060286824e-09
1924,2.0626599095407983e-08
1925,1.0998177923937646e-09
1926,2.229227691330493e-09
1927,5.574612327308159e-09
1928,5.713020723163709e-09
1929,4.4561625500705304e-09
1930,1.05036033204442e-08
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,4.588264879146209e-09
1934,8.38710612072191e-09
1935,5.98414207075848e-09
1936,1.091224310911798e-08
1937,1.2591118148108649e-09
1938,1.1668693344901726e-08
1939,6.117620188206274e-09
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,2.3225881884414434e-08
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,6.960552134671616e-09
1947,1.7881307101674793e-08
1948,1.6307831529616124e-08
1949,6.871905600114303e-09
1950,1.0635361258337639e-08
1951,1.3859821956785368e-08
1952,1.0544803585865736e-08
1953,8.619062019654677e-09
1954,9.772535891627854e-09
1955,3.754243138587299e-09
1956,2.616342476002842e-09
1957,1.1485549400447326e-08
1958,1.2408365002158916e-08
1959,1.1626121954044777e-08
1960,1.2457499698470542e-08
1961,9.727423089245235e-09
1962,1.268391242037481e-08
1963,6.4660533594107505e-09
1964,7.909158605823308e-09
1965,1.2585699593614663e-08
1966,2.7695373772118614e-09
1967,1.0353704449350687e-08
1968,1.1677681044375277e-08
1969,9.537690970340407e-09
1970,8.737577439354993e-09
1971,1.6956712034499333e-08
1972,5.130146751852749e-09
1973,2.039885482751913e-08
1974,6.750686010192908e-09
1975,3.998036124386317e-09
1976,8.570290255249802e-09
1977,9.402850609241398e-09
1978,4.752473081737207e-09
1979,1.4044735707763323e-08
1980,8.527726302887118e-09
1981,1.012087935681194e-08
1982,8.690503427999374e-09
1983,7.57837881337764e-09
1984,1.0438215625185876e-08
1985,1.8648230737383642e-08
1986,1.1988970760601347e-08
1987,1.283271516827611e-08
1988,1.6190695673046207e-08
1989,1.2622680678475717e-08
1990,1.1987031922622293e-08
1991,7.033758464558559e-09
1992,8.815910779169656e-09
1993,1.827938511667071e-08
1994,1.1604838756618108e-08
1995,5.4224509327127635e-09
1996,1.0142374717858615e-08
1997,7.67183128136395e-09
1998,1.9072516788121163e-08
1999,2.0108885889769113e-08
2000,1.9881140955746446e-08
2001,1.2705514501609727e-08
2002,1.6210518871684343e-08
2003,6.667076779542924e-09
2004,1.7619164571769375e-08
2005,1.3511249008502091e-08
2006,1.8118715416903797e-08
2007,7.190062878414949e-09
2008,1.1920831516354369e-08
2009,1.4781396773244637e-08
2010,1.039234459598859e-08
2011,9.942326933964907e-09
2012,1.46382865828798e-08
2013,1.2551062911203559e-08
2014,1.147685946278898e-08
2015,1.50727123282568e-08
2016,1.532791626956964e-08
2017,1.106868996458843e-08
2018,8.002546958429946e-09
2019,1.122434567513153e-08
