year,demandant_VERB en_ADP,demandant_VERB sans_ADP
1800,1.2891074163690064e-07,2.829747991484055e-08
1801,9.048493865293494e-08,3.333655484993869e-08
1802,3.5805442166747525e-08,1.5664880947952042e-08
1803,3.315576790896557e-08,4.095712213825209e-08
1804,4.69651695311768e-08,1.2359254952798437e-08
1805,7.960057502032214e-08,3.1271653710973624e-08
1806,1.0950342499427279e-07,8.645007376628655e-09
1807,5.693910054560547e-08,2.562259560079383e-08
1808,5.891792298484688e-08,2.2660739951163578e-09
1809,1.3328279635516083e-07,2.0331274441787173e-08
1810,3.510190182964834e-08,9.360507036149102e-09
1811,2.1811567307850055e-07,3.008491944456182e-08
1812,8.801787032552966e-08,1.8670457180292033e-08
1813,8.91479885467561e-08,2.0130190847567064e-08
1814,8.496028414128887e-08,2.2026739543434815e-08
1815,8.90083740046066e-08,2.697223555614414e-09
1816,4.1716869958463576e-08,2.3176038865813098e-08
1817,7.7843672841027e-08,2.490997452753163e-08
1818,1.263644833215949e-07,7.033494497932224e-08
1819,1.0661581484328053e-07,1.9666995143552413e-08
1820,7.119888323359191e-08,5.102586886351901e-08
1821,7.494730880353018e-08,9.072569184809254e-08
1822,8.521773509073682e-08,5.012807946513931e-08
1823,7.807322788266902e-08,5.5343047478118024e-08
1824,1.5915902906726842e-07,2.863178316658832e-08
1825,1.1270967092968931e-07,2.289415235168235e-08
1826,9.688783109140786e-08,2.3781558056157337e-08
1827,1.4194600339578756e-07,2.949527377893446e-08
1828,1.5592911495332373e-07,6.879226077671774e-08
1829,6.944272712416932e-08,4.715246859632316e-08
1830,6.053365098068753e-08,4.696576283436116e-08
1831,8.107426907599802e-08,2.6505050598757407e-08
1832,1.1906372776593344e-07,2.0294953273491956e-08
1833,7.066013552048389e-08,2.3167256557599103e-08
1834,1.0548019702127931e-07,6.067445212920575e-08
1835,8.546289365085613e-08,2.4958190181223472e-08
1836,1.3508707752407645e-07,4.5701099793404865e-08
1837,6.54041727443655e-08,2.5048407792382932e-08
1838,9.910094433962513e-08,2.209256599883247e-08
1839,9.718150550952487e-08,3.775396728578073e-08
1840,9.17235141173478e-08,1.9109066329292546e-08
1841,1.1043343306482711e-07,3.274479709602929e-08
1842,1.1404050326291326e-07,3.6895457355967665e-08
1843,7.738053398043121e-08,4.4892523476391943e-08
1844,9.550096535804187e-08,2.6345094994439933e-08
1845,9.709596326956671e-08,6.19405291502062e-08
1846,1.1943183153562131e-07,3.5127008857216424e-08
1847,1.3159466050183255e-07,2.588747438636574e-08
1848,1.1665571264529717e-07,2.494018680465615e-08
1849,1.7345388414469198e-07,2.8490010572923552e-08
1850,1.3917441776811756e-07,2.7834883731259197e-08
1851,9.287191460316535e-08,3.611685572835199e-08
1852,1.4713832285906392e-07,2.6042181744401205e-08
1853,9.853687288341462e-08,2.329053394589664e-08
1854,7.325886741682552e-08,3.948704829781491e-08
1855,1.0666943239812099e-07,2.5473298137512757e-08
1856,1.1803991384340407e-07,4.40061072026765e-08
1857,1.2252587566763395e-07,1.9526035899275485e-08
1858,1.3017178446261823e-07,1.4191660235862713e-08
1859,9.98065985413632e-08,4.888486593301877e-08
1860,1.0893698032532484e-07,4.1194655908682876e-08
1861,1.292174118816547e-07,1.83922592711383e-08
1862,1.2876260768734937e-07,2.3493528900075944e-08
1863,1.223682062345688e-07,4.994620894649415e-08
1864,1.0020981733305234e-07,3.787835245461224e-08
1865,1.2096589330212737e-07,4.659776009496852e-08
1866,1.3915652630203112e-07,3.503241369218202e-08
1867,1.067618526917613e-07,3.6396087921275466e-08
1868,1.0867722721741302e-07,2.222943251695142e-08
1869,1.3869194503968174e-07,2.539429999615095e-08
1870,1.158277882495895e-07,2.695002976338401e-08
1871,1.1789506970671937e-07,1.805600113868877e-08
1872,9.796689681706994e-08,3.38650991693612e-08
1873,1.0116347226585276e-07,3.23244258026989e-08
1874,1.2486933087529906e-07,3.405527343458559e-08
1875,8.696721209844327e-08,2.1741803024610817e-08
1876,1.1910648822777148e-07,4.0508300713781864e-08
1877,1.1008972222725788e-07,2.2265338017746217e-08
