year,sortant_VERB en_ADP,sortant_VERB sans_ADP
1800,6.60274537267469e-08,0.0
1801,2.8574191901498125e-08,2.3811825844433088e-09
1802,5.370816325012129e-08,8.951360541686881e-09
1803,4.8758479920252285e-08,0.0
1804,4.449331636457998e-08,0.0
1805,3.4114531644036106e-08,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,7.686778502602465e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,5.421673421324158e-08,1.3554183553310395e-08
1810,1.1700633528732851e-07,0.0
1811,1.1281845502253418e-07,0.0
1812,9.068507722531649e-08,5.3344164641089264e-09
1813,4.026038169513413e-08,0.0
1814,2.2026739543434815e-08,9.440030979135372e-09
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,2.3353100786493997e-08,4.670620334934483e-09
1818,6.675859509641668e-08,1.5497530370112145e-08
1819,4.45095160728215e-08,1.6561680027393777e-08
1820,3.2039500830194356e-08,3.20394981656591e-08
1821,7.59334568556369e-08,3.94459531705138e-09
1822,9.223566621585633e-08,4.010246357211145e-09
1823,1.1958050549765176e-07,1.7788837070042973e-08
1824,1.1115868403521745e-07,7.57900142644985e-09
1825,6.251864581585664e-08,8.805443041381977e-10
1826,5.19671061738336e-08,6.1655889282974385e-09
1827,4.792982072343577e-08,1.7512819638909605e-08
1828,4.769596628761974e-08,9.172301251858528e-10
1829,6.344150449422159e-08,1.714635211591542e-09
1830,4.592207658582481e-08,1.878630406793036e-08
1831,2.6505050598757407e-08,0.0
1832,9.065079176195923e-08,5.411987746839486e-09
1833,3.3592521320180424e-08,1.6217079235048004e-08
1834,4.853955903882934e-08,4.667265685043276e-09
1835,6.42862474364847e-08,9.832014313815307e-09
1836,7.796070344845418e-08,1.1425274948351216e-08
1837,5.357576071673975e-08,1.1828414692161004e-08
1838,7.069621688060579e-08,2.5248647617104325e-09
1839,3.0762491332048114e-08,2.7965900706306e-09
1840,3.6944195591637197e-08,1.4013314952876499e-08
1841,5.906904476660202e-08,2.0545755319290038e-08
1842,4.293289723733551e-08,9.391571520467323e-09
1843,3.9576303123567413e-08,2.9534555912036353e-09
1844,4.335963543766752e-08,6.037417232818143e-09
1845,4.966402722406116e-08,1.1160455670733427e-08
1846,6.615586300995346e-08,8.781751992259501e-09
1847,3.1820020396367e-08,5.2314270249098627e-08
1848,4.505324113779352e-08,2.333114323960217e-08
1849,3.016589289472904e-08,1.1731181359664333e-08
1850,3.2587180953669304e-08,2.1724787302446202e-08
1851,5.224045551699419e-08,1.0319102239364497e-08
1852,5.4688582773465555e-08,5.859490892490271e-09
1853,3.941475013036211e-08,1.0152284346531815e-08
1854,3.896748168585873e-08,1.6106559475037585e-08
1855,4.404757802944914e-08,9.021793090369101e-09
1856,4.245295315286057e-08,6.73034605824796e-09
1857,2.6360149729676152e-08,2.928905395993553e-09
1858,4.404308290295589e-08,2.0553438895287712e-08
1859,7.179964445214182e-08,3.157147410171035e-08
