year,apprenant_VERB en_ADP,apprenant_VERB sans_ADP
1800,9.432493452976587e-09,0.0
1801,1.4287095284615248e-08,0.0
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,1.950339223455444e-09,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,2.842877755426798e-08,2.842877711017877e-09
1806,0.0,2.305335300434308e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.7192887497307083e-08,1.5862518409903714e-08
1809,4.5180611252249037e-08,0.0
1810,5.8503167643664256e-08,2.3401266702194334e-08
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,1.3336041604361526e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,4.090680105761635e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,5.3304887615013286e-08,1.1588019432906549e-08
1817,1.5568734412774177e-08,0.0
1818,3.099506162840271e-08,1.3113295338484932e-08
1819,3.9333991175283245e-08,5.175525119582858e-09
1820,3.44127952800477e-08,3.441279616822612e-08
1821,4.832129163467869e-08,3.94459531705138e-09
1822,5.1130641054442094e-08,1.0025615893027862e-09
1823,4.4472091786929013e-08,1.9765373782121287e-09
1824,4.37897851313096e-08,8.421112696055388e-09
1825,2.289415279577156e-08,1.4088708866211164e-08
1826,3.8755129327938675e-08,9.688782887096181e-09
1827,5.530363811345751e-08,9.217273055917019e-10
1828,1.7427371545863934e-08,9.172301251858528e-10
1829,1.8860987438529264e-08,0.0
1830,2.0873671235932534e-08,0.0
1831,4.5214498811674275e-08,0.0
1832,2.0294954605759585e-08,0.0
1833,2.2008894817737712e-08,1.1583628500844156e-09
1834,3.26708584630353e-08,2.8003592777992026e-09
1835,2.193295500774184e-08,3.025235173481633e-09
1836,2.822715106098883e-08,5.376600054063374e-09
1837,1.3219993100221927e-08,6.262101948095733e-09
1838,3.8504188504262515e-08,4.418513555037862e-09
1839,4.4745439464755066e-08,1.11863602825224e-08
1840,4.203994374840647e-08,0.0
1841,3.9165346077396634e-08,4.494383976094696e-09
1842,3.152884486823382e-08,8.049918065466954e-09
1843,2.953455480181333e-08,1.1813822142769936e-09
1844,3.951764027121385e-08,6.586273748609983e-09
1845,3.627148181806206e-08,8.928364714222425e-09
1846,3.454155717008689e-08,2.9272506640865004e-09
1847,3.289866423727972e-08,1.0786447290911383e-09
1848,3.861706510122076e-08,1.045878850192139e-08
1849,2.513824526317876e-08,0.0
1850,4.5486274302675156e-08,0.0
1851,1.5478653025979838e-08,3.2247193804124663e-09
1852,1.6927418577949993e-08,0.0
1853,3.2845624886590485e-08,4.180352064508952e-09
1854,3.3252251618876016e-08,1.558699391779328e-09
1855,2.7596072982305486e-08,1.2736649068756378e-08
1856,2.847454005916461e-08,3.1063134287023786e-09
1857,4.149282695209422e-08,9.763018171682347e-10
1858,3.034079121277955e-08,2.9362056674919756e-09
1859,2.9534605650027856e-08,0.0
1860,3.661747269290139e-08,1.8308735638683515e-09
1861,2.8295782605880504e-08,1.6034276129062164e-08
1862,3.885468347064602e-08,4.066187830886747e-09
1863,2.6970952582416885e-08,2.4973103585068657e-09
1864,1.534312965567608e-08,9.589456340108882e-09
1865,3.62427015065947e-08,5.6482134525026595e-09
1866,3.3086167805507216e-08,9.731225825149181e-10
1867,1.649955905236311e-08,0.0
1868,4.297690336940718e-08,5.433861360870651e-09
1869,2.9301114423674335e-08,4.883519366671862e-09
1870,2.6376624884250077e-08,2.8670243956696595e-09
1871,2.549082545044712e-08,2.1242354542039266e-09
