year,défendant_VERB en_ADP
1800,0.0
1801,7.143547975374531e-09
1802,1.1189200677108602e-08
1803,1.950339267864365e-08
1804,2.7190360185613827e-08
1805,2.2743021688143017e-08
1806,8.645007376628655e-09
1807,5.693910143378389e-08
1808,3.6257183921861724e-08
1809,2.25903047379461e-08
1810,6.31834211617388e-08
1811,5.515568801683912e-08
1812,8.00162425207418e-09
1813,1.1502966579257645e-08
1814,1.8880061958270744e-08
1815,2.4275012222574333e-08
1816,1.8540831092650478e-08
1817,1.0898113522728181e-08
1818,7.152706427149269e-09
1819,1.3456364911235141e-08
1820,1.1866481131050932e-08
1821,1.2819934336327776e-08
1822,1.9048670196752937e-08
1823,2.174191138237802e-08
1824,9.263223965660927e-09
1825,2.905796137042671e-08
1826,4.932471142637951e-08
1827,1.6591091167583727e-08
1828,4.4027046897099353e-08
1829,6.172686539684946e-08
1830,4.5922078584226256e-08
1831,4.5214498811674275e-08
1832,2.841293600397421e-08
1833,3.8225973497674204e-08
1834,1.0267983796552471e-08
1835,4.689114518896531e-08
1836,1.4785650037651976e-08
1837,2.0177884252348122e-08
1838,2.840472923537618e-08
1839,1.3982949909063791e-08
1840,1.52872523528913e-08
1841,2.0545755319290038e-08
1842,2.884553929050071e-08
1843,4.7255287682901326e-08
1844,4.281077892187568e-08
1845,2.622707206967334e-08
1846,2.6345255976778503e-08
1847,4.907833606182521e-08
1848,6.436177102386864e-08
1849,5.111443002192573e-08
1850,2.1724787302446202e-08
1851,5.804495017969202e-08
1852,4.817803755940986e-08
1853,2.5679307569248522e-08
1854,2.286092382064453e-08
1855,2.600399184871094e-08
1856,8.28350277259915e-09
1857,1.513267733344037e-08
1858,3.229826228690058e-08
1859,1.3748868266105774e-08
1860,4.394096464466202e-08
1861,3.8670901147952463e-08
1862,2.801151488540654e-08
1863,5.494082755408414e-08
1864,2.205574922697906e-08
1865,3.247722446531043e-08
1866,1.3623716377253459e-08
1867,2.038180824115443e-08
1868,1.0373735648272486e-08
1869,2.7347707209912642e-08
1870,3.268407811063412e-08
1871,2.86771781876638e-08
1872,4.7169248063028135e-08
1873,3.052862351804464e-08
1874,2.449589792119511e-08
1875,9.72659597309189e-09
1876,2.418405919968336e-08
1877,1.979141184271782e-08
1878,2.0532901601200138e-08
1879,1.0996785704264767e-08
1880,1.9253539207397807e-08
1881,2.5101027034679646e-08
1882,3.4608001797664656e-08
1883,7.58320695126713e-09
1884,1.1222884843675729e-08
1885,3.8029249083137984e-08
1886,1.4197620856748472e-08
1887,1.8933881573701683e-08
1888,1.1413106904001324e-08
1889,8.14467782106476e-09
1890,1.8352281472289178e-08
1891,1.784781566982474e-08
1892,2.8835156484774416e-08
1893,2.46336657738766e-08
1894,1.9534772022211655e-08
1895,3.91209944439197e-08
1896,2.0639602027472392e-08
1897,2.855089720199544e-08
1898,2.37650913392784e-08
1899,1.713549302451156e-08
1900,2.076421168339948e-08
1901,1.7325090695408107e-08
1902,1.915010772179926e-08
1903,2.4841012802312434e-08
1904,2.1498500757388683e-08
1905,1.7030505006232488e-08
1906,1.3374879870298173e-08
1907,1.0799970695529737e-08
1908,1.2769611812402104e-08
1909,9.901770070541716e-09
1910,1.870452770447173e-08
1911,9.576673676292558e-09
1912,2.6047105805560022e-08
1913,1.4318072061314524e-08
1914,1.339348720819089e-08
1915,2.3561524287174507e-08
1916,1.8678685265172135e-08
1917,2.0836205649743533e-08
1918,6.89182577673364e-09
