year,tremblant_VERB en_ADP
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,9.751696339321825e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,1.4040760554223652e-08
1811,1.504246105454854e-08
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,3.113746815941454e-09
1818,2.8610825708597076e-08
1819,2.070210003424222e-09
1820,3.5599443393152796e-09
1821,1.1833785507064931e-08
1822,1.0025615893027862e-09
1823,6.917880934764753e-09
1824,4.210556348027694e-09
1825,4.754939197937347e-08
1826,7.0463874735082754e-09
1827,1.3825909306319772e-08
1828,8.255071293206129e-09
1829,6.001223074036943e-09
1830,2.0873671680021744e-09
1831,1.5591206103948707e-09
1832,2.5706941575442954e-08
1833,1.1583628833911064e-08
1834,2.7070138797213872e-08
1835,2.3445572594482655e-08
1836,1.008112526790228e-08
1837,1.3915782304252389e-08
1838,2.019891809368346e-08
1839,9.088918062616358e-09
1840,1.97460351958334e-08
1841,1.219904177673925e-08
1842,1.7441488697755858e-08
1843,2.126487919085207e-08
1844,8.781698035420504e-09
1845,1.5066615177694587e-08
1846,9.367202347121406e-09
1847,5.3932236454556914e-09
1848,6.436177313329239e-09
1849,6.703531951757213e-09
1850,1.0862393651223101e-08
1851,2.192809134271556e-08
1852,7.161600201754936e-09
1853,8.957897534855874e-09
1854,1.0910895742455295e-08
1855,7.960405667972736e-09
1856,9.318940286107136e-09
1857,2.928905395993553e-09
1858,1.2723557984983813e-08
1859,7.638260246523032e-09
1860,1.1442959468865865e-08
1861,9.903524222920623e-09
1862,1.536115412648087e-08
1863,1.5982786649715308e-08
1864,4.7947278369875335e-09
1865,1.4591217123438582e-08
1866,1.4596838404656864e-08
1867,9.7056229719783e-10
1868,1.2843672791973404e-08
1869,6.8369268024781604e-09
1870,4.587239033071455e-09
1871,5.3105884134652115e-09
1872,5.442605477412599e-09
1873,5.387403856360606e-09
1874,7.766991494406739e-09
1875,1.0298748520654044e-08
1876,6.650616057868319e-09
1877,3.0924081073635534e-09
1878,9.058632954861423e-09
1879,3.0546627449723474e-09
1880,9.626769603698904e-09
1881,3.4862537301449947e-09
1882,5.989846840748214e-09
1883,4.423537092179686e-09
1884,9.242375753615306e-09
1885,4.511945039809007e-09
1886,1.355227396970804e-08
1887,1.0446279397058333e-08
1888,8.876860135842435e-09
1889,6.891650361495749e-09
1890,1.0487018364813139e-08
1891,5.736798036615198e-09
1892,1.0656471260972467e-08
1893,4.926733243593162e-09
1894,2.520615716150587e-09
1895,4.814891596538473e-09
1896,1.1204354777305525e-08
1897,2.9133566670225264e-09
