year,entendant_VERB en_ADP,entendant_VERB sans_ADP
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,4.286128785224719e-08
1802,0.0,6.713520406265161e-09
1803,4.6808139586573816e-08,0.0
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,8.528633133053631e-09,2.842877711017877e-09
1806,0.0,1.729001475325731e-08
1807,3.4163463169534225e-08,0.0
1808,1.1330369531492579e-08,4.5321478125970316e-08
1809,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,3.042164919975221e-08
1811,3.5099073869560016e-08,5.0141535368197765e-09
1812,1.0668832928217853e-08,3.7340914360584065e-08
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,3.1466771410748606e-09,9.440031423224582e-09
1815,2.1577788444915313e-08,1.0788894222457657e-08
1816,1.3905623319487859e-08,4.6352077731626196e-09
1817,3.113746771532533e-08,0.0
1818,7.152706205104664e-09,0.0
1819,3.62286756150354e-08,1.5526575580793178e-08
1820,1.0679833017945839e-08,3.5599443393152796e-09
1821,4.6348993976153e-08,1.577838126820552e-08
1822,3.0076847679083585e-09,9.023054303725075e-09
1823,9.882686669016039e-09,1.9765373782121287e-09
1824,1.8526447931321854e-08,1.6842225392110777e-09
1825,7.924898959288385e-09,5.283265824829186e-09
1826,1.4973573048138178e-08,1.6735169694470642e-08
1827,5.530363722527909e-09,3.6869092223668076e-09
1828,1.7427371545863934e-08,1.3758452155343548e-08
1829,3.257806824308318e-08,3.429270423183084e-09
1830,8.349468672008697e-09,6.262101504006523e-09
1831,1.091384405071949e-08,1.2472964883158966e-08
1832,1.0823975493678972e-08,1.352996914505411e-08
1833,1.3900354645102198e-08,1.9692167896323554e-08
1834,1.8669062740173104e-08,1.120143711119681e-08
1835,5.294161553592858e-09,1.663879345414898e-08
1836,3.024337613677375e-08,2.2178474612388754e-08
1837,6.262101948095733e-09,1.5307359824134892e-08
1838,9.468243078458727e-09,4.418513332993257e-09
1839,9.78806569129631e-09,1.1186360393544703e-08
1840,1.7198159341091923e-08,1.592422149698791e-08
1841,8.988767952189392e-09,1.2841097074556274e-08
1842,6.037438549100216e-09,1.8783142152756227e-08
1843,8.860366718099755e-09,2.7762481646931292e-08
1844,3.1833653935109396e-08,1.1525978504955958e-08
1845,1.2834524387717039e-08,2.622707206967334e-08
1846,1.6392604607062822e-08,1.0538102390711401e-08
1847,2.2112217834546755e-08,8.629157832729106e-09
1848,8.045221711050488e-10,1.126331028444838e-08
1849,5.02764896381791e-09,1.75967720394965e-08
1850,8.82569484161877e-09,8.82569484161877e-09
1851,1.1608989325395669e-08,1.7413484210138108e-08
1852,1.9531636752390114e-08,2.0182691296000144e-08
1853,1.4929829372789527e-08,6.569124799682413e-09
1854,1.0910895298366086e-08,9.352196350675968e-09
1855,1.326734277995456e-08,1.8043586180738203e-08
1856,1.0872097000458325e-08,1.0872097000458325e-08
1857,5.369659827891837e-09,1.610898081594314e-08
1858,2.5447114637699997e-08,1.614913069936108e-08
1859,7.638259802433822e-09,1.9350258284589472e-08
1860,4.119465657481669e-09,6.408057362516928e-09
1861,1.084671669149273e-08,1.3204698667834691e-08
1862,1.2198563048571032e-08,1.400575744270327e-08
1863,1.048870412745373e-08,7.491931519609807e-09
1864,9.589456340108882e-09,1.9178912680217763e-08
1865,1.4120533187167439e-08,1.4591217123438582e-08
1866,1.0217787504984699e-08,5.352174259343201e-09
1867,1.552899675516528e-08,1.1161466417775046e-08
1868,1.5807597009143137e-08,9.879748019692158e-09
1869,1.8557372083449764e-08,3.125452263663675e-08
1870,2.8670243956696595e-09,1.8922360567330543e-08
1871,7.434824089713743e-09,2.1242353653860846e-08
1872,1.9351485747165498e-08,1.2094679036067646e-08
1873,1.0176207432266438e-08,1.5563610844537834e-08
1874,1.2546679251101978e-08,1.6728906260254917e-08
1875,8.58229043387837e-09,8.010138330405425e-09
1876,6.650616057868319e-09,1.4510435519810017e-08
1877,1.1132669008873108e-08,9.895705588292003e-09
1878,3.200716847118201e-08,1.2078177569208037e-08
1879,3.421222061206208e-08,5.498392852132383e-09
1880,7.059630657835214e-09,8.343199908722454e-09
1881,2.7890030285249168e-09,6.9725074602899895e-09
1882,1.1314154502173324e-08,3.9932310791357395e-09
1883,5.055470986281563e-09,1.8958017378167824e-08
1884,1.3203393933736152e-09,9.242375753615306e-09
1885,5.156508553483263e-09,1.5469526104539e-08
1886,1.4842966855610484e-08,7.098810428374236e-09
1887,5.876032105334161e-09,1.3057849024278312e-08
1888,1.1413106904001324e-08,1.9021844099853524e-09
1889,6.265136853755848e-09,7.51816386923565e-09
1890,1.1797895382859025e-08,1.769684337959987e-08
1891,6.3742202627281586e-09,1.211101796627645e-08
1892,5.014809900671935e-09,3.761107425503951e-09
1893,1.2316832942449452e-08,1.4164357908796887e-08
1894,4.4110775032635274e-09,7.561847148451761e-09
1895,1.625025936036195e-08,1.8055843487019274e-09
1896,2.948514543632541e-09,2.358811590497112e-09
1897,1.1070755423503442e-08,7.574727622916555e-09
1898,5.092519295146758e-09,1.584339370808152e-08
1899,3.3165470370022376e-09,3.8693048765026106e-09
