year,seront_VERB en_ADP,seront_VERB sans_ADP
1800,2.854901367754792e-06,6.351212391564331e-07
1801,2.338321337447269e-06,6.64349954604404e-07
1802,2.304975396327791e-06,6.019789680067333e-07
1803,2.5276397082052426e-06,6.748173859705275e-07
1804,2.770945002339431e-06,8.132389552883978e-07
1805,3.908956841769395e-06,1.2025373052892974e-06
1806,4.81526922158082e-06,8.039856993491412e-07
1807,4.002818968729116e-06,8.654743623992545e-07
1808,3.49428614754288e-06,5.506559546120116e-07
1809,3.2236364404525375e-06,5.060228431830183e-07
1810,3.2785176244942704e-06,8.284048931272991e-07
1811,3.3895678370754467e-06,5.289932119012519e-07
1812,3.1713104817754356e-06,6.241266987672134e-07
1813,2.706072791625047e-06,7.476928090000001e-07
1814,2.523634975659661e-06,8.181360726666753e-07
1815,3.1395682071888587e-06,7.848920517972147e-07
1816,3.4787233289534925e-06,6.512466939057049e-07
1817,2.951831902464619e-06,7.628679554727569e-07
1818,3.3117030397988856e-06,5.352608809516823e-07
1819,3.416881554585416e-06,9.554019015922677e-07
1820,2.748276983766118e-06,6.680828619209933e-07
1821,2.4762196062511066e-06,6.193014883137948e-07
1822,2.904420853155898e-06,6.125651452748571e-07
1823,2.1534374354814645e-06,5.445360216072004e-07
1824,2.6324398731958354e-06,6.644257837251644e-07
1825,2.667168701009359e-06,5.485791234605131e-07
1826,2.819435849232832e-06,7.44274700537062e-07
1827,3.735760856216075e-06,8.599715783930151e-07
1828,2.506789996914449e-06,7.071844265738036e-07
1829,2.7931407657888485e-06,7.81016353812447e-07
1830,2.4568312255723868e-06,5.844627821716131e-07
1831,2.9498562525986927e-06,7.234319809867884e-07
1832,2.448924533382524e-06,7.482072987841093e-07
1833,2.519439249226707e-06,6.764839213246887e-07
1834,3.5751254472415894e-06,7.019567078714317e-07
1835,2.7612834401224973e-06,5.92189792314457e-07
1836,3.3711282867443515e-06,6.162927661534923e-07
1837,2.8485605980677065e-06,6.2760176433585e-07
