year,veulent_VERB aider_VERB,veulent_VERB céder_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,5.851017448321727e-09
1804,4.943701892301533e-09,4.943701892301533e-09
1805,0.0,0.0
1806,8.645007376628655e-09,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,0.0,2.2026739543434815e-08
1815,2.697223555614414e-09,0.0
1816,0.0,1.622322720606917e-08
1817,1.401186100480345e-08,0.0
1818,0.0,2.2650237241350624e-08
1819,4.0369094733705424e-08,0.0
1820,1.1866481131050932e-09,1.898636980968149e-08
1821,5.9168927535324656e-09,3.94459531705138e-09
1822,8.421517350143404e-08,4.010246357211145e-09
1823,0.0,5.929612356680991e-09
1824,2.3579115548955087e-08,6.736890156844311e-09
1825,3.522177216552791e-09,4.4027217427355936e-09
1826,1.6735169694470642e-08,9.688783109140786e-09
1827,1.8434546111834038e-09,1.013900075008678e-08
1828,3.3020285172824515e-08,1.8344602503717056e-09
1829,1.714635211591542e-09,6.858540846366168e-09
1830,2.0873671680021744e-09,1.6698937344017395e-08
1831,6.236482441579483e-09,7.795603274018958e-09
1832,9.470978667991403e-09,8.117981842303834e-09
1833,1.1583628278799551e-08,1.6217079235048004e-08
1834,6.534171426153534e-09,2.240287422239362e-08
1835,1.0588323107185715e-08,1.5126175867408165e-08
1836,8.736974699274924e-09,1.1425274948351216e-08
1837,3.6181031504156635e-08,1.3915781860163179e-09
1838,1.8936486156917454e-08,5.049729523420865e-09
1839,1.3982950353153e-09,1.3283802502428443e-08
1840,8.917564464638872e-09,5.095750932326837e-09
1841,2.6966304744746594e-08,0.0
1842,8.049918065466954e-09,6.708265054555795e-10
1843,9.451057714215949e-09,2.953455480181333e-09
