year,roulant_VERB en_ADP
1800,8.803660733747165e-08
1801,2.1668761007731518e-07
1802,1.8126505096915935e-07
1803,1.579774737692219e-07
1804,1.3100810036803523e-07
1805,1.393010045092069e-07
1806,1.2103009794373065e-07
1807,7.402083435081863e-08
1808,1.0877155354194201e-07
1809,5.4216732658929345e-08
1810,1.0062544708588916e-07
1811,4.512738049911036e-08
1812,3.200649878465356e-08
1813,1.2365689361359955e-07
1814,3.776012569289833e-08
1815,7.012781111370714e-08
1816,1.0660977523002657e-07
1817,1.930522968152104e-07
1818,4.530047270634441e-08
1819,5.900098543065724e-08
1820,4.15326857350351e-08
1821,2.859831527146639e-08
1822,8.020492714422289e-08
1823,5.138997138942614e-08
1824,7.831635073785037e-08
1825,8.893497760453783e-08
1826,9.688782975914023e-08
1827,6.912954475524202e-08
1828,5.503380506866051e-08
1829,1.0802201960702362e-07
1830,5.9489963177838945e-08
1831,4.98918610869481e-08
1832,3.247192659205922e-08
1833,7.529358581059853e-08
1834,6.254135831440522e-08
1835,6.42862474364847e-08
1836,6.250297301946262e-08
1837,5.357575982856133e-08
1838,3.282324279041404e-08
1839,8.180026123127959e-08
1840,4.0766007902703905e-08
1841,7.961480097407048e-08
1842,4.695785715824741e-08
1843,4.312045037702106e-08
1844,6.037417510373899e-08
1845,4.854798324460674e-08
1846,4.9763260845381296e-08
1847,4.6381722462740527e-08
1848,4.746680914990975e-08
1849,6.53594354194098e-08
1850,3.190828223864628e-08
1851,2.8377530103540494e-08
1852,2.7995344931142085e-08
1853,4.538668063602813e-08
1854,2.909572138776184e-08
1855,4.351688431825096e-08
1856,4.141751341890654e-08
1857,4.6862487224075267e-08
1858,3.1319527193929275e-08
1859,6.925355844344949e-08
1860,4.119465399354816e-08
1861,5.8477948927659895e-08
1862,5.4215835432191994e-08
1863,4.345320192555846e-08
1864,4.8426753718189275e-08
1865,2.7299696503391147e-08
1866,4.233083156224282e-08
1867,3.396968040192405e-08
1868,4.544684228946494e-08
1869,4.39516714134669e-08
1870,2.9243648391741317e-08
1871,4.5671061599250606e-08
1872,3.507456636242523e-08
1873,1.9155214636690232e-08
1874,4.899179373296647e-08
1875,3.20405533216217e-08
1876,2.9020871705753848e-08
1877,5.3807897693047835e-08
1878,2.657199060784876e-08
1879,5.376206224649849e-08
1880,4.2357786611546544e-08
1881,5.0899306103247e-08
1882,4.459108193799466e-08
1883,3.349249522166531e-08
1884,4.7532218161450146e-08
1885,4.705314010644557e-08
1886,2.9040588100937015e-08
1887,4.1785117199655275e-08
1888,3.043495011567643e-08
1889,3.508476531521865e-08
1890,3.408280796479701e-08
1891,3.442078744253507e-08
1892,4.2625883711622237e-08
1893,6.096832216861969e-08
1894,7.246770117319556e-08
1895,4.875077741495204e-08
1896,3.18439561386441e-08
1897,6.817254849522669e-08
1898,3.5647636842384145e-08
1899,3.205995469102163e-08
1900,5.191053087383324e-08
1901,3.073806464914952e-08
1902,4.959386856739911e-08
1903,2.970121215639665e-08
1904,4.407192477628996e-08
1905,2.786809877308727e-08
1906,3.755254540660502e-08
1907,4.165703071379312e-08
1908,5.0587306565930135e-08
1909,3.355600108889689e-08
1910,3.4736981069372064e-08
1911,3.2454281040372734e-08
1912,4.3759137979826335e-08
1913,2.7575546790448158e-08
1914,4.3528835647066444e-08
1915,2.1205371680821372e-08
1916,4.2851102222130066e-08
1917,3.5092558192673096e-08
1918,3.2161853624756986e-08
1919,4.696002764426055e-08
1920,2.5745588327907853e-08
1921,2.877644039722682e-08
1922,3.984085128472259e-08
1923,4.24637929263838e-08
1924,3.480738541838946e-08
1925,4.179307566687385e-08
1926,3.901148559748435e-08
1927,3.1217830098739796e-08
1928,3.5420729460611255e-08
1929,5.013182757807044e-08
1930,2.7309368988426286e-08
1931,4.676196141417677e-08
1932,3.9454333244925976e-08
1933,3.211785326584504e-08
1934,2.875579241390369e-08
1935,3.11175387679441e-08
1936,2.424942868728408e-08
1937,2.7700460591972842e-08
1938,3.3709559033034964e-08
1939,3.058810182920979e-08
1940,3.296517903095264e-08
1941,4.132103725851266e-08
1942,3.3376331032286544e-08
1943,6.677441222180391e-08
1944,6.105053707017305e-08
1945,5.2284098384092204e-08
1946,4.315542501132086e-08
1947,5.9604353452868963e-08
1948,5.0010683594337024e-08
1949,4.024973498939488e-08
1950,3.403315673722318e-08
1951,3.091806555222121e-08
1952,2.6362010130398517e-08
1953,5.602390329428886e-08
1954,4.0067397844012476e-08
1955,4.598947844769441e-08
1956,4.796627783854035e-08
1957,4.152467597551279e-08
1958,4.1361218450219894e-08
1959,3.332821663093455e-08
1960,3.460416764244911e-08
1961,4.6552668164778765e-08
1962,4.9467259843893885e-08
1963,5.3668242183668724e-08
1964,4.015419108327478e-08
1965,4.158753103000734e-08
1966,6.646889527672784e-08
1967,5.6205824883193145e-08
1968,3.593132669177379e-08
1969,5.132186209344525e-08
1970,3.17312032205308e-08
1971,3.648262181243922e-08
1972,3.847610086094022e-08
1973,4.1900348302092993e-08
1974,5.2880374301622624e-08
1975,2.5701661243715535e-08
1976,3.8280629999221105e-08
1977,3.055926500739048e-08
1978,3.1485134055486697e-08
1979,2.8674669083628146e-08
1980,3.9227540327146926e-08
1981,4.4911403263014904e-08
1982,4.8418519416060235e-08
1983,5.3680187406257573e-08
1984,4.4072463289968056e-08
1985,4.0304239612432013e-08
1986,5.4549816441706866e-08
1987,3.666490044906823e-08
1988,5.516829637564058e-08
1989,3.45751683950013e-08
1990,4.467893943704837e-08
1991,3.047961993907222e-08
1992,3.140668236589761e-08
1993,4.4867579873653085e-08
1994,4.325439895147554e-08
1995,4.9344302865961254e-08
1996,4.16371204181587e-08
1997,4.075660386959612e-08
1998,3.051602637249573e-08
1999,4.387393071070278e-08
2000,5.522539314739561e-08
2001,3.8554663683854073e-08
2002,4.1183480625761604e-08
2003,4.8752998527135105e-08
2004,4.4047911762490344e-08
2005,4.053374569323864e-08
2006,4.653215479599737e-08
2007,4.753430582482565e-08
2008,5.662394708672025e-08
2009,5.8171947259211265e-08
2010,6.896738025119475e-08
2011,7.227306730861471e-08
2012,1.0314885789952655e-07
2013,9.678263523937858e-08
2014,1.0567372132896935e-07
2015,9.154456703797109e-08
2016,9.96314568624257e-08
2017,1.0590723587000639e-07
2018,9.887017249354813e-08
2019,1.0714148324098005e-07
