year,pourront_VERB avoir_VERB,pourront_VERB savoir_VERB
1800,8.300594345200807e-07,1.8864987794131594e-08
1801,7.28641850855638e-07,2.3811825844433088e-09
1802,1.2129094102419913e-06,2.2378401354217203e-09
1803,9.303117849412956e-07,0.0
1804,8.849226560414536e-07,4.943701892301533e-09
1805,9.893213928080513e-07,1.9900143755080535e-08
1806,1.423544517820119e-06,1.152667650217154e-08
1807,1.4377122852238244e-06,8.540865792383556e-09
1808,1.1760923825931968e-06,0.0
1809,9.962324156731484e-07,0.0
1810,1.0928391702691442e-06,0.0
1811,1.494217713116086e-06,0.0
1812,1.101557018046151e-06,2.400487453257938e-08
1813,9.80627874014317e-07,1.4378708002027452e-08
1814,1.1422438319641515e-06,6.293354282149721e-09
1815,9.817894124353188e-07,5.394447111228828e-09
1816,1.20051879548555e-06,3.244645441213834e-08
1817,1.0493326954019722e-06,1.0898113522728181e-08
1818,1.0192607078352012e-06,1.1921176934492905e-08
1819,1.024753942147072e-06,5.175524897538253e-09
1820,1.0454369885337655e-06,2.3732962262101864e-09
1821,9.299383236793801e-07,3.94459531705138e-09
1822,1.0617127372825053e-06,4.010246357211145e-09
1823,8.15321641312039e-07,9.882686669016039e-09
1824,8.084268188213173e-07,6.736890156844311e-09
1825,9.853290521277813e-07,2.3774695989686734e-08
1826,9.468583357374882e-07,8.80798456392995e-09
1827,1.8148811022911104e-06,4.608636583469661e-09
1828,1.4061138244869653e-06,1.4675682002973645e-08
1829,1.1428044217609568e-06,6.001223074036943e-09
1830,1.0760377335827798e-06,7.305785310052215e-09
1831,8.450433597317897e-07,7.795603274018958e-09
1832,8.997429858936812e-07,0.0
1833,1.1977472240687348e-06,0.0
1834,1.2480268196668476e-06,1.7735608537350345e-08
1835,9.56730673351558e-07,1.663879345414898e-08
1836,1.315250756306341e-06,1.4785650037651976e-08
1837,1.089605689230666e-06,4.5226290268374214e-08
1838,1.177218223347154e-06,1.0730675015224733e-08
1839,1.2591647191584343e-06,4.894032734625853e-09
1840,1.0070477856061189e-06,1.6561189752906103e-08
1841,1.2057789717800915e-06,1.0914932957462042e-08
1842,9.565985692461254e-07,4.024959032733477e-09
1843,1.050248783940333e-06,4.7255288571079745e-09
1844,8.457872695544211e-07,8.781698035420504e-09
1845,1.1327862239340902e-06,1.5066614622583074e-08
1846,1.0754719141914393e-06,3.5127007969038004e-09
1847,1.1789586551458342e-06,1.6179670936367074e-09
1848,1.08932306375209e-06,8.04522137798358e-09
1849,1.1203277381355292e-06,1.005529792763582e-08
1850,1.0916705832642037e-06,1.1541293254424545e-08
1851,9.82894448497973e-07,4.514607354622058e-09
1852,1.3053643215243937e-06,1.9531636752390114e-08
1853,9.417736350769701e-07,7.166318205520383e-09
1854,9.398956990480656e-07,1.6626126253527218e-08
1855,7.636682539668982e-07,1.0613874223963649e-09
1856,7.796846830387949e-07,5.694908100650764e-09
1857,7.297855972865364e-07,4.393358121745905e-09
1858,6.444971063501725e-07,5.3830437884982985e-09
1859,7.908145107649034e-07,4.582956236731661e-09
1860,8.902622425921436e-07,5.034902272882391e-09
1861,8.67265725901234e-07,1.131831339762357e-08
1862,8.620317544227873e-07,1.2198563048571032e-08
1863,8.560780315747252e-07,7.991393324857654e-09
1864,8.290084565487632e-07,1.9178911792039344e-09
1865,8.302873197862937e-07,2.8241067262513297e-09
1866,8.339660553247086e-07,0.0
1867,7.580091505587916e-07,2.91168689159349e-09
1868,9.469738415646134e-07,1.4819622196071691e-09
1869,7.198307230282808e-07,4.883519366671862e-09
1870,8.245561957664904e-07,2.2936195165357276e-09
1871,9.006758432406059e-07,0.0
1872,8.423943427260383e-07,9.071008832961525e-09
1873,8.033218250602658e-07,7.183205141814142e-09
1874,7.784915965203254e-07,1.7923826867161097e-09
1875,8.153176054292999e-07,2.8607636259891933e-09
1876,8.41000655782409e-07,2.418405919968336e-09
1877,8.782438953858218e-07,9.27722432209066e-09
1878,8.007831411305233e-07,5.435179861734696e-09
1879,8.730225999897812e-07,1.649517855639715e-08
1880,1.1924358886972186e-06,7.701415505323439e-09
1881,9.008479651129164e-07,5.5780060570498335e-09
1882,8.139535907503159e-07,7.320923423037584e-09
1883,9.44109217471123e-07,1.0110942305630033e-08
1884,7.856019124119484e-07,4.621187876807653e-09
1885,9.313943678534997e-07,1.0313017106966527e-08
1886,8.286247634714528e-07,2.1296431285122708e-08
1887,9.780328582564835e-07,5.876032105334161e-09
1888,9.68211907093064e-07,1.2047167707862627e-08
1889,8.357692422578111e-07,2.4434033463194282e-08
1890,8.730442573323671e-07,1.1142456735058204e-08
1891,8.025143074519292e-07,6.3742202627281586e-09
1892,9.365157325191831e-07,6.268512375839919e-09
1893,8.541723559574166e-07,9.853466487186324e-09
1894,9.408198025084857e-07,6.301539290376468e-10
1895,7.709845135650539e-07,1.8055843487019274e-09
1896,8.126106081363105e-07,2.948514543632541e-09
1897,8.069998216342356e-07,9.322741689743452e-09
1898,8.510165798725211e-07,1.1316709347397591e-08
1899,9.93858634501521e-07,5.527578395003729e-09
1900,7.968266686475545e-07,2.595526460424935e-09
1901,8.735198662179755e-07,3.912117296778206e-09
1902,8.995639859676885e-07,1.6203935970793282e-08
1903,9.277578669752984e-07,1.1340462791054051e-08
1904,9.018621085488121e-07,3.7622376325430196e-09
1905,1.0667289416232961e-06,5.676835002077496e-09
1906,9.665923244028818e-07,5.144184633820714e-09
1907,9.334260653304227e-07,5.142843484406967e-09
1908,8.41812095586647e-07,3.929111258571538e-09
1909,8.422005635111418e-07,5.5009836685826485e-09
1910,9.079711844606209e-07,5.878565634276356e-09
1911,8.507278153047082e-07,4.25629931299909e-09
1912,8.621591973678733e-07,6.772247651554153e-09
1913,7.954484431138553e-07,1.2727175757731857e-08
1914,7.413295293190458e-07,3.3483718020477227e-09
1915,8.58817543303303e-07,2.0027295377644805e-08
1916,8.284546311188024e-07,5.493730803607377e-09
1917,9.091165793506661e-07,4.386569774084137e-09
1918,8.05194986241986e-07,1.1486376294556067e-09
1919,9.474875923842774e-07,4.603924352863942e-09
1920,9.745461966303992e-07,4.543339038320937e-09
1921,8.133130791065923e-07,3.0290989716519334e-09
1922,7.56976191951253e-07,9.591316185719734e-09
1923,8.662613595333823e-07,8.492758496458919e-09
1924,7.464250302291475e-07,3.867487219366694e-09
1925,7.368778938143805e-07,7.698724324711748e-09
1926,6.754559649380099e-07,4.458455382660986e-09
1927,7.492279223697551e-07,4.4596899506643695e-09
1928,7.43835300909268e-07,1.1426041224282812e-09
1929,8.37758534544264e-07,3.342121912552898e-09
1930,8.087774858722696e-07,9.453243521306831e-09
1931,8.006560392459505e-07,2.2810713318222042e-09
1932,8.329247975780163e-07,1.0959536611565568e-09
1933,8.465348741992784e-07,2.2941324395731044e-09
1934,8.315216746268561e-07,3.5944740517379614e-09
1935,7.32459000118979e-07,0.0
1936,7.202080496426788e-07,1.2124714565686645e-09
1937,9.997347660828382e-07,2.5182236296217297e-09
1938,7.143833045120118e-07,3.8895642262559704e-09
1939,7.907024155429099e-07,6.117620188206274e-09
1940,8.114505476441991e-07,2.5357829169792012e-09
1941,7.024576120784332e-07,0.0
1942,5.97739699514932e-07,0.0
1943,5.864534955435374e-07,0.0
1944,4.884042823505297e-07,0.0
1945,5.860175633642939e-07,2.178504043826024e-09
1946,5.888626901651151e-07,6.960552134671616e-09
1947,5.316708211466903e-07,5.960435700558264e-09
1948,4.6966556510597e-07,2.174377566888097e-09
1949,6.106179171183612e-07,1.9634016634739737e-09
1950,6.764090016986302e-07,8.508289184305795e-09
1951,5.106811613586615e-07,6.396841278899501e-09
1952,5.040416226620437e-07,1.0544803918932644e-09
1953,4.7081624643396935e-07,0.0
1954,4.710362304649607e-07,0.0
1955,4.35492211181554e-07,3.754243138587299e-09
1956,5.407108005783812e-07,3.488456634670456e-09
1957,4.470529120226274e-07,1.7670075402875796e-09
1958,4.6738176706639933e-07,7.445019267748876e-09
1959,5.340265261111199e-07,4.650448914844674e-09
1960,4.387808303363272e-07,4.844583401109048e-09
1961,5.322290235199034e-07,6.948159270159238e-10
1962,4.6232861450334894e-07,3.805173953708163e-09
1963,4.138274221077154e-07,3.2330267352165265e-09
1964,4.928014618599263e-07,3.6503808864551957e-09
1965,4.5636841150553664e-07,4.377634699181954e-09
1966,3.661328378257167e-07,2.215629901769489e-09
1967,5.408577976595552e-07,8.381570104631919e-09
1968,4.38811326830546e-07,3.1439910674890825e-09
1969,9.147100286099885e-07,2.2708788183223305e-09
1970,6.355438131322444e-07,3.219107425067591e-09
1971,4.3316691744621494e-07,3.5968783507200897e-09
1972,4.324713813730341e-07,3.5911027485013847e-09
1973,4.388510319586203e-07,6.064523994098181e-09
1974,4.472329351301596e-07,3.937900228123681e-09
1975,3.8952293834881857e-07,4.569184142155791e-09
1976,3.896625457855407e-07,4.570821499072508e-09
1977,3.420286986965948e-07,2.938390863960194e-09
1978,3.487127173684712e-07,2.970295565063452e-09
1979,3.154213743528089e-07,2.925986564150662e-09
1980,3.558904211331537e-07,6.822181042309694e-09
1981,2.9540316859311133e-07,1.8976649140967083e-09
1982,3.7989914858371776e-07,6.828252629986764e-09
1983,3.182919385835703e-07,2.5261264191556165e-09
1984,3.17205774535978e-07,5.219107812592938e-09
1985,3.350665735979419e-07,7.218669662023558e-09
