year,devait_VERB aider_VERB,devait_VERB céder_VERB
1800,2.2009151834367913e-08,7.545995117652637e-08
1801,1.904946067554647e-08,1.166779455274991e-07
1802,1.3427040812530322e-08,7.161088433349505e-08
1803,7.801356893821776e-09,1.755305234496518e-08
1804,1.4831105232815389e-08,4.2021465418429216e-08
1805,1.421438877713399e-08,2.842877755426798e-08
1806,2.5935023018064385e-08,8.933174200365102e-08
1807,2.2775640928784924e-08,9.11025637151397e-08
1808,2.2660739951163578e-09,9.744118045773575e-08
1809,2.259030518203531e-09,1.9201759471343394e-07
1810,2.3401267590372754e-09,1.0062544930633521e-07
1811,0.0,1.8803075363393873e-07
1812,6.668020802180763e-08,1.1468995353425271e-07
1813,2.8757416448144113e-09,1.35159851311073e-07
1814,9.440030979135372e-09,1.6362720600682223e-07
1815,1.0788894222457657e-08,1.2676950689183286e-07
1816,1.3905623319487859e-08,1.0660977523002657e-07
1817,3.269434145636296e-08,4.3592454090912724e-08
1818,2.5034472272977837e-08,8.225612191381515e-08
1819,5.175524897538253e-09,9.729986771844779e-08
1820,2.966620371580575e-08,1.0086508694939766e-07
1821,1.3806083387635226e-08,1.548253720784487e-07
1822,2.5064039732569654e-08,1.45371430448904e-07
1823,7.906149512848515e-09,1.4922856905741355e-07
1824,5.052667617633233e-08,1.7431703724923864e-07
1825,5.6354835464844655e-08,1.3120110509134975e-07
1826,1.9377566218281572e-08,1.6823250348352303e-07
1827,4.608636583469661e-09,2.2029283286428836e-07
1828,2.109629271274116e-08,1.5409466413984774e-07
1829,2.0575622983187714e-08,1.8860987438529264e-07
1830,1.1480519646056564e-08,1.4820307114860043e-07
1831,4.677361609140007e-09,1.0446107978623331e-07
1832,7.306183391619925e-08,1.7453660916544322e-07
1833,2.548398292390175e-08,2.108220371610514e-07
1834,4.2005389389032644e-08,1.6615464915048506e-07
1835,5.52105419160398e-08,1.4823652350060001e-07
1836,7.392825018825988e-09,1.4987273289079894e-07
1837,3.826840000442644e-08,1.628146435450617e-07
1838,5.680945847075236e-08,2.449118881031609e-07
1839,4.47454411300896e-08,1.573081931383058e-07
1840,6.17859825524647e-08,2.0128216249304387e-07
1841,3.338685417020315e-08,2.1444631670419767e-07
1842,4.22620693996123e-08,2.2271440514032292e-07
1843,5.611565612184677e-08,1.7070972546662233e-07
1844,7.464443285698508e-08,2.683906359379762e-07
1845,4.8547981634783355e-08,1.690809057208753e-07
1846,4.859236213405893e-08,1.8617313912727695e-07
1847,5.986478157637976e-08,1.736618031600301e-07
1848,8.367030801537112e-08,1.946943655184441e-07
1849,3.267971848686102e-08,1.7596771328953764e-07
1850,2.5798184921654865e-08,1.5886250537278102e-07
1851,4.9660677348128957e-08,1.3221350059211545e-07
1852,4.427170807730363e-08,1.9531636041847378e-07
1853,3.2248433257109355e-08,1.5108987838630128e-07
1854,4.052618152172727e-08,1.3508727647604246e-07
1855,2.9718847827098216e-08,1.645150575768639e-07
1856,5.384276846598368e-08,1.8534338153131102e-07
1857,4.881509241272397e-08,1.3912300289575796e-07
1858,4.5511185930990905e-08,1.419166011373818e-07
1859,5.703234151610559e-08,1.492006731496076e-07
1860,8.284703056915532e-08,1.4738532172486885e-07
1861,6.790988038574142e-08,1.9241132065417332e-07
1862,7.319138006778303e-08,1.6400289837292803e-07
1863,4.6449972757045543e-08,1.3435530377137184e-07
1864,8.966141251676163e-08,1.4144447391117865e-07
1865,5.836486849375433e-08,1.6285682136185642e-07
1866,4.962925004292629e-08,1.8732609419203072e-07
1867,6.114542827617697e-08,1.814951531287079e-07
1868,6.91582400236257e-08,1.5214811810437823e-07
1869,4.8835190114004945e-08,1.1964621648985485e-07
1870,6.479475445075877e-08,1.4793846503380337e-07
1871,8.815577245968598e-08,1.3064048687283503e-07
1872,6.652073381019363e-08,1.6993023166378407e-07
1873,4.070482972906575e-08,1.2570609442263958e-07
1874,3.1067965977626955e-08,9.858104732529682e-08
1875,6.865832347102696e-08,1.6535213376300817e-07
1876,8.283040386913854e-08,1.0217765122888522e-07
1877,2.9068635498674666e-08,1.0452338727873212e-07
1878,5.1332254003000344e-08,1.352755845118736e-07
1879,4.3376211067425174e-08,7.331190232662266e-08
1880,4.4924924225142604e-08,1.078198152981713e-07
1881,3.765154232837631e-08,1.1992713666586496e-07
1882,3.8601232432711186e-08,9.051323957010027e-08
1883,8.467914369703067e-08,1.0363715574612797e-07
1884,4.885255577846692e-08,1.2477207178562821e-07
1885,5.0920522909336796e-08,1.1924426246423536e-07
1886,6.840672028829431e-08,7.808691293575976e-08
1887,4.309090329002174e-08,9.075205298358924e-08
1888,4.9456794215529953e-08,1.2300792207042832e-07
1889,5.262714708464955e-08,1.014952175637518e-07
1890,5.2435090935887274e-08,1.0880281564595862e-07
1891,4.461954006274027e-08,8.732681777701146e-08
1892,5.202865338560514e-08,8.838602383320904e-08
1893,3.510297474917934e-08,1.2747922539801948e-07
1894,3.7809236630437226e-08,9.956431767932372e-08
1895,4.1528441130367355e-08,1.1074250494402804e-07
1896,4.422771837653272e-08,1.2147879147050844e-07
1897,3.903898004864459e-08,1.159516003212957e-07
1898,4.2437662273187016e-08,9.619203211741478e-08
1899,5.693405569218157e-08,9.286331703606265e-08
1900,4.56812685456498e-08,1.0641659287102812e-07
1901,3.4650181390816215e-08,8.830207320897898e-08
1902,2.356936334990678e-08,7.954659508868644e-08
1903,4.860198288270112e-08,1.2582513875258883e-07
1904,3.9772224624812225e-08,1.1447951919763e-07
1905,3.767354073147544e-08,1.2179391717381804e-07
1906,4.166789580040131e-08,1.0545578277287859e-07
1907,3.857132568896304e-08,7.765693510464189e-08
1908,4.665819730576004e-08,9.528094579991375e-08
1909,4.8958753495753626e-08,1.155206561520572e-07
1910,5.878565900729882e-08,8.71096546006811e-08
