year,menaçant_VERB en_ADP,menaçant_VERB sans_ADP
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,6.905429472681135e-08,2.3811825844433088e-09
1802,6.489736392722989e-08,1.1189200677108602e-08
1803,1.950339267864365e-08,5.851017448321727e-09
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,6.538618890772341e-08,2.842877711017877e-09
1806,3.7461699520235925e-08,5.76333825108577e-09
1807,1.4234775136401367e-08,0.0
1808,2.2660739062985158e-08,4.305540457494317e-08
1809,4.292158095609011e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,3.7442028144596406e-08
1811,5.0141537144554604e-08,0.0
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,0.0,0.0
1814,5.034683425719777e-08,2.2026739543434815e-08
1815,5.394447111228828e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.8682481339737933e-08,6.227493631882908e-09
1818,1.668964877410417e-08,5.96058882251782e-08
1819,2.6912729822470283e-08,1.7596784473994376e-08
1820,1.779972080839798e-08,2.7292905713238724e-08
1821,2.9584464655840748e-08,1.97229765852569e-09
1822,4.0102463572111446e-08,2.4061478143266868e-08
1823,1.581229902569703e-08,4.743689885344793e-08
1824,2.0210670470532932e-08,3.2000230021367315e-08
1825,3.78634048558979e-08,5.283265824829186e-09
1826,2.025836387531399e-08,4.403992281964975e-09
1827,2.7651818612639545e-08,3.7790819362726324e-08
1828,1.559291185060374e-08,1.1923991571904935e-08
1829,7.715858174606183e-09,5.143905745796928e-09
1830,4.905312778191728e-08,2.0873671680021744e-09
1831,3.897801548191637e-08,9.354723218280014e-09
1832,1.8941957335982806e-08,6.764984572527055e-09
1833,2.4325620628928846e-08,3.8225973497674204e-08
1834,2.7070139907436896e-08,1.120143711119681e-08
1835,3.1764969321557146e-08,1.285724948729694e-08
1836,4.704525125021064e-08,1.4785650037651976e-08
1837,1.7394727436226276e-08,6.957891152126194e-09
1838,1.9567702125300457e-08,7.574594285131298e-09
1839,1.957613093850341e-08,5.5931801412612e-09
1840,2.4841785517537573e-08,1.6561189752906103e-08
1841,2.632424944692957e-08,1.8619591202195807e-08
1842,3.085801836277824e-08,1.475818312002275e-08
1843,3.5441466650354414e-08,8.269675610961258e-09
1844,5.4885614275690386e-08,1.866110821424627e-08
1845,4.296775557577348e-08,8.37034175305007e-09
1846,3.922516000898213e-08,1.5807152919933287e-08
1847,3.9909856752728956e-08,2.1033571329098777e-08
1848,2.172209789819135e-08,8.04522137798358e-09
