year,jetant_VERB en_ADP
1800,1.2262241000371432e-07
1801,8.334139067756041e-08
1802,8.951360541686881e-08
1803,1.560271414291492e-07
1804,1.3842365831351344e-07
1805,6.538618890772341e-08
1806,8.645007198992971e-08
1807,9.964342950752325e-08
1808,9.064295625194063e-08
1809,7.228897658251299e-08
1810,1.4742798271072388e-07
1811,8.273353557797236e-08
1812,5.067695596494559e-08
1813,7.189353823378042e-08
1814,2.2970742463712668e-07
1815,7.282503844407984e-08
1816,6.025770460382773e-08
1817,1.9460917466407324e-07
1818,1.0729059596314983e-07
1819,8.487860725381324e-08
1820,9.01852530432734e-08
1821,9.072569184809254e-08
1822,7.519211919770896e-08
1823,1.571347244544441e-07
1824,1.2800091031550664e-07
1825,1.1975402425257187e-07
1826,1.4973573569943e-07
1827,1.4194600339578756e-07
1828,9.630916270042533e-08
1829,1.2602568233432976e-07
1830,1.315041373572967e-07
1831,7.951515357262906e-08
1832,1.0688675899928057e-07
1833,1.1120283061050174e-07
1834,1.2414926686687977e-07
1835,1.2630356138743082e-07
1836,1.0417162599196672e-07
1837,1.3359149875213916e-07
1838,1.1046283532323287e-07
1839,1.3843121005052694e-07
1840,8.599079848181646e-08
1841,8.603534951134861e-08
1842,1.0666141347925873e-07
1843,8.624090352959968e-08
1844,1.1196664667645351e-07
1845,1.2722919962016022e-07
1846,1.229445274475438e-07
1847,9.653870591819214e-08
1848,1.0297883790144624e-07
1849,1.4161211669971863e-07
1850,9.029364367307835e-08
1851,8.771236537086224e-08
1852,1.0872611100332108e-07
1853,7.644072752555076e-08
1854,9.040456139253195e-08
1855,1.0401596739484376e-07
1856,9.9919752472033e-08
1857,8.005675150579705e-08
1858,1.2087379275271815e-07
1859,1.2475824462399032e-07
1860,1.1488731485598258e-07
1861,1.1789909137860377e-07
1862,1.088834694074059e-07
1863,1.1437681762815899e-07
1864,1.016482314986078e-07
1865,1.035505761137756e-07
1866,7.541699886814968e-08
1867,7.667442503134225e-08
1868,1.1164115676365327e-07
1869,9.474027207190261e-08
1870,1.0435968622601877e-07
1871,1.0621177182201791e-07
1872,1.1489944995446422e-07
1873,1.3408649868207334e-07
1874,8.78267527593124e-08
1875,5.950388154429831e-08
1876,8.524880712457161e-08
1877,9.091679231687522e-08
1878,9.904105269242791e-08
1879,1.1729904514368172e-07
1880,8.214843205678335e-08
1881,8.924809691279734e-08
1882,9.517200538766701e-08
1883,9.163041170268116e-08
1884,1.0628731939021918e-07
1885,8.637151804880006e-08
1886,1.0067403621860649e-07
1887,6.985949596582941e-08
1888,9.70114015785839e-08
1889,1.0525429389174334e-07
1890,8.848421784168892e-08
1891,5.4818293904190796e-08
1892,8.963972675246623e-08
1893,5.173069794750518e-08
1894,9.011201029807125e-08
1895,9.930714117700745e-08
1896,1.1027443924671587e-07
1897,9.55581029860042e-08
1898,4.583267454449924e-08
1899,8.512470728305743e-08
1900,8.409506035977898e-08
1901,9.165532022237244e-08
1902,5.9414433373206066e-08
1903,8.424343422852587e-08
1904,7.094504894666898e-08
1905,6.708986854953025e-08
1906,4.83553357355504e-08
1907,6.53141114526079e-08
1908,4.7640472899956876e-08
1909,5.4459736276157855e-08
1910,7.37492819036234e-08
1911,5.958818860563042e-08
1912,6.459682211357176e-08
1913,4.613600879110891e-08
1914,6.495841581299899e-08
1915,6.715034550630605e-08
1916,5.3838564495478636e-08
1917,7.457168749169796e-08
1918,8.385054428572403e-08
1919,6.537572261322566e-08
1920,6.96645301445642e-08
1921,7.042655170153012e-08
1922,7.525494127857968e-08
1923,6.157249998750558e-08
1924,7.99280747143527e-08
1925,7.698724568960813e-08
1926,6.57622148958481e-08
1927,8.138934504131612e-08
1928,5.9415413034002995e-08
1929,6.684243802901335e-08
1930,4.621585603103995e-08
1931,7.29942852828458e-08
1932,6.685317543997371e-08
1933,6.194157720074145e-08
1934,5.511526879331541e-08
1935,3.949533677882755e-08
1936,5.092380250815154e-08
1937,5.414180748175568e-08
1938,4.6674770715071645e-08
1939,5.199976982339649e-08
1940,4.564409294971483e-08
1941,3.836953510472085e-08
1942,5.158160010232393e-08
1943,2.9032351633873077e-08
1944,5.7837350908584995e-08
1945,6.099811145077183e-08
1946,5.707652839248567e-08
1947,6.914105021849082e-08
1948,5.870819563824625e-08
1949,5.2030142749792674e-08
1950,6.806631347444636e-08
1951,5.010858927789741e-08
1952,5.799642255333026e-08
1953,4.3095308654983455e-08
1954,7.036225779799565e-08
1955,4.1296675412638706e-08
1956,7.500181564701336e-08
1957,5.6544241289202546e-08
1958,5.3769582231133484e-08
1959,5.735553543217975e-08
1960,5.1214165353030694e-08
1961,5.905935296368625e-08
1962,7.483508790429028e-08
1963,5.431484673135145e-08
1964,6.144808195607254e-08
1965,4.322914293197755e-08
1966,6.2591546168278e-08
1967,6.015009368365298e-08
1968,6.153239778816655e-08
1969,5.495526961274422e-08
1970,6.208279046404641e-08
1971,7.913131860881606e-08
1972,5.130146973897354e-08
1973,5.678599990233124e-08
1974,5.513060230555311e-08
1975,3.940921189382607e-08
1976,3.713792295911844e-08
1977,4.701425632136491e-08
1978,4.217819693508318e-08
1979,4.3889801348839796e-08
1980,3.695347783327918e-08
1981,3.732074344009462e-08
1982,4.7177016626598345e-08
1983,3.978649010250024e-08
1984,5.161117666574455e-08
1985,4.8124465190646504e-08
1986,6.474044433879556e-08
1987,3.6664902669514277e-08
1988,3.1781734577407406e-08
1989,3.677041959804228e-08
1990,4.0320016769790357e-08
1991,2.8135032359433154e-08
1992,3.801861325758438e-08
1993,4.4867579873653085e-08
1994,4.536436981616987e-08
1995,4.012613474824178e-08
1996,4.697521238661295e-08
1997,3.356426292455694e-08
1998,4.9588542716527684e-08
1999,3.838968867797554e-08
2000,2.960081080249921e-08
2001,4.687896701383032e-08
2002,4.205972459203622e-08
2003,4.833630545819645e-08
2004,5.1536056866474667e-08
2005,4.1884871682107416e-08
2006,5.270899200437995e-08
2007,4.8732648139093726e-08
2008,4.896055694203483e-08
2009,6.580105349485166e-08
2010,6.896738080630627e-08
2011,6.462512389115993e-08
2012,8.442546417519736e-08
2013,1.001295915070699e-07
2014,9.181487892195861e-08
2015,9.996755245822442e-08
2016,1.110238241341932e-07
2017,8.200892764875789e-08
2018,9.628871078248835e-08
2019,8.418259428433217e-08
