year,écoutant_VERB en_ADP
1800,9.432493897065797e-09
1801,2.3811825844433088e-09
1802,3.1329761895904085e-08
1803,7.801356893821776e-09
1804,1.4831105232815389e-08
1805,0.0
1806,2.305335300434308e-08
1807,0.0
1808,1.1330369531492579e-08
1809,6.7770917766551975e-09
1810,0.0
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,1.4305412854298538e-08
1819,9.315945348475907e-09
1820,1.6613073583471305e-08
1821,1.1833785507064931e-08
1822,0.0
1823,2.9648060007048116e-08
1824,6.736890156844311e-09
1825,1.2327619813845558e-08
1826,1.7615968128659176e-08
1827,2.3043183361437514e-08
1828,3.210305266065916e-08
1829,6.858540679832714e-09
1830,4.487839233568991e-08
1831,6.236482441579483e-09
1832,2.3000947813045514e-08
1833,1.2741991461950875e-08
1834,1.2134890647885754e-08
1835,9.075705520444899e-09
1836,1.3441500523736494e-08
1837,1.2524203785169163e-08
1838,1.0730675237269338e-08
1839,6.292327547896548e-09
1840,7.006657365415947e-09
1841,9.630822361827995e-09
1842,1.0733223643200063e-08
1843,1.1223130924609137e-08
1844,8.232841963717874e-09
1845,1.4508592383055685e-08
1846,1.7563503984519002e-09
1847,6.47186837454683e-09
1848,4.0226108000140925e-09
1849,2.1786478399121734e-08
1850,1.4935791270431764e-08
1851,1.1608989325395669e-08
1852,9.114764054629632e-09
1853,5.971931837933653e-09
1854,8.832629738719788e-09
1855,1.5920811335945473e-08
1856,2.692138334481342e-08
1857,1.5620829074691756e-08
1858,1.7127865237220874e-08
1859,1.8331824946926645e-08
1860,1.2358396750400402e-08
1861,8.960331143725853e-09
1862,1.807194582870153e-08
1863,1.848009767435599e-08
1864,1.4384184066074113e-08
1865,1.2237795665726026e-08
1866,5.838735384067206e-09
1867,1.9896527092555516e-08
1868,1.0867722721741302e-08
1869,1.6603965091732675e-08
1870,1.834895613228582e-08
1871,1.274541272522356e-08
1872,8.4662747923403e-09
1873,1.3767810003173508e-08
1874,7.169530746864439e-09
1875,1.1443054503956773e-08
1876,2.418405919968336e-08
1877,7.421779191219002e-09
1878,6.039088784604019e-09
1879,1.3440515367335593e-08
1880,1.9895322722618403e-08
1881,7.669758217421219e-09
1882,9.317538740560849e-09
1883,6.319338829996468e-09
1884,7.922036360241691e-09
1885,1.0957580620640783e-08
1886,1.4842966855610484e-08
1887,1.5016526300204447e-08
1888,1.9021843655764314e-08
1889,6.265136853755848e-09
1890,5.243509182406569e-09
1891,1.0836173736095134e-08
1892,1.3790727448892426e-08
1893,8.005941687372342e-09
1894,4.411077725308132e-09
1895,1.023164486468886e-08
1896,1.2973464080801023e-08
1897,7.574727511894253e-09
1898,1.4145887239358501e-08
1899,6.633094074004475e-09
1900,7.786579936386318e-09
1901,8.941982265753268e-09
1902,6.383369222096036e-09
1903,4.860198465905796e-09
1904,5.912087708281888e-09
1905,1.0837593933388234e-08
1906,2.572092316910357e-09
1907,6.685696163355459e-09
1908,5.40252820258047e-09
1909,1.7053048750881317e-08
1910,1.4963621453034648e-08
1911,2.2877609140437016e-08
1912,1.3544495303108306e-08
1913,1.4318072061314524e-08
1914,1.0714789944188396e-08
1915,7.068456930880984e-09
1916,1.0987462051303964e-09
1917,2.0836205649743533e-08
1918,1.4932290071101306e-08
1919,1.1970202606903513e-08
1920,1.0601124422748853e-08
1921,3.4077363153528495e-08
1922,2.1396012073182646e-08
1923,1.0615948120573648e-08
1924,5.156649773851996e-09
1925,1.759708534443405e-08
1926,1.7833821974733155e-08
1927,1.6723836537835268e-08
1928,1.3711249025050165e-08
1929,5.570203187588163e-09
1930,1.575540586884472e-08
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,2.2941324395731044e-09
