year,durent_VERB avoir_VERB,durent_VERB savoir_VERB
1800,1.1004575384276905e-07,9.432493897065797e-09
1801,5.9529565277216534e-08,2.3811825844433088e-09
1802,1.2531904758361634e-07,0.0
1803,4.4857802805609026e-08,0.0
1804,1.038177401824214e-07,0.0
1805,1.1655798459742073e-07,3.980028751016107e-08
1806,4.3225035994964855e-08,2.881669125542885e-08
1807,1.0818429529990681e-07,0.0
1808,7.931259204951857e-08,1.1330369531492579e-08
1809,1.219876537561504e-07,2.259030518203531e-09
1810,7.020380365929668e-08,0.0
1811,1.3287507272252697e-07,0.0
1812,8.801787032552966e-08,0.0
1813,3.738464116054274e-08,0.0
1814,7.866692897096073e-08,0.0
1815,4.315557688983063e-08,0.0
1816,9.270415546325239e-08,0.0
1817,7.317304806520042e-08,0.0
1818,1.5616741677604296e-07,0.0
1819,9.108924103884419e-08,7.24573512300708e-09
1820,6.882559233645225e-08,5.933240565525466e-09
1821,9.565643921405353e-08,3.254291058851777e-08
1822,6.215881853677274e-08,1.0025615893027862e-09
1823,9.78386012207011e-08,1.3835761869529506e-08
1824,1.1536924660049408e-07,6.736890156844311e-09
1825,1.1006803646296248e-07,8.805443485471187e-09
1826,7.839106075380187e-08,7.927186018719112e-09
1827,9.8624823863247e-08,1.566936447261469e-08
1828,1.6051527040872315e-07,5.503380862137419e-09
1829,1.2688300898844318e-07,1.8860987438529264e-08
1830,1.1793624565825667e-07,2.0873671680021744e-09
1831,9.510635834431014e-08,0.0
1832,1.1229874274931717e-07,0.0
1833,1.5637898798104288e-07,2.3167257001688313e-09
1834,1.7922299377914896e-07,2.8003592777992026e-09
1835,1.595811625065835e-07,0.0
1836,1.384474472843067e-07,2.016224964762614e-09
1837,1.3637466622640204e-07,5.5663127440652715e-09
1838,1.401299982717319e-07,3.787297142565649e-09
1839,1.6849455164447136e-07,9.088918062616358e-09
1840,1.859949065874389e-07,1.9109065441114126e-09
1841,1.5794549312886375e-07,1.1556987367100646e-08
1842,1.3886108263250208e-07,1.341653010911159e-09
1843,1.5948660347930854e-07,3.5441467538532834e-09
1844,1.394094510942523e-07,1.097712254427563e-09
1845,1.9698204312135204e-07,3.9061593959388574e-09
1846,1.50460678582931e-07,3.5127007969038004e-09
1847,1.537068783363793e-07,7.011190739092399e-09
1848,8.447482713336285e-08,1.206783295515379e-08
1849,1.508294644736452e-07,3.3517659758786067e-09
1850,1.4256892200137372e-07,4.073397619208663e-09
1851,1.3414832267244492e-07,6.449438760824933e-10
1852,1.634146968854111e-07,0.0
1853,1.2839653606988577e-07,4.777545470346922e-09
1854,1.1378504893855279e-07,3.63696517347023e-09
1855,1.3214273053563375e-07,5.306937111981824e-10
1856,1.7291812071107415e-07,1.0354378465748937e-09
1857,1.1862066884305023e-07,2.4407544874094356e-09
1858,1.6932119706325466e-07,4.893676019968041e-10
1859,9.573285808528453e-08,1.5276520048956854e-09
1860,1.1809134292661838e-07,1.8308735638683515e-09
1861,1.4289369687503495e-07,4.715963730639317e-10
1862,1.2379283020891307e-07,4.517986262886353e-10
1863,1.11879508324364e-07,4.994620828036034e-10
1864,1.6445916628526902e-07,2.3973640850272204e-09
1865,1.214365852320043e-07,2.8241067262513297e-09
1866,1.1969407864853565e-07,3.4059290943133647e-09
1867,1.3539343513002677e-07,3.88224918879132e-09
1868,1.1460507920446616e-07,3.951899252285784e-09
