year,tout_DET an_NOUN,tout_DET sang_NOUN
1800,9.432493186523061e-08,0.0
1801,9.048494087338099e-08,2.1430643926123594e-08
1802,8.056224487518193e-08,4.475680270843441e-09
1803,6.241085537261881e-08,2.3404069793286908e-08
1804,6.426812215742927e-08,2.4718509461507665e-09
1805,8.528633421711618e-08,0.0
1806,7.20417272503937e-08,1.729001475325731e-08
1807,6.832692633906845e-08,8.540865792383556e-09
1808,8.38447360429484e-08,1.1330369975581789e-08
1809,7.454800399209205e-08,6.7770917766551975e-09
1810,8.658468830802235e-08,0.0
1811,7.521230127593981e-08,2.5070767684098882e-09
1812,5.601137331723294e-08,2.6672082320544632e-09
1813,9.489947139229571e-08,2.8757416448144113e-09
1814,1.0069367162302001e-07,6.293354282149721e-09
1815,1.4565007488975823e-07,8.091670666843243e-09
1816,9.270415723960923e-08,6.952811659743929e-09
1817,8.874178414330913e-08,7.784366928831332e-09
1818,6.795070950360582e-08,4.768470951432846e-09
1819,8.073819235399071e-08,3.1053151161586356e-09
1820,7.119888678630559e-08,4.034603762193001e-08
1821,6.804427155060466e-08,4.930744257336528e-09
1822,7.920236555492011e-08,1.303330066093622e-08
1823,6.324919477052049e-08,5.929612356680991e-09
1824,8.757956937444078e-08,7.57900142644985e-09
1825,7.660735379388939e-08,9.68598712347557e-09
1826,5.989429308073113e-08,2.6423952803611428e-08
1827,6.359918347520477e-08,4.6086365279585095e-09
1828,7.246118116643885e-08,7.337841001486822e-09
1829,5.486832571621747e-08,1.543171657125697e-08
1830,7.827626746781391e-08,2.400472176589119e-08
1831,9.510636012066698e-08,1.8709447990872263e-08
1832,6.359085902296613e-08,2.4353944860777688e-08
1833,6.023486687212198e-08,4.054269808762001e-08
1834,8.961149400299462e-08,9.334531370086552e-09
1835,6.277362984974388e-08,1.5882484660778573e-08
1836,4.838940070861497e-08,1.0753200274660202e-08
1837,5.21841809764112e-08,4.453050195252217e-08
1838,5.807189129569679e-08,1.3255539776935166e-08
1839,7.90036712716713e-08,1.67795404237836e-08
1840,5.5416291111498595e-08,1.0828470731194528e-08
1841,6.292137655350416e-08,2.5682193260934127e-08
1842,7.043678440510348e-08,2.1466449062756965e-08
1843,5.1390125543893106e-08,5.198081698409851e-08
1844,5.982531986470363e-08,2.305195678786731e-08
1845,5.915041817461386e-08,3.794555114566833e-08
1846,6.908311478426299e-08,1.8734404472198207e-08
1847,5.123562374365065e-08,6.47186837454683e-08
1848,5.712107536970379e-08,4.103063083737979e-08
1849,5.614207854165443e-08,2.9327953399160833e-08
1850,6.11009625117731e-08,3.4623877986916796e-08
1851,6.191461188187475e-08,2.192809134271556e-08
1852,5.5990692304774825e-08,3.580800100877468e-08
1853,6.270528363216954e-08,1.6721409812348043e-08
1854,5.3515345765919875e-08,1.9223958425129695e-08
1855,6.102977678779098e-08,2.4411910715116392e-08
1856,6.782117567549761e-08,3.468716758270318e-08
1857,5.9554409848061596e-08,5.8578107697826454e-08
1858,4.4532450116374633e-08,2.9851424443450014e-08
1859,5.0412515051334594e-08,3.258990899368541e-08
1860,3.936378267788143e-08,4.714499302060915e-08
1861,5.1404003997834735e-08,6.649508765832479e-08
1862,4.337266945597662e-08,9.668490807968055e-08
1863,5.4940829219418674e-08,3.096664968893492e-08
1864,6.185199019625998e-08,4.17141343689309e-08
1865,5.601144886790976e-08,2.447559133145205e-08
1866,6.033360056001413e-08,3.16264845423575e-08
1867,6.98804871746006e-08,4.221945815174877e-08
1868,5.532659119733552e-08,4.4952855660085334e-08
1869,5.07885999923019e-08,1.7092317561306913e-08
1870,6.020751142088443e-08,4.931282049369656e-08
1871,4.991953250765846e-08,8.17830663191188e-08
1872,5.6844988272075625e-08,2.2979889990892843e-08
1873,5.207823960962088e-08,3.5916027651961e-08
1874,5.19790986919233e-08,5.197909969112402e-08
1875,4.520006324781889e-08,3.6045619822289154e-08
1876,3.990369745743294e-08,7.920279632145366e-08
1877,4.514915652453766e-08,4.700460209949853e-08
1878,5.857915974516459e-08,4.589707236490881e-08
1879,4.5209007426549874e-08,5.315112971970848e-08
1880,6.032775390352185e-08,4.428314070992201e-08
1881,6.066081525979428e-08,7.94865895326069e-08
1882,5.856738805043449e-08,5.657077295495583e-08
1883,6.066565516604783e-08,7.014466368859829e-08
1884,5.941527181363426e-08,5.479408571318345e-08
1885,7.154655756735906e-08,6.252266637751802e-08
1886,8.583107158344205e-08,5.42090978772336e-08
1887,8.161155617969484e-08,8.618180658004349e-08
1888,6.086990267384351e-08,4.438430423192585e-08
1889,4.1976415232625186e-08,8.39528337404083e-08
1890,5.702316308031641e-08,2.7528423984790606e-08
1891,5.418087090092172e-08,2.8046567734918426e-08
1892,5.202865427378356e-08,4.199903358426127e-08
1893,4.434059919233846e-08,5.357822274731916e-08
1894,4.537108289071057e-08,6.238523897472703e-08
1895,5.597311303340291e-08,5.5973114143625935e-08
1896,4.00997970384509e-08,5.7201179293198123e-08
1897,5.127507751723215e-08,3.7873638114582775e-08
1898,5.884688925039683e-08,6.95977684372906e-08
1899,4.532614283903058e-08,6.743645997175918e-08
1900,5.1391426669766815e-08,4.3085741197046445e-08
1901,5.365189231776313e-08,4.247441509619421e-08
1902,4.4192553616539954e-08,3.6827128013783295e-08
1903,5.8322378038155875e-08,6.048246348200337e-08
1904,7.524475087450355e-08,6.610788716443494e-08
1905,5.47040444054403e-08,7.637923715719808e-08
1906,5.4013936157115694e-08,4.5268823356536814e-08
1907,5.965698218757254e-08,6.839981381290272e-08
1908,5.598983587873363e-08,6.974172350737717e-08
1909,5.115914536446553e-08,5.886052534265218e-08
1910,5.451033668890659e-08,5.985448747747313e-08
1911,4.9479480068725934e-08,7.395320023029228e-08
1912,5.7303632061689314e-08,6.251305373350391e-08
1913,4.719660712249052e-08,4.6136010123376536e-08
1914,5.960101834290299e-08,6.36190631286837e-08
1915,6.008188702111283e-08,2.4739600590351074e-08
1916,4.394984731703744e-08,7.69122365795738e-08
1917,5.154219528957782e-08,9.321460936462245e-08
1918,5.628324206696789e-08,4.0202315254589394e-08
1919,6.077179848240633e-08,3.6831394822911534e-08
1920,5.3762846174976175e-08,4.921950491620919e-08
1921,6.66401783200321e-08,7.194110041019997e-08
1922,5.164554894854234e-08,5.164554800485277e-08
1923,8.386599104071024e-08,5.201814579081088e-08
1924,8.89522118185937e-08,4.769901085222017e-08
1925,1.0888196300129493e-07,5.719052609265418e-08
1926,7.133528434621894e-08,8.693987685326476e-08
1927,7.469980900509654e-08,4.6826745592198904e-08
1928,9.9406560316595e-08,6.741364222406787e-08
1929,8.689517105864297e-08,5.7930112262738476e-08
1930,8.192810962981412e-08,4.831657673953771e-08
1931,6.38699964028433e-08,6.044839295782367e-08
1932,6.356531168094648e-08,4.493409921924041e-08
1933,6.42357074198685e-08,3.2117854820157277e-08
1934,5.990790086229936e-08,5.511526879331541e-08
1935,5.0266792506192814e-08,3.710168083870258e-08
1936,6.426098586587159e-08,5.092379984361628e-08
1937,4.5328025333191135e-08,4.280980325788164e-08
1938,4.797129227185337e-08,6.482606929036905e-08
1939,4.894096239382861e-08,3.211750598808294e-08
1940,5.0715657451405605e-08,2.2822046474857416e-08
1941,4.7224043342453115e-08,4.427253985639368e-08
1942,5.158160010232393e-08,3.034211815133858e-08
1943,4.935499942071431e-08,4.935499875458049e-08
1944,4.498460803858961e-08,3.213186161588055e-08
1945,6.7533628023142e-08,7.189063211399116e-08
1946,5.150808668474838e-08,5.4292306650438604e-08
1947,6.079644165879472e-08,5.7220179483508105e-08
1948,5.87081931957556e-08,4.457474189756283e-08
1949,6.970075883128146e-08,3.435952899977224e-08
1950,7.338399132805762e-08,6.168509836257385e-08
1951,4.904244743642039e-08,3.731490494374157e-08
1952,5.061505825576518e-08,5.166953798152463e-08
1953,4.632745842503283e-08,5.063698993446053e-08
1954,4.202190417856855e-08,4.1044653009691956e-08
1955,5.5375088070519496e-08,5.443652462133741e-08
1956,4.8838391997207964e-08,3.0523995775411095e-08
1957,4.417518734145531e-08,2.6505113492891752e-08
1958,3.722509600567747e-08,3.0607301415574995e-08
