year,était_VERB allemand_ADJ,était_VERB salement_ADV
1800,3.144164484325529e-08,0.0
1801,9.524730337773235e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,4.290746247193056e-08,0.0
1804,1.9774808235339947e-08,0.0
1805,1.1371511021707192e-07,0.0
1806,2.881669125542885e-09,0.0
1807,6.263301344233696e-08,0.0
1808,2.039466595604722e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,2.106114038724627e-08,0.0
1811,6.769107407933461e-08,0.0
1812,4.000812303672774e-08,0.0
1813,8.627225156487839e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,3.012885052555703e-08,0.0
1817,5.1376823684279316e-08,0.0
1818,5.48374146092101e-08,0.0
1819,1.035105001712111e-08,0.0
1820,2.966620282762733e-08,0.0
1821,6.311352329646525e-08,0.0
1822,7.418955760840618e-08,0.0
1823,2.9648060451137326e-08,0.0
1824,5.052667706451075e-08,0.0
1825,5.899646815521464e-08,0.0
1826,2.9947145208097936e-08,0.0
1827,5.1616730445402936e-08,0.0
1828,6.695779575238703e-08,0.0
1829,8.658908079439698e-08,0.0
1830,6.888311965269622e-08,0.0
1831,5.301009919911337e-08,0.0
1832,7.035583848846727e-08,0.0
1833,3.01174338801502e-08,0.0
1834,7.560969983444465e-08,0.0
1835,4.689114518896531e-08,0.0
1836,4.771732697861353e-08,0.0
1837,2.922314124020886e-08,0.0
1838,7.258986123304112e-08,0.0
1839,6.50207212515852e-08,0.0
1840,1.1401742838756945e-07,0.0
1841,5.650082890440444e-08,0.0
1842,9.86115011869515e-08,0.0
1843,7.797122769659381e-08,0.0
1844,7.793756928720086e-08,0.0
1845,7.700714554914612e-08,0.0
1846,5.737411434836304e-08,0.0
1847,5.9325460988191026e-08,0.0
1848,4.9075852492919125e-08,0.0
1849,4.105913298246833e-08,8.379414939696517e-10
1850,4.820187093912409e-08,0.0
1851,8.319775801624019e-08,0.0
1852,6.77096707590863e-08,0.0
1853,8.002388796057858e-08,0.0
1854,5.7671875275389084e-08,0.0
1855,9.393278332936461e-08,5.306937111981824e-10
1856,8.645906035553708e-08,2.0708756931497874e-09
1857,8.445010735158576e-08,0.0
1858,4.159624511501647e-08,0.0
1859,1.0082503010266919e-07,0.0
1860,8.010071894659632e-08,0.0
1861,5.517677514887964e-08,0.0
1862,9.532951494861663e-08,0.0
1863,8.790532923796945e-08,0.0
1864,4.027571520737183e-08,0.0
1865,7.672156243643258e-08,0.0
1866,7.639012444826676e-08,0.0
1867,7.085104947179843e-08,2.426405742994575e-09
1868,5.77965266757019e-08,0.0
1869,6.543915809231748e-08,0.0
1870,6.880858549607183e-08,0.0
1871,8.390730243945654e-08,0.0
1872,7.559173909044148e-08,0.0
1873,7.542365310087007e-08,0.0
1874,6.990292611419591e-08,0.0
1875,5.89317288302027e-08,0.0
1876,4.6554314181435075e-08,0.0
1877,6.370360416951826e-08,0.0
1878,6.824170384334138e-08,0.0
1879,6.720257772485638e-08,0.0
1880,8.535735673831368e-08,0.0
1881,5.159655636077787e-08,0.0
