year,entrant_VERB en_ADP,entrant_VERB sans_ADP
1800,7.734644471568686e-07,3.144164395507687e-08
1801,8.048396935578239e-07,1.4287095950749062e-08
1802,9.466064057050971e-07,3.5805442166747525e-08
1803,8.835036720000744e-07,1.755305234496518e-08
1804,6.599842148347079e-07,3.9549615138412264e-08
1805,7.192480779849575e-07,0.0
1806,7.521156577539045e-07,3.458002950651462e-08
1807,7.60137016442286e-07,1.1387820464392462e-08
1808,7.047490342415585e-07,2.2660739062985158e-08
1809,6.867452952974418e-07,4.0662548883574345e-08
1810,5.45249545069737e-07,1.1700633351097167e-08
1811,6.042055225030651e-07,3.008491944456182e-08
1812,7.734904059475411e-07,2.6672083208723052e-08
1813,4.3711273178814736e-07,1.1502966579257645e-08
1814,1.1862973070542182e-06,2.2026739543434815e-08
1815,8.064698169274465e-07,1.6183340889597275e-08
1816,7.671268686948451e-07,2.3176038865813098e-08
1817,7.550836063074939e-07,2.0239355080775567e-08
1818,9.644232858985191e-07,5.2453181353939726e-08
1819,7.74258528402072e-07,5.2790355198339967e-08
1820,8.318403388329898e-07,2.1359666035891678e-08
1821,1.2139491527562996e-06,4.043210211079895e-08
1822,8.03051818820677e-07,4.110502516141423e-08
1823,1.4033415425274143e-06,3.261286707356703e-08
1824,9.465330776947667e-07,2.947389532437228e-08
1825,9.140049925804306e-07,4.3146670236637874e-08
1826,1.0032294248674134e-06,2.025836387531399e-08
1827,8.56284656958195e-07,2.027800150017356e-08
1828,8.172520153948426e-07,4.4027046897099353e-08
1829,8.830371491796996e-07,3.5150023336427694e-08
1830,7.598016225074389e-07,1.6698937344017395e-08
1831,7.686464726930353e-07,4.2096257146795324e-08
1832,7.820322124318935e-07,3.111892965534935e-08
1833,6.278326667441547e-07,2.6642345218874652e-08
1834,8.755790124048701e-07,4.947301235347368e-08
1835,9.068142574619742e-07,4.9160071569076536e-08
1836,1.1297581217206698e-06,3.763620171071125e-08
1837,1.0575994195960448e-06,2.99189295560609e-08
1838,9.632359123656897e-07,3.471689069556305e-08
1839,9.878954871922474e-07,1.4682098203877558e-08
1840,9.943084249286471e-07,2.0383003729307347e-08
1841,1.072873654806017e-06,2.760835826620678e-08
1842,8.479247259884914e-07,3.085801836277824e-08
1843,8.990318507429151e-07,2.9534556134080958e-08
1844,9.989181126712765e-07,1.5367971784030487e-08
1845,1.011695331953888e-06,3.3481368622023666e-08
1846,9.092040471614382e-07,1.1123552745573306e-08
1847,9.842633534873357e-07,1.294373674909366e-08
1848,7.819955234467102e-07,2.011305433313737e-08
1849,1.0415612532455043e-06,1.5920888607467987e-08
1850,9.368814559707062e-07,2.1045888587423178e-08
1851,9.480675036144248e-07,1.9348316726564008e-08
1852,9.375185303639455e-07,3.776116330733714e-08
1853,1.0325469741445659e-06,2.3290533723852036e-08
1854,8.396194024484771e-07,1.454786069388092e-08
1855,9.97173525973949e-07,2.7596072982305486e-08
1856,1.171597979521266e-06,2.3815070360200252e-08
1857,1.0714912992426662e-06,1.8061584228235006e-08
1858,9.165854990555999e-07,2.0553439838977283e-08
1859,9.46635048570954e-07,2.64793023063703e-08
1860,9.245911343214175e-07,1.830873586072812e-08
1861,9.823351918569756e-07,3.678451676591976e-08
1862,7.594734801052994e-07,3.7047487744246155e-08
1863,8.695634612365666e-07,2.447364177982081e-08
1864,9.60384001658099e-07,3.3563097190381086e-08
1865,9.093623374312187e-07,2.0710114956301595e-08
1866,9.507407590092498e-07,3.21130452229923e-08
1867,8.317718638295446e-07,3.154327288257264e-08
1868,8.382966356634824e-07,1.877152122631287e-08
1869,9.224967634224868e-07,5.567211891488455e-08
1870,9.696276501713896e-07,3.727131803188399e-08
1871,9.898936710328599e-07,1.1683294776076991e-08
1872,8.859351856571607e-07,2.2979889990892843e-08
1873,8.506112134654131e-07,3.831042860724665e-08
1874,1.0724423518126969e-06,1.7923827755339516e-08
1875,9.223101784527898e-07,2.7463329388410784e-08
1876,8.881596000875902e-07,3.204387777344664e-08
1877,1.0087434478833757e-06,4.267522935030854e-08
1878,1.0030925770010413e-06,3.261107983654199e-08
1879,9.652733892195897e-07,3.115755908833506e-08
1880,9.921990740124897e-07,3.2089231716270206e-08
1881,8.876002350888257e-07,2.4403775888970358e-08
1882,8.625379130933197e-07,2.928369480237336e-08
1883,1.0174136253482402e-06,1.3270612164717477e-08
1884,1.0371265677378005e-06,1.4523733327109767e-08
1885,9.72001859000926e-07,1.5469525327382883e-08
1886,1.0499785334516787e-06,7.744156427236248e-09
1887,1.0126362628426477e-06,1.958677409152898e-08
1888,1.0664913627778105e-06,1.4583413809887702e-08
1889,9.742287474523437e-07,1.3783300722991498e-08
1890,9.89056932354515e-07,1.6385966361553983e-08
