year,voulaient_VERB avoir_VERB,voulaient_VERB savoir_VERB
1800,7.860410988769218e-08,4.4018303668735825e-08
1801,1.3096504858367553e-07,4.7623650800687756e-08
1802,4.2518962573012686e-08,1.3427040812530322e-08
1803,9.55666195068261e-08,5.851017448321727e-09
1804,1.1370514130248921e-07,4.2021465418429216e-08
1805,1.051864728651708e-07,3.1271653710973624e-08
1806,2.305335300434308e-08,0.0
1807,2.0213381901612593e-07,4.27043254092041e-08
1808,7.478044494746428e-08,1.8128591960930862e-08
1809,1.219876537561504e-07,2.710836710662079e-08
1810,1.3338723192646285e-07,4.680253340438867e-08
1811,9.526891631139733e-08,7.521229861140455e-09
1812,6.13457871168066e-08,5.3344164641089264e-09
1813,2.243078540686838e-07,2.8757416448144113e-09
1814,6.608021863030444e-08,1.2586708564299443e-08
1815,1.5104451733805035e-07,8.091670444798638e-09
1816,5.7940098940889584e-08,1.3905623319487859e-08
1817,1.7748357095115352e-07,4.670620157298799e-08
1818,1.4782260393531033e-07,3.814776761146277e-08
1819,2.0598589856035687e-07,5.072014630513877e-08
1820,2.0291682290007884e-07,3.797273961936298e-08
1821,1.8835442006093217e-07,6.508582117703554e-08
1822,1.3534581455587613e-07,4.110502516141423e-08
1823,1.7986489808663464e-07,3.656594316225892e-08
1824,1.5915902906726842e-07,1.9368560089105813e-08
1825,1.514536194235916e-07,2.6416328680056722e-08
1826,1.5149733201269555e-07,3.2589543508265706e-08
1827,2.1844937236892292e-07,3.6869092667757286e-08
1828,1.0456423638061096e-07,2.7516904310687096e-08
1829,1.6717693540613254e-07,5.229637523029851e-08
1830,2.1186777132697898e-07,6.366470017837855e-08
1831,1.0757932500382594e-07,5.6128342862393765e-08
1832,1.2312271735481772e-07,7.441482807735156e-08
1833,1.2973663388038403e-07,4.40177885252524e-08
1834,1.9229133840781287e-07,5.1339920759119195e-08
1835,1.6714423622943286e-07,7.563087933704082e-08
1836,2.009504243005722e-07,4.032450107160912e-08
1837,1.6629358867703559e-07,3.5485243188304594e-08
1838,2.2408174515931023e-07,6.249040040984255e-08
1839,1.7268943963699712e-07,4.754203075663099e-08
1840,1.5414646270528465e-07,5.923810419972142e-08
1841,1.4510439427795063e-07,4.173356416004026e-08
1842,2.542432468999323e-07,5.2324466537356784e-08
1843,2.0201635209105007e-07,5.079943576902224e-08
1844,2.579623696874478e-07,7.848642269436823e-08
1845,2.081425094502265e-07,6.02664584903323e-08
1846,1.9963849240411946e-07,5.913046408068112e-08
1847,1.7581909617092606e-07,9.438141290729618e-08
1848,1.9791245620126574e-07,2.494018680465615e-08
1849,1.4915359258793615e-07,3.100383594301093e-08
1850,1.7719280265282578e-07,5.159636984330973e-08
1851,1.6639552313790773e-07,6.384944128967618e-08
1852,1.438830565803073e-07,4.557381672043448e-08
1853,1.30188112734686e-07,5.5538965426649156e-08
1854,1.9691567842983204e-07,4.1565314745639625e-08
1855,1.6239226852121647e-07,5.678422709820552e-08
1856,2.1174703590531863e-07,3.9346637947801355e-08
1857,1.723172715628607e-07,2.7336451324799782e-08
1858,1.7959790454824542e-07,3.8170671956549995e-08
1859,2.0521459020983457e-07,4.7357211485632433e-08
1860,2.1695851160075108e-07,4.622955884769908e-08
1861,1.6270074354451936e-07,4.6688040100661965e-08
1862,1.7484606473772146e-07,2.6204320491274302e-08
1863,1.9578914134399383e-07,3.5461809488879226e-08
1864,1.802817735097051e-07,5.418042547944424e-08
1865,1.8497898679470381e-07,4.1890913848874334e-08
1866,1.2407312510731572e-07,7.20110691077025e-08
1867,1.6839256034018035e-07,4.173417877950669e-08
1868,1.6548578685160464e-07,3.556709415875048e-08
1869,1.533424978106268e-07,4.49283774628384e-08
1870,1.3130971865393803e-07,3.7271316699616364e-08
1871,1.5613130699421163e-07,7.328612383616928e-08
1872,2.0137639467066037e-07,3.38650991693612e-08
1873,1.0834668273673742e-07,3.4718826924518e-08
1874,1.4518300872623513e-07,3.764003864148435e-08
1875,1.676407492823273e-07,4.062284375550007e-08
1876,1.529641764363987e-07,5.683254045152353e-08
1877,1.292626592430679e-07,4.08197848855707e-08
1878,1.7573748323229665e-07,6.159870480360041e-08
1879,1.6128618085531343e-07,3.9710613464194466e-08
1880,1.3862548087217874e-07,3.2089232604448625e-08
1881,1.3735839843320719e-07,2.091752193678076e-08
1882,1.3377324137309188e-07,3.128031167420886e-08
1883,1.0237329206574941e-07,4.802697617378726e-08
1884,1.6570258765113977e-07,2.772712726084592e-08
