year,ouvrant_VERB en_ADP
1800,2.2009151834367913e-08
1801,2.1430643926123594e-08
1802,6.042168365638645e-08
1803,8.386458461018265e-08
1804,2.4718509905596875e-08
1805,7.960057502032214e-08
1806,7.204172902675055e-08
1807,6.263301344233696e-08
1808,5.4385775882792586e-08
1809,5.421673421324158e-08
1810,1.8721014072298203e-08
1811,1.0028307428910921e-07
1812,5.867858021701977e-08
1813,4.601186631703058e-08
1814,1.8880061958270744e-08
1815,9.170560133497929e-08
1816,1.1588019610542233e-07
1817,1.2454987263765815e-08
1818,7.033494853203592e-08
1819,5.693077653745604e-08
1820,3.797273873118456e-08
1821,3.4515210245444905e-08
1822,5.81485721795616e-08
1823,8.49911057088093e-08
1824,6.905312588401102e-08
1825,5.8115923406987235e-08
1826,7.04638769555288e-08
1827,6.083400450052068e-08
1828,3.0268594741755805e-08
1829,7.715858174606183e-08
1830,5.427154770032416e-08
1831,8.886987301615079e-08
1832,6.900284255095812e-08
1833,4.054269808762001e-08
1834,4.387229601832132e-08
1835,4.0840674842002045e-08
1836,7.661655132551459e-08
1837,6.262101670539977e-08
1838,3.787297120361188e-08
1839,3.146163773948274e-08
1840,4.649872664685972e-08
1841,3.017657856929645e-08
1842,3.4882979615957765e-08
1843,4.1939067330076796e-08
1844,4.8848196598783034e-08
1845,4.240973244806767e-08
1846,3.6297908678761814e-08
1847,6.579732936273786e-08
1848,6.757986570349317e-08
1849,1.0809445205595125e-07
1850,5.499086874749537e-08
1851,6.44943867200709e-08
1852,4.8829090104618444e-08
1853,3.642878332321686e-08
1854,4.364358102693089e-08
1855,6.474463276617826e-08
1856,8.594133915629243e-08
1857,4.735063896532665e-08
1858,3.229826267547864e-08
1859,5.041251616155762e-08
1860,6.179198441813583e-08
1861,4.0557289082698844e-08
1862,3.7951086273579904e-08
1863,6.692791798545983e-08
1864,8.438721010861627e-08
1865,3.859612363044107e-08
1866,7.833636611609407e-08
1867,4.804283548764943e-08
1868,4.9892727060907305e-08
1869,5.078859777185585e-08
1870,4.759260363584872e-08
1871,8.496942016655851e-08
1872,4.354084193192165e-08
1873,5.267683800269651e-08
1874,3.286035016314415e-08
1875,6.408110309052972e-08
1876,5.078652587364729e-08
1877,4.143826615177204e-08
1878,4.408534692856847e-08
1879,6.231511662235789e-08
1880,5.519347823224052e-08
1881,2.7890030063204563e-08
1882,6.189507928411331e-08
1883,3.2228627433461554e-08
1884,4.093052119458207e-08
1885,4.511945134177964e-08
1886,5.420909632292137e-08
1887,2.285123695822122e-08
1888,3.6775563927449184e-08
1889,4.322944491264025e-08
1890,4.915789730830511e-08
1891,4.461953917456185e-08
1892,7.835640336573135e-08
1893,3.571881634911733e-08
1894,4.0960006941759275e-08
1895,3.009307270041006e-08
1896,5.838058614315855e-08
1897,5.535377978205247e-08
1898,5.941272740450643e-08
1899,6.522542150833033e-08
1900,4.775768813747305e-08
1901,7.32124831870351e-08
1902,7.610940289115575e-08
1903,3.564145267809238e-08
1904,3.493506284257819e-08
1905,4.69629064525634e-08
1906,4.629766053865225e-08
1907,5.297128780057392e-08
1908,3.3397444809679655e-08
1909,3.850688656825696e-08
1910,6.46642256407759e-08
1911,3.883873267440663e-08
1912,5.7303631617600104e-08
1913,3.499973250109534e-08
1914,4.018046340092951e-08
1915,2.9451904914878924e-08
1916,4.8344833913915863e-08
1917,3.728584163642523e-08
1918,5.972915584351313e-08
1919,4.972238287770381e-08
1920,3.7861157764496056e-08
1921,3.1048266180278006e-08
1922,3.98408518398341e-08
1923,3.6094224942218034e-08
1924,3.867487308184536e-08
1925,2.6395627683584166e-08
1926,3.120918601329237e-08
1927,3.9022285847067906e-08
1928,3.1992914983902665e-08
1929,3.420104701667981e-07
1930,2.520864939015155e-08
1931,2.8513390759599133e-08
1932,3.1782654730250215e-08
1933,3.211785326584504e-08
1934,6.230421512043449e-08
1935,3.8298510141032693e-08
1936,3.758661648589623e-08
1937,2.895957251780601e-08
1938,2.8523471029551217e-08
1939,3.364691281149135e-08
1940,2.7893612752905028e-08
1941,2.302171964174704e-07
1942,4.247896612241675e-08
1943,3.774205836748479e-08
1944,3.855823393905666e-08
1945,2.3963544037997053e-08
1946,3.480275978517966e-08
1947,2.9802177392568296e-08
1948,3.805160786463091e-08
1949,4.319483515313749e-08
1950,4.679559140186029e-08
