year,voulant_VERB aider_VERB,voulant_VERB céder_VERB
1800,3.144164484325529e-09,2.2009151834367913e-08
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,0.0,8.951360541686881e-09
1803,1.5602713787643552e-08,3.900678446910888e-09
1804,1.730295728918918e-08,7.4155526164076946e-09
1805,1.1371510622026904e-08,2.55858996212055e-08
1806,8.645007376628655e-09,1.4408345627714425e-08
1807,1.4234775136401367e-08,3.4163463169534225e-08
1808,2.2660739062985158e-08,1.3596443970698147e-08
1809,2.259030518203531e-09,3.388545621874073e-08
1810,1.6380887757350138e-08,1.8721014072298203e-08
1811,1.0028307073639553e-08,6.267691787797958e-08
1812,5.3344164641089264e-09,2.400487453257938e-08
1813,0.0,4.026038169513413e-08
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,2.1577788444915313e-08
1816,2.3176038865813098e-09,2.0858434979231788e-08
1817,7.784366928831332e-09,3.269434145636296e-08
1818,2.384235475716423e-09,2.741870730460505e-08
1819,7.24573512300708e-09,1.5526575580793178e-08
1820,3.5599443393152796e-09,1.4239777357261119e-08
1821,2.6626017834985305e-08,2.070912508145284e-08
1822,1.0025615893027862e-09,2.105379337535851e-08
1823,2.9648061783404955e-09,6.127265805844218e-08
1824,1.0947446504872005e-08,2.4421225930382207e-08
1825,1.144707639788578e-08,1.2327619813845558e-08
1826,2.29007595109465e-08,1.5854372037438225e-08
1827,1.0139000472531023e-08,1.566936447261469e-08
1828,5.503380862137419e-09,1.0089530988466322e-08
1829,5.143905745796928e-09,2.4862210068476998e-08
1830,4.174734336004349e-09,9.39315203396518e-09
1831,7.795603274018958e-09,1.091384405071949e-08
1832,1.2176972319366541e-08,2.841293600397421e-08
1833,4.6334514003376626e-09,1.0425265983826648e-08
1834,9.334531370086552e-09,2.240287422239362e-08
1835,1.5126175867408165e-08,2.8739734148075513e-08
1836,7.392825018825988e-09,3.49478987970997e-08
1837,1.600314980532147e-08,4.0355768504696243e-08
1838,9.468243078458727e-09,2.9667161172142187e-08
1839,2.7965900706306e-09,1.8177836125232716e-08
1840,9.554533164646273e-09,1.0828470564661075e-08
1841,1.540931604537832e-08,1.5409316489467528e-08
1842,6.708265054555795e-09,2.4820581145945653e-08
1843,9.451057714215949e-09,1.3585895075607368e-08
1844,6.037417232818143e-09,2.7442807137845193e-08
1845,5.580227835366713e-09,1.6182660544927785e-08
1846,2.9272506640865004e-09,1.5807152919933287e-08
1847,7.011190739092399e-09,1.6179670936367074e-08
1848,2.494018808141263e-08,3.378993085334514e-08
1849,2.7652069300998505e-08,1.256912263158938e-08
1850,1.968808849284187e-08,2.5119284430275002e-08
1851,1.096404567135778e-08,2.579775504329973e-08
1852,7.812654745364966e-09,1.0416872697760482e-08
1853,5.971931837933653e-09,3.1651239851271384e-08
1854,1.506742641765868e-08,2.338049043260071e-08
1855,1.1675261646360013e-08,1.539011762474729e-08
1856,1.2942972915652717e-08,2.174419400091665e-08
1857,2.0502338549110988e-08,2.9289054737091647e-08
1858,7.34051397444091e-09,1.761723389392955e-08
1859,5.601390684617513e-09,2.2914779407301467e-08
1860,1.2358396750400402e-08,1.373155189554609e-08
1861,1.2733102128237306e-08,1.650587222457034e-08
1862,1.355395884417021e-08,2.2589931703009825e-08
1863,1.6482248454963155e-08,2.4973104473247076e-08
1864,1.726102105692462e-08,1.1986819536957682e-08
1865,2.494627460158938e-08,1.3649848362717876e-08
1866,2.5301186923343266e-08,1.702964524952222e-08
1867,1.455843445796745e-08,2.232293283555009e-08
1868,1.630158441567886e-08,1.778354707937524e-08
1869,1.0743742229202269e-08,9.278686263769487e-09
1870,1.6055336171660883e-08,1.548193218070537e-08
1871,1.3807530452325523e-08,3.080141297573391e-08
1872,1.69325495846806e-08,1.0280476914203973e-08
1873,2.394401849015182e-08,8.380406590902112e-09
1874,2.7483202824640784e-08,1.6728906260254917e-08
1875,1.3731664694205392e-08,2.8607636259891933e-09
1876,1.0278225381910033e-08,1.4510435519810017e-08
1877,1.9791411620673216e-08,1.2369632429454214e-08
1878,1.2682086270032755e-08,1.509772218355465e-08
1879,1.0996785260175557e-08,1.4662380642960215e-08
1880,2.1820676820993867e-08,1.6686399817444908e-08
1881,7.669758161910067e-09,1.3945014920579979e-08
1882,1.3976308999019693e-08,1.8635077481121698e-08
1883,1.579834751908038e-08,4.423537092179686e-09
1884,1.0562715146988921e-08,2.1125430293977843e-08
1885,1.804778038128063e-08,1.353583467533781e-08
1886,1.936039240035825e-08,2.8395241713496944e-08
1887,1.0446279397058333e-08,2.8727267675776602e-08
1888,6.974675947901687e-09,1.014498351992188e-08
1889,1.942192334736248e-08,1.7542383545787743e-08
1890,1.2453334030659846e-08,9.831579994568074e-09
1891,2.5496880162734215e-09,2.1672347472190268e-08
1892,9.402768785804483e-09,1.1283322720601063e-08
1893,1.0469308087124318e-08,1.1085149687062312e-08
1894,5.671385361338821e-09,1.2603078580752936e-08
1895,9.629782971032341e-09,7.824199066419624e-09
1896,4.717623180994224e-09,1.4152869098893461e-08
1897,8.740070001067579e-09,1.3401440845939305e-08
1898,6.2241901632731356e-09,1.6975064687230201e-09
1899,4.4220627160029835e-09,5.527578395003729e-09
1900,1.2458527431924438e-08,1.5054054003371675e-08
1901,1.0618603774048552e-08,1.956058603980182e-08
1902,5.892340670943241e-09,1.6694965410124496e-08
1903,1.5120616536634657e-08,9.720396931811592e-09
1904,8.061937784020756e-09,1.4511488011237361e-08
1905,8.773290538499623e-09,4.1286072338664326e-09
1906,1.1317205839134203e-08,6.6874399351490865e-09
1907,7.71426478252124e-09,1.0799970695529737e-08
1908,4.911388851169818e-09,1.1787333775714615e-08
1909,1.1552065082298668e-08,1.5952851484257735e-08
1910,1.068830179917768e-08,8.550641084070776e-09
1911,9.576673676292558e-09,7.448523575703803e-09
1912,1.1981668712746085e-08,1.40654377034366e-08
1913,1.0075680734189518e-08,1.3787773589513108e-08
1914,1.0045115850232378e-08,1.9420557606508737e-08
1915,1.1780761921542648e-09,2.3561523843085297e-09
1916,2.197492410260793e-09,1.7579939282086343e-08
1917,1.0966424213165737e-08,1.315970976634162e-08
1918,6.89182577673364e-09,3.44591288836682e-09
1919,5.524709190130039e-09,4.603924352863942e-09
1920,1.2115570768855832e-08,1.0601124422748853e-08
1921,6.815472630705699e-09,1.1359120755116692e-08
1922,5.164555005876537e-09,2.951174193910333e-09
1923,2.1231896241147297e-09,1.2739137744688378e-08
1924,1.5469948877466777e-08,1.804827398643738e-08
1925,1.7597084678300234e-08,9.898360353588487e-09
1926,1.0031524610987219e-08,1.7833821530643945e-08
1927,1.0034302277972529e-08,5.574612327308159e-09
1928,4.570416489713125e-09,1.0283437212876834e-08
1929,6.684243825105796e-09,1.2254447234738564e-08
1930,6.302162347537887e-09,9.453243521306831e-09
1931,3.4216069977333063e-09,1.2545892325022123e-08
1932,1.0959536500543265e-08,3.287861094491973e-09
1933,6.882397318719313e-09,1.261772819560747e-08
1934,7.188948103475923e-09,8.38710612072191e-09
1935,8.377798899061872e-09,5.98414207075848e-09
1936,1.576212937948185e-08,2.424942913137329e-09
1937,1.5109341999774983e-08,7.554670666820584e-09
1938,1.1668693011834819e-08,3.8895642262559704e-09
1939,1.8352860564618823e-08,1.5294050470515685e-09
1940,3.803674530900025e-08,0.0
1941,1.1806010391524069e-08,8.854508237732261e-09
1942,3.034211770724937e-09,1.2136847082899749e-08
1943,1.1612940831184915e-08,0.0
1944,9.639558484764166e-09,9.639558484764166e-09
1945,4.357008087652048e-09,4.357008087652048e-09
1946,8.352662561605939e-09,5.568441707737293e-09
1947,2.26496545963073e-08,1.549713246618012e-08
1948,5.435944139264848e-09,7.610321262063735e-09
1949,1.0798709260129158e-08,6.8719057111366055e-09
1950,4.2541445921528975e-09,8.508289184305795e-09
1951,7.462981121975076e-09,8.529121409139861e-09
1952,2.1089607837865287e-09,8.435843135146115e-09
1953,1.185120990232491e-08,7.54167928107563e-09
1954,1.172704333640695e-08,5.863521668203475e-09
1955,1.6894095011821264e-08,7.508486277174597e-09
1956,4.36057079333807e-09,1.744228317335228e-09
1957,7.068030161150318e-09,4.417518795207798e-09
1958,5.790570245522986e-09,4.9633461784992505e-09
1959,6.200598257066758e-09,4.650448914844674e-09
1960,1.3149582978044805e-08,1.1073333361366622e-08
1961,9.032606829162404e-09,9.72742331128984e-09
1962,1.4586499841318101e-08,3.170978146727066e-09
1963,2.0691370394843034e-08,1.0992290633282664e-08
1964,1.1559539991878864e-08,8.517555549758526e-09
1965,6.5664522708175355e-09,6.5664522708175355e-09
1966,1.661722348611505e-08,1.38476865529924e-08
1967,1.0846738507375164e-08,8.381570104631919e-09
1968,1.167768146070891e-08,1.122853987567396e-08
1969,1.498780075048778e-08,1.1808570121729645e-08
1970,1.4256047675687e-08,8.277704743875347e-09
1971,1.284599404627329e-08,1.0276794970565106e-09
1972,9.747278872929144e-09,3.5911027485013847e-09
1973,1.1577728109557484e-08,7.718485406371656e-09
1974,9.563471903284437e-09,6.750686232237513e-09
1975,9.709516302081056e-09,9.138368284311582e-09
1976,1.371246471926213e-08,2.285410749536254e-09
1977,1.4104276691018214e-08,4.7014254711541525e-09
1978,1.1881182593320716e-08,5.940591130126904e-09
1979,1.404473604083023e-08,5.851973128301324e-09
1980,1.4212877152974812e-08,3.97960553399912e-09
1981,1.2018543715797136e-08,5.69299452024552e-09
1982,2.0484757889960292e-08,1.2415004135846175e-08
1983,1.38936957494451e-08,5.052252838311233e-09
1984,1.1018115864125377e-08,1.1018116197192285e-08
1985,1.9249785765396155e-08,4.812446441349039e-09
1986,1.498621315931814e-08,4.7955883708539204e-09
1987,1.2832715334809564e-08,6.110816741511371e-09
1988,8.994830658082265e-09,6.596209356501959e-09
1989,9.878620255143744e-09,7.683371272548811e-09
1990,1.3076762561681221e-08,7.628111475810329e-09
1991,1.2309077312977479e-08,1.7584396161396398e-09
1992,1.5427843669257868e-08,6.61193322315512e-09
1993,2.4926434250005514e-08,1.0524494165053966e-08
1994,1.5824779597828353e-08,5.274926717646622e-09
1995,1.1387146947594573e-08,5.964695848348356e-09
1996,1.3879039695297024e-08,7.473328622609188e-09
1997,1.1507747088579379e-08,7.192341833217597e-09
1998,1.287394890692184e-08,1.0966696883940585e-08
1999,1.2339543525863306e-08,5.941261704833778e-09
2000,1.502130730912654e-08,4.418031274155965e-09
2001,1.621048395517022e-08,6.133696661692056e-09
2002,1.0953053575235572e-08,5.257465574004527e-09
2003,1.0833999475323708e-08,1.0833999475323708e-08
2004,1.8500123877274177e-08,8.80958239690699e-09
2005,1.3961624079072976e-08,4.954124666056714e-09
2006,1.8118715860993007e-08,6.58862386870851e-09
2007,1.4380125895607776e-08,9.586750948642475e-09
2008,1.3623807304519175e-08,6.3861596011349775e-09
2009,1.8595950335154043e-08,7.1522885392028e-09
2010,1.79504135999764e-08,8.97520635589899e-09
2011,2.409102417555431e-08,5.7359579308524644e-09
