year,riant_VERB en_ADP
1800,5.0306631749208464e-08
1801,1.6668277424969347e-08
1802,2.9091921760482364e-08
1803,5.851017448321727e-09
1804,2.4718509461507665e-09
1805,8.528632911009026e-09
1806,1.152667650217154e-08
1807,5.693910232196231e-09
1808,1.3596443970698147e-08
1809,2.259030518203531e-09
1810,1.1700633351097167e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,2.0130190847567064e-08
1814,0.0
1815,2.697223555614414e-09
1816,2.7811246638975717e-08
1817,1.8682481006671026e-08
1818,1.4305412854298538e-08
1819,6.210630232317271e-09
1820,7.119888678630559e-09
1821,1.7750679148775816e-08
1822,2.105379337535851e-08
1823,2.668325471688604e-08
1824,6.231623661534513e-08
1825,1.6730341112491942e-08
1826,1.937756521908085e-08
1827,6.452091305675367e-09
1828,2.4765213879618386e-08
1829,3.3435387791769244e-08
1830,2.9223140574075046e-08
1831,5.301009919911337e-08
1832,1.488296597074168e-08
1833,1.5058717162119706e-08
1834,1.5868701908061666e-08
1835,4.386591001548368e-08
1836,1.0081124712790768e-08
1837,2.1569462660409044e-08
1838,1.830527018853445e-08
1839,1.6779539646627484e-08
1840,1.8472096741106725e-08
1841,2.632424944692957e-08
1842,2.2137274680034125e-08
1843,3.130662956651875e-08
1844,2.195424464446205e-08
1845,1.1160455670733427e-08
1846,1.5807153141977892e-08
1847,5.3932236454556914e-09
1848,2.091757700384278e-08
1849,1.75967720394965e-08
1850,4.073397619208663e-09
1851,6.449438760824933e-09
1852,1.2370036550635177e-08
1853,1.2541057081705276e-08
1854,1.8704392701351935e-08
1855,1.8043586180738203e-08
1856,1.915559949550172e-08
1857,1.4644527368545823e-08
1858,2.1532174210303623e-08
1859,2.3933214521321133e-08
1860,1.1900677776566226e-08
1861,1.5562680033553988e-08
1862,8.584174260306554e-09
1863,1.748117206545885e-08
1864,1.8699438775193755e-08
1865,2.6358328464315406e-08
1866,1.4596838404656864e-08
1867,4.124889585455094e-08
1868,3.1615194018286275e-08
1869,2.0022428159904848e-08
1870,2.4656408914580652e-08
1871,2.9739296358854972e-08
1872,2.53988242659986e-08
1873,4.0106229448610975e-08
1874,2.5093358502203955e-08
1875,1.7164582089002067e-08
