year,pourrait_VERB avoir_VERB,pourrait_VERB savoir_VERB
1800,1.8299036810276448e-06,5.0306631749208464e-08
1801,1.838272964960197e-06,2.1430643926123594e-08
1802,1.7208990357175935e-06,1.5664880947952042e-08
1803,1.7026461591740372e-06,2.145373123596528e-08
1804,2.7734167815651745e-06,8.404293083685843e-08
1805,2.1520584141399013e-06,1.9900143755080535e-08
1806,1.9854701349686366e-06,2.881669125542885e-09
1807,2.8298734378040535e-06,5.124519120158766e-08
1808,2.4926814603531966e-06,4.985362878073829e-08
1809,2.629511527629802e-06,3.6144488291256494e-08
1810,2.9368591185630066e-06,1.8721014072298203e-08
1811,2.9508294119295897e-06,1.504245972228091e-08
1812,3.4940428577101557e-06,5.601137331723294e-08
1813,3.5802984257315984e-06,5.751483289628823e-09
1814,2.7942492124566343e-06,1.2586708564299443e-08
1815,2.848267968147411e-06,2.6972236000233352e-08
1816,2.834429551512585e-06,3.7081662185300956e-08
1817,2.856862693079165e-06,4.826307531402563e-08
1818,2.8932697659911355e-06,2.98029441125891e-08
1819,2.99145335702633e-06,2.794783426907088e-08
1820,3.6833557714999188e-06,2.0173018810965004e-08
1821,2.9288619316503173e-06,5.423818549843418e-08
1822,3.2011791972763604e-06,4.3110148340019805e-08
1823,2.9173691018513637e-06,7.214361374963119e-08
1824,3.06023230223218e-06,6.231623217445303e-08
1825,2.818622306222096e-06,4.3146670236637874e-08
1826,3.5725183806789573e-06,7.927185663447744e-08
1827,3.92563651985256e-06,5.438191053031005e-08
1828,3.96335144614568e-06,5.77854990524429e-08
1829,4.230005288263783e-06,5.658296231558779e-08
1830,3.889808795065619e-06,6.470838087579978e-08
1831,3.890005700668553e-06,2.6505050598757407e-08
1832,4.202408490527887e-06,6.629684889958298e-08
1833,3.994035068899393e-06,8.456049016558609e-08
1834,4.05398668590351e-06,5.694063887062839e-08
1835,3.844317689072341e-06,6.958040899007756e-08
1836,3.7945355870760977e-06,1.0820407680967037e-07
1837,3.517213826853549e-06,6.609996461293122e-08
1838,3.917959020327544e-06,5.9334322344284374e-08
