year,prenant_VERB en_ADP,prenant_VERB sans_ADP
1800,4.087413714159993e-07,5.345079756580162e-08
1801,5.11954228343825e-07,3.809892135109294e-08
1802,7.161088433349505e-07,5.147032311469957e-08
1803,3.6081276166832765e-07,3.315576790896557e-08
1804,5.363916582012962e-07,5.6852570651244605e-08
1805,4.2643165620859236e-07,3.1271653710973624e-08
1806,4.495403720383706e-07,5.76333825108577e-09
1807,5.124518995813787e-07,1.1387820464392462e-08
1808,4.962702089272852e-07,4.078933102391602e-08
1809,6.95781377402227e-07,5.873479480555943e-08
1810,4.844062413411621e-07,5.616304221689461e-08
1811,5.089365728849771e-07,4.011322829455821e-08
1812,4.2942051869943043e-07,6.668020802180763e-08
1813,4.831245981051779e-07,2.5881675469463516e-08
1814,8.024026811881413e-07,2.2026739099345605e-08
1815,5.9069195401662e-07,2.1577788444915313e-08
1816,8.644662585766127e-07,7.416332437060191e-08
1817,5.791568895574528e-07,3.7364962679475866e-08
1818,7.116942697393824e-07,4.410835785506606e-08
1819,6.810991166616986e-07,3.2088255608186955e-08
1820,7.404684296830055e-07,7.357218123615894e-08
1821,6.518443491643211e-07,4.43766958735381e-08
1822,7.599416989023666e-07,3.0076847679083585e-08
1823,7.105651675942681e-07,2.668325471688604e-08
1824,9.187434031332486e-07,5.5579342017608724e-08
1825,7.933704324614155e-07,5.899646993157148e-08
1826,7.812682056851372e-07,5.725189922145546e-08
1827,1.0710471514130404e-06,3.686909388900261e-08
1828,7.71390531895122e-07,3.0268594741755805e-08
1829,7.60440734381973e-07,4.715246859632316e-08
1830,9.414025754495015e-07,2.5048406016026092e-08
1831,1.0679976156779958e-06,3.897801459373795e-08
1832,1.0918685262595318e-06,6.764985016616265e-08
1833,9.8808348525381e-07,6.950177322551099e-08
1834,1.1173433733802085e-06,5.414027981487379e-08
1835,7.555525129987473e-07,5.596685070941021e-08
1836,9.348563096978069e-07,6.72075017860152e-08
1837,1.13622358099974e-06,4.0355768504696243e-08
1838,9.196819803491962e-07,5.7440672662778525e-08
1839,1.1088479254794947e-06,3.076248944466897e-08
1840,9.994041434424616e-07,4.0129037870428874e-08
1841,1.1313006780255819e-06,5.264849800568072e-08
1842,1.0686266449511095e-06,3.5553804789145715e-08
1843,1.0650160575664813e-06,7.442707783411606e-08
1844,1.2008971808086244e-06,4.665277097970488e-08
1845,1.2203958164036521e-06,4.1293688468613254e-08
1846,1.176754821585746e-06,5.1519613464279246e-08
1847,1.264711002590957e-06,5.9325458323655766e-08
1848,1.4344630585583218e-06,5.068489628001771e-08
1849,1.5116464524567164e-06,4.4410899846525353e-08
1850,1.4759276751874495e-06,3.530277936647508e-08
1851,1.380824826924254e-06,4.708090406424503e-08
1852,1.1901276764092472e-06,3.6459056218518526e-08
1853,1.140638985930309e-06,4.001194398028929e-08
1854,1.0682286344376735e-06,2.33804900995338e-08
1855,1.1160488782024913e-06,4.82931277190346e-08
1856,1.4232093690225156e-06,4.4523826403519706e-08
1857,1.2115906002918564e-06,3.7099468386259105e-08
1858,1.2415255952191728e-06,5.236233396876955e-08
