year,dormant_VERB en_ADP,dormant_VERB sans_ADP
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,0.0,1.8128591960930862e-08
1809,0.0,0.0
1810,0.0,0.0
1811,1.0028307073639553e-08,0.0
1812,1.0668832928217853e-08,1.600324850414836e-08
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,1.401186100480345e-08
1818,4.768470951432846e-09,1.4305412854298538e-08
1819,2.070210003424222e-09,8.280840013696888e-09
1820,7.119888678630559e-09,7.119888678630559e-09
1821,5.9168927535324656e-09,5.9168927535324656e-09
1822,4.010246357211145e-09,1.5038423839541792e-08
1823,1.2847492847356534e-08,2.9648061783404955e-09
1824,4.378978779584486e-08,1.6842225392110777e-08
1825,1.3208164340028361e-08,8.805443041381977e-10
1826,1.8496766784892316e-08,1.7615968683770689e-09
1827,1.8434546111834038e-09,0.0
1828,4.586150570418113e-09,0.0
1829,4.286587973467704e-09,8.57317605795771e-10
1830,0.0,2.0873671680021744e-09
1831,3.1182412207897414e-09,0.0
1832,2.705993873419743e-09,1.2176972319366541e-08
1833,8.108540061613212e-09,6.950177322551099e-09
1834,0.0,3.733812370398937e-09
1835,9.075705520444899e-09,4.5378527602224494e-09
1836,2.688300027031687e-09,6.720750067579218e-10
1837,1.5307360490268707e-08,1.3915781860163179e-09
1838,2.3354998823776896e-08,0.0
1839,8.38977065598101e-09,3.4957374772659477e-09
1840,3.1848443882154243e-09,0.0
1841,1.926164561183441e-09,6.420548537278137e-10
1842,5.366612043644636e-09,0.0
1843,4.134837805480629e-09,0.0
1844,7.683985892015244e-09,1.097712254427563e-09
1845,2.2320911785556063e-09,6.696273757711424e-09
