year,plongeant_VERB en_ADP
1800,1.5720821977538435e-08
1801,1.4287095950749062e-08
1802,0.0
1803,7.801356893821776e-09
1804,0.0
1805,2.842877711017877e-09
1806,2.5935023018064385e-08
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,1.4040760554223652e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,0.0
1814,4.090680150170556e-08
1815,2.966945977789237e-08
1816,3.476405652236281e-08
1817,2.9580593974287694e-08
1818,1.4305412854298538e-08
1819,0.0
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,1.1859224380295075e-08
1824,1.6842225392110777e-08
1825,2.641632912414593e-09
1826,4.403992281964975e-09
1827,3.3182182335167454e-08
1828,2.109629271274116e-08
1829,1.5431716349212365e-08
1830,2.400472176589119e-08
1831,3.274153215215847e-08
1832,1.7588959622116818e-08
1833,2.4325620628928846e-08
1834,6.534171426153534e-09
1835,1.5126175867408165e-09
1836,6.72075017860152e-09
1837,1.2524203896191466e-08
1838,1.0730675015224733e-08
1839,9.08891817363866e-09
1840,1.2739377330817092e-09
1841,2.43980835534785e-08
1842,1.9453969102301016e-08
1843,1.7130041385371442e-08
1844,1.4819115712327857e-08
1845,3.013322924516615e-08
1846,3.1614305839866574e-08
1847,2.588747349818732e-08
1848,3.459445302445019e-08
1849,4.357295679824347e-08
1850,2.104588769924476e-08
1851,1.870337307252612e-08
1852,1.1067927019325907e-08
1853,3.881755716861335e-08
1854,2.1302223984775992e-08
1855,4.404757802944914e-08
1856,6.523258377910679e-08
1857,8.78671624349181e-09
1858,1.419166006932926e-08
1859,2.64793023063703e-08
1860,2.1512764902809067e-08
1861,3.489813238388706e-08
1862,4.246907187033244e-08
1863,1.4983863039219614e-08
1864,2.6371003158942585e-08
1865,3.247722446531043e-08
1866,2.7247432754506917e-08
1867,4.367530337390235e-08
1868,4.149494292615685e-08
1869,2.3440891894210836e-08
1870,3.7844721134661086e-08
1871,1.5931766128574054e-08
1872,5.019291648977742e-08
1873,3.95076291681562e-08
1874,4.899179373296647e-08
1875,2.803548326824057e-08
1876,3.6276088577480436e-08
1877,1.2369632207409609e-08
1878,2.8383716710322915e-08
1879,4.032154521382836e-08
1880,4.2357786611546544e-08
1881,1.3945014920579979e-08
1882,2.4624924321869912e-08
1883,2.5909288936531993e-08
1884,4.885255577846692e-08
1885,1.6114089618213256e-08
1886,3.484870347847391e-08
1887,4.309090329002174e-08
1888,4.5018364147608736e-08
1889,2.6313573542324775e-08
1890,3.5393686204088226e-08
1891,3.6970476458009216e-08
1892,5.140180192597654e-08
1893,4.3724757148311255e-08
1894,3.150769600779313e-08
1895,3.009307292245467e-08
1896,3.597187614445829e-08
1897,2.2141510735984582e-08
1898,3.6779305601086776e-08
1899,1.713549302451156e-08
1900,3.9971109089265155e-08
1901,1.956058609531297e-08
1902,4.1737412470599367e-08
1903,4.5361850276037785e-08
1904,2.418581246388385e-08
1905,3.251278357652154e-08
1906,4.423998589686562e-08
1907,3.959989314239465e-08
1908,2.7503778587956162e-08
1909,2.640472107628966e-08
1910,3.4202564336283103e-08
