year,veulent_VERB avoir_VERB,veulent_VERB savoir_VERB
1800,4.181738688657788e-07,1.2262241000371432e-07
1801,4.309940493385511e-07,8.096020565062645e-08
1802,4.296653060009703e-07,7.384872446891677e-08
1803,6.728670314259944e-07,9.946730017418304e-08
1804,4.3998946352985513e-07,1.8044511307380162e-07
1805,5.401467433330254e-07,5.685755510853596e-08
1806,2.881669161070022e-07,7.204172902675055e-08
1807,4.128085038246354e-07,1.224190668835945e-07
1808,4.282879899619729e-07,5.6651849433819734e-08
1809,4.02107446006994e-07,9.03612189517844e-08
1810,4.001616673576791e-07,1.263668423234776e-07
1811,4.061464267124393e-07,6.518399686683551e-08
1812,4.3475495203892933e-07,2.9339290108509886e-08
1813,3.9110085481297574e-07,1.00650957790549e-07
1814,4.5941484927425336e-07,1.258670891957081e-07
1815,3.37152954443809e-07,1.1598061178119679e-07
1816,4.519327490015712e-07,1.7382029682266875e-07
1817,4.5305014850782754e-07,1.7748357095115352e-07
1818,3.945909838876105e-07,1.9550731167328195e-07
1819,6.572916504410387e-07,1.490551255756145e-07
1820,4.900856538370135e-07,1.38837833674188e-07
1821,5.216727458901005e-07,1.7750679148775816e-07
1822,6.215881853677274e-07,1.3634837614517892e-07
1823,4.862282025897002e-07,5.929612001409623e-08
1824,3.3852873571049713e-07,1.440010208852982e-07
1825,5.107157221573289e-07,1.2679838334861415e-07
1826,4.4832640355707554e-07,8.015265962058038e-08
1827,3.613170918015385e-07,8.756409641819118e-08
1828,6.264681928769278e-07,1.3666728193584277e-07
1829,4.3894661416743475e-07,1.3031227297233272e-07
1830,4.654828842376446e-07,1.0958677876260481e-07
1831,3.4300654760954785e-07,1.4655734048574232e-07
1832,2.9765931230940623e-07,1.7588959622116818e-07
1833,3.475088590221276e-07,1.2626155410089268e-07
1834,4.079190034644853e-07,1.110809151327885e-07
1835,4.636172832306329e-07,1.5806853070898796e-07
1836,4.65747973521502e-07,1.5524932450716733e-07
1837,4.814860403712373e-07,1.2037151009280933e-07
1838,4.626814700259274e-07,1.0856918208901334e-07
1839,3.642558681349328e-07,7.970281501457066e-08
1840,3.5351771998648474e-07,1.1146955358753985e-07
1841,3.524881151406589e-07,1.1364370777755539e-07
1842,3.8773771393607603e-07,1.6703579319710116e-07
1843,4.2057206428580685e-07,1.2699858586984192e-07
1844,4.017626906716032e-07,1.2623691247881652e-07
1845,3.950801499286172e-07,1.0993048960017404e-07
1846,5.046580326961703e-07,1.7270778585043445e-07
1847,4.0233447862192406e-07,8.521293182184309e-08
1848,4.336374388458353e-07,9.010648227558704e-08
1849,3.795875045398134e-07,1.0977033326753372e-07
1850,4.039452505821828e-07,7.5357853290825e-08
1851,3.934157746243727e-07,9.02921399870138e-08
1852,4.07560150961217e-07,1.1198137883638992e-07
1853,4.0967452719087305e-07,1.5765900229780527e-07
1854,4.2708362002485956e-07,1.4547860871516605e-07
1855,3.7573113331745844e-07,1.3426550538042648e-07
1856,4.1779915704864834e-07,1.3771322926459106e-07
1857,3.3535968668729765e-07,1.4644527368545823e-07
1858,3.5283403576613637e-07,1.1598012150670911e-07
