year,avaient_VERB eu_VERB,avaient_VERB su_VERB
1800,2.920928864114103e-06,3.804439074883703e-07
1801,2.666924501681933e-06,3.5717738455787185e-07
1802,2.4728133212192915e-06,2.3273537408385891e-07
1803,2.636858653204399e-06,2.2428901047533145e-07
1804,3.6237333915778436e-06,4.350457629698212e-07
1805,2.6609334327076795e-06,4.065315124535118e-07
1806,2.665543888724642e-06,1.7290014397985942e-07
1807,5.819176294608042e-06,3.4448157748556696e-07
1808,2.678499413377722e-06,3.48975390807027e-07
1809,3.9307133192778565e-06,3.7048101830805535e-07
1810,3.4399863579892553e-06,4.727056079900649e-07
1811,4.821108632313553e-06,3.785685862567334e-07
1812,4.491578692977782e-06,4.774302624355187e-07
1813,4.468902716325829e-06,3.7097066751812235e-07
1814,3.731959168362664e-06,3.838946156520251e-07
1815,5.782847438240424e-06,3.560334960184264e-07
1816,4.271344096196117e-06,3.8008704450476216e-07
1817,5.372769919631537e-06,4.561639173061849e-07
1818,5.265584150038194e-06,6.079800414227066e-07
1819,6.149558885226725e-06,6.065715183467546e-07
1820,6.6808288465836085e-06,6.289234875112015e-07
1821,6.580571152881021e-06,6.58747410398064e-07
1822,6.089559065003414e-06,5.463960519591637e-07
1823,6.825971922808094e-06,6.651048352068756e-07
1824,6.390782345988555e-06,5.625303174383589e-07
1825,6.159407348604873e-06,6.181421099427098e-07
1826,6.24838412477402e-06,5.531414331017004e-07
1827,7.009736236796016e-06,6.387570010701893e-07
1828,6.781999672966776e-06,4.852147412748309e-07
1829,7.746722076262813e-06,8.307407597385463e-07
1830,6.818384918005904e-06,6.877874625388358e-07
1831,6.434490842366358e-06,6.470350513154699e-07
1832,6.727100753778359e-06,6.399675385182491e-07
1833,6.7949563344882336e-06,6.301493726823537e-07
1834,6.630317329836544e-06,5.133991862749099e-07
1835,6.739467607985716e-06,5.793325499325874e-07
1836,7.173056474130135e-06,5.961305191704014e-07
1837,7.209766408777796e-06,6.742196205777873e-07
1838,7.589743290736806e-06,6.198542905622162e-07
1839,7.096347417245852e-06,6.411182766896673e-07
1840,8.220083145715762e-06,8.318813229379884e-07
1841,6.756343282177113e-06,8.404497862102289e-07
1842,7.515269317082129e-06,9.820900004342548e-07
1843,6.93057882017456e-06,6.787040547351353e-07
1844,7.72734529164154e-06,9.583028486304102e-07
1845,7.499268122046487e-06,7.918343385426851e-07
1846,7.428191111102933e-06,7.686959975217178e-07
1847,7.663770702492911e-06,9.157693625638785e-07
1848,6.998538538027788e-06,6.508584533548856e-07
1849,7.176131020969478e-06,6.988432232901687e-07
1850,7.076849669829244e-06,7.427161676787364e-07
1851,7.084708613547264e-06,5.849640842825465e-07
1852,6.328901235974627e-06,6.63424600588769e-07
1853,6.757240953447763e-06,7.118542839634756e-07
1854,6.327280061668716e-06,6.593298280677118e-07
1855,6.805085376981879e-06,6.585909204659401e-07
1856,6.017447049089242e-06,7.025445825092902e-07
1857,6.2219714891398326e-06,6.214161203388358e-07
1858,6.550185389642138e-06,7.497111482734908e-07
1859,6.9197544689814094e-06,7.943790478748269e-07
1860,7.124844614736503e-06,8.23435357233393e-07
1861,6.41418228042312e-06,7.748328130219306e-07
1862,6.349126124405302e-06,6.709209401378757e-07
1863,6.2432759477815125e-06,7.387044433926349e-07
1864,6.1621844906767365e-06,7.518133315898012e-07
