year,rêvant_VERB en_ADP,rêvant_VERB sans_ADP
1800,9.432493897065797e-09,1.8864987794131594e-08
1801,0.0,2.3811825844433088e-09
1802,6.713520406265161e-09,4.475680270843441e-09
1803,0.0,1.5602713787643552e-08
1804,0.0,7.4155526164076946e-09
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,0.0,5.76333825108577e-09
1807,0.0,8.540865792383556e-09
1808,0.0,6.798221985349073e-09
1809,4.518061036407062e-09,0.0
1810,2.106114038724627e-08,1.6380887313260928e-08
1811,0.0,2.5070767684098882e-09
1812,8.00162425207418e-09,0.0
1813,0.0,2.8757416004054903e-08
1814,0.0,6.293354282149721e-09
1815,2.697223555614414e-09,0.0
1816,0.0,3.476405652236281e-08
1817,1.0898114077839693e-08,1.5568733857662664e-08
1818,0.0,7.152706427149269e-09
1819,1.035105001712111e-09,1.7596785362172795e-08
1820,1.898636980968149e-08,1.4239777357261119e-08
1821,2.9584463767662328e-09,1.1833785507064931e-08
1822,8.02049271442229e-09,8.02049271442229e-09
1823,1.9765373782121287e-09,2.4706716672540097e-08
1824,3.3684450784221553e-09,1.6842225392110777e-08
1825,1.584979791857677e-08,1.2327619813845558e-08
1826,3.5231937367541377e-09,2.554315425840059e-08
1827,0.0,1.474763688946723e-08
1828,9.172301251858528e-10,8.255071293206129e-09
1829,4.286587973467704e-09,8.57317605795771e-10
1830,3.1310507520032616e-09,1.1480519646056564e-08
1831,0.0,6.236482441579483e-09
1832,0.0,1.7588959844161423e-08
1833,1.1583628500844156e-09,1.737544208513242e-08
1834,2.8003592777992026e-09,1.4935249037506537e-08
1835,6.806779140333674e-09,7.563087933704082e-09
1836,8.736974699274924e-09,6.048674894287842e-09
1837,6.262101948095733e-09,1.8090517084345947e-08
1838,0.0,1.0730675015224733e-08
1839,0.0,1.3283802502428443e-08
1840,1.9109065441114126e-09,1.0828470564661075e-08
1841,1.0914932957462042e-08,1.733548060656176e-08
1842,0.0,1.542900918138912e-08
1843,5.906911071384968e-10,2.953455535692484e-09
1844,1.6465684371524958e-09,1.0977122322231025e-08
1845,5.580227946389016e-10,1.2276501593078137e-08
1846,3.5127007969038004e-09,8.781752214304106e-09
1847,5.9325460100012606e-09,4.853901280910122e-09
1848,0.0,1.0458788390899088e-08
1849,0.0,3.3517659758786067e-09
1850,0.0,6.788996032014438e-09
1851,1.2898877521649865e-09,1.7413483988093503e-08
1852,3.906327261660181e-09,9.765818598239662e-09
1853,1.1346670270029335e-08,1.8512987809415904e-08
1854,4.1565315633818045e-09,1.1430461577255357e-08
1855,2.653468555990912e-09,1.2205955357558196e-08
1856,1.0354378687793542e-08,1.1389816201301528e-08
1857,4.881508974818871e-09,1.9526035899275485e-08
1858,5.3830437884982985e-09,2.0064071959424723e-08
1859,1.018434669930457e-09,2.6988518087023294e-08
1860,9.154367819341758e-10,1.6935580493537827e-08
1861,6.6023493339173456e-09,3.3011746669586728e-09
1862,3.162590411776023e-09,1.8523744316212287e-08
1863,5.993544882620938e-09,8.990317823531768e-09
