year,furent_VERB avant_ADP,furent_VERB savants_ADJ
1800,2.829747991484055e-08,2.2009151834367913e-08
1801,0.0,0.0
1802,4.2518962573012686e-08,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,3.7461699520235925e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,3.113746815941454e-09,0.0
1818,7.152706427149269e-09,0.0
1819,8.280840013696888e-09,1.035105001712111e-09
1820,4.50926265216367e-08,4.746592452420373e-09
1821,2.2681422962023134e-08,9.86148829262845e-10
1822,1.1028177482330648e-08,2.0051231786055723e-09
1823,2.9648061783404955e-09,0.0
1824,3.03160057057994e-08,6.736890156844311e-09
1825,3.874394849390228e-08,8.805443041381977e-10
1826,8.80798456392995e-09,2.642395191543301e-09
1827,2.6730091917670507e-08,2.7651818612639545e-09
1828,1.9261833017480967e-08,9.172301251858528e-10
1829,7.715858174606183e-09,1.1145129263923081e-08
1830,1.3567886369969528e-08,3.1310507520032616e-09
1831,2.8064171431196883e-08,0.0
1832,6.088486514954639e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,1.9602515166639023e-08,0.0
1835,2.647080776796429e-08,3.781543966852041e-09
1836,1.68018754465038e-08,0.0
1837,3.061472142462662e-08,0.0
1838,2.9667161172142187e-08,0.0
1839,9.788065469251706e-09,6.9914751765765e-10
1840,1.9109066329292546e-08,2.5478754661634184e-09
1841,3.2102743574569104e-08,2.5682194149112547e-09
1842,3.3541326160957396e-08,6.708265054555795e-10
1843,1.9492807368237663e-08,7.088293507706567e-09
1844,4.335963410539989e-08,1.6465684371524958e-09
1845,3.013322924516615e-08,2.2320911785556063e-09
1846,2.1076203893244383e-08,0.0
1847,1.6718992412734224e-08,1.6179670936367074e-09
1848,8.84974404868899e-09,0.0
1849,1.0893239199560867e-08,0.0
1850,1.9009188889640427e-08,0.0
1851,1.805842941848823e-08,3.8696632564949596e-09
1852,2.539112742283578e-08,3.2552727180501506e-09
1853,4.478948767427937e-08,5.971931837933653e-10
1854,3.896748168585873e-08,2.0782657816909023e-09
1855,1.963566731433275e-08,1.0613874223963649e-09
1856,1.2942972915652717e-08,7.765783571755946e-09
1857,3.221796163188628e-08,0.0
1858,4.306435030798639e-08,1.468102750479261e-09
1859,1.323965115318515e-08,1.018434669930457e-09
1860,3.570203332969868e-08,1.8308735638683515e-09
1861,3.254015012998934e-08,0.0
1862,1.7620147119146168e-08,4.517986262886353e-10
1863,3.296449690992631e-08,1.4983863039219614e-09
1864,2.4932585773740357e-08,9.589455896019672e-10
1865,2.4946274379544775e-08,0.0
1866,2.1895258939252926e-08,4.865612912574591e-10
1867,2.5719900875742496e-08,3.88224918879132e-09
1868,1.6301584082611953e-08,0.0
1869,2.9301114423674335e-08,9.767038289254515e-10
1870,2.6376625328339287e-08,1.1468097582678638e-09
1871,1.4869648623516696e-08,0.0
1872,4.233137573805834e-08,0.0
1873,3.7711828326791874e-08,0.0
1874,3.4652732239237594e-08,1.1949218281515073e-09
1875,1.716458086775674e-08,0.0
1876,5.139112602137175e-08,6.04601479992084e-10
1877,3.401648740464225e-08,1.2369631985365004e-09
1878,3.563062378475479e-08,1.268208649207736e-08
1879,4.2765275765077604e-08,0.0
1880,2.5671385017744797e-08,0.0
1881,2.5798277292210514e-08,0.0
1882,1.5972924316542958e-08,0.0
1883,3.791603475633565e-08,6.319338941018771e-10
1884,1.1222884843675729e-08,0.0
1885,1.6114089618213256e-08,0.0
1886,1.8069698626277386e-08,0.0
1887,1.697520346510828e-08,0.0
1888,2.028996703984376e-08,0.0
1889,2.5060547415023393e-08,6.265136742733546e-10
1890,3.736000309118026e-08,6.554386478008212e-10
1891,2.7409146952095398e-08,6.374220040683554e-10
1892,2.9462007944403013e-08,6.268512375839919e-10
1893,3.571881634911733e-08,3.079208221734575e-09
1894,1.827446460822557e-08,1.2603078580752936e-09
1895,1.745398137131815e-08,0.0
1896,2.5357223876198987e-08,0.0
1897,3.8456310136325556e-08,0.0
1898,2.9423445013776472e-08,0.0
1899,3.040167939616367e-08,0.0
1900,3.841379481173135e-08,5.191053142894475e-10
1901,4.3033288932292635e-08,1.676621730339889e-09
1902,4.0264328760031276e-08,2.455141867585553e-09
1903,3.888158772724637e-08,5.400220270956879e-10
1904,3.923476299405593e-08,5.374625189347171e-10
1905,5.470404573770793e-08,1.5482277682110634e-09
1906,2.41776678677752e-08,0.0
1907,2.674278576364486e-08,0.0
1908,3.241516921548282e-08,0.0
1909,3.850688656825696e-08,0.0
1910,3.5271394693836555e-08,0.0
1911,6.437652899649038e-08,2.128149656499545e-09
1912,5.261515312326992e-08,3.646594803896619e-09
1913,4.931780495098792e-08,0.0
1914,5.424362470307642e-08,0.0
1915,4.123266705846618e-08,0.0
1916,3.84561182897869e-08,0.0
1917,4.8252267959014716e-08,0.0
1918,4.824278221349232e-08,0.0
1919,4.4197673076951105e-08,0.0
1920,4.164727585020955e-08,0.0
1921,3.1048266180278006e-08,0.0
1922,4.869437475463201e-08,0.0
1923,2.9724654737606215e-08,0.0
1924,3.738571052736006e-08,3.867487219366694e-09
1925,6.048998102414771e-08,0.0
1926,7.244990030130793e-08,1.1146138456652466e-09
1927,7.246995892273844e-08,0.0
1928,6.170062505361784e-08,0.0
1929,4.233354289340241e-08,0.0
1930,5.566909777598994e-08,0.0
1931,3.763767608688795e-08,0.0
1932,8.329247691563069e-08,0.0
1933,5.047091278242988e-08,0.0
1934,6.230421689679133e-08,0.0
1935,7.89906735576551e-08,0.0
1936,5.456121598967911e-08,0.0
1937,4.280980192561401e-08,0.0
1938,3.759912203804561e-08,0.0
1939,5.047036566452334e-08,0.0
1940,4.564409294971483e-08,0.0
1941,5.9030050181263505e-08,0.0
