year,voulant_VERB ôter_VERB,voulant_VERB oter_VERB,voulant_VERB sauter_VERB
1800,4.7162465932615305e-08,0.0,5.345079756580162e-08
1801,7.619784003765062e-08,2.3811825844433088e-09,2.3811825844433088e-09
1802,5.818384352096473e-08,2.2378401354217203e-09,1.7902721083373763e-08
1803,4.4857802805609026e-08,0.0,1.3652374342143503e-08
1804,6.673997887673977e-08,2.4718509461507665e-09,7.4155526164076946e-09
1805,8.244345273134002e-08,0.0,8.528632911009026e-09
1806,3.458002950651462e-08,0.0,2.881669125542885e-09
1807,8.825561081948763e-08,0.0,5.693910232196231e-09
1808,8.157866560054572e-08,0.0,1.5862518409903714e-08
1809,5.6475762733043666e-08,0.0,1.129515236897305e-08
1810,5.616304044053777e-08,2.3401267590372754e-09,9.360507036149102e-09
1811,3.760615285841595e-08,0.0,1.0028307073639553e-08
1812,3.200649700829672e-08,0.0,1.3336041604361526e-08
1813,9.777521814413603e-08,0.0,1.1502966579257645e-08
1814,4.090680150170556e-08,0.0,3.1466771410748606e-09
1815,3.506390555685357e-08,0.0,1.0788894222457657e-08
1816,2.0858434979231788e-08,0.0,0.0
1817,5.4490570278176165e-08,0.0,6.227493631882908e-09
1818,5.722165141719415e-08,0.0,3.5763532135746345e-09
1819,5.4860564646652676e-08,0.0,2.173720581311045e-08
1820,3.678609061807947e-08,1.1866481131050932e-09,1.779972080839798e-08
1821,5.9168929311681495e-08,0.0,4.930744257336528e-09
1822,6.215881853677274e-08,0.0,5.012807946513931e-09
1823,5.435477845594505e-08,0.0,2.075364236020505e-08
1824,4.7158231986088595e-08,8.421112696055388e-10,1.2631669044083083e-08
1825,6.516027895031584e-08,0.0,9.68598712347557e-09
1826,6.517908524017457e-08,8.807984341885344e-10,5.284790383086602e-09
1827,7.465990847776993e-08,1.8434546111834038e-09,5.530363722527909e-09
1828,3.2103054437016e-08,0.0,9.172301140836225e-09
1829,4.886710219809132e-08,0.0,2.5719527840806222e-08
1830,1.878630406793036e-08,1.0436835840010872e-09,8.349468672008697e-09
1831,4.2096257146795324e-08,0.0,4.677361609140007e-09
1832,2.570694190850986e-08,0.0,1.3529969367098715e-09
1833,1.621708034527103e-08,0.0,1.6217079235048004e-08
1834,5.974099681615996e-08,2.8003592777992026e-09,1.5868701908061666e-08
1835,4.310960122211327e-08,7.563087933704082e-10,1.5126175867408165e-08
1836,1.612980005116782e-08,6.720750067579218e-10,1.344150035720304e-08
1837,4.8009448638808294e-08,0.0,1.1828414692161004e-08
1838,4.734121561433824e-08,0.0,1.7042836475411605e-08
1839,4.1249704096912865e-08,0.0,1.3283802502428443e-08
1840,4.267691267045848e-08,6.369688665408546e-10,1.4013314952876499e-08
1841,2.5682194149112547e-08,1.926164561183441e-09,6.420548537278137e-09
