year,croyant_VERB en_ADP
1800,1.7921737693882278e-07
1801,1.9287578822968499e-07
1802,1.8350289110458107e-07
1803,1.8918290933811477e-07
1804,2.2246658337721215e-07
1805,2.3880172150825274e-07
1806,1.5272845743652397e-07
1807,4.241963154072437e-07
1808,1.835519896076221e-07
1809,2.981920204092603e-07
1810,2.1529166360778618e-07
1811,1.504246114336638e-07
1812,1.3336040716183106e-07
1813,1.754202447745712e-07
1814,2.391474538399052e-07
1815,2.0768621644684515e-07
1816,1.3905622608945123e-07
1817,2.755665949871755e-07
1818,1.9431519149293308e-07
1819,3.467601850104529e-07
1820,2.6462252211700843e-07
1821,2.2188348303142647e-07
1822,2.1154049534288788e-07
1823,1.8875932106254822e-07
1824,1.9621192492991213e-07
1825,2.579994884399639e-07
1826,1.8761006614909093e-07
1827,2.17527641677151e-07
1828,2.5315550544746657e-07
1829,2.0918549187287638e-07
1830,2.2021723267151572e-07
1831,2.432228052295926e-07
1832,1.9753755653439953e-07
1833,1.3089499795171378e-07
1834,1.997589613722539e-07
1835,2.42018820983958e-07
1836,2.3724247899536977e-07
1837,1.6003149072574274e-07
1838,1.8179026284315114e-07
1839,3.1042149917226425e-07
1840,2.1338457684150214e-07
1841,2.11878096401108e-07
1842,2.0728538929759566e-07
1843,2.45727497016901e-07
1844,1.9264849981937004e-07
1845,2.1595481580760634e-07
1846,1.990530389406331e-07
1847,2.297513246318772e-07
1848,1.5125017482908731e-07
1849,1.5920888873921513e-07
1850,1.934863869124115e-07
1851,2.489483366119316e-07
1852,1.9596741829275288e-07
1853,1.6542251546347586e-07
1854,2.665375742338938e-07
1855,2.053784662336966e-07
1856,2.153710769725592e-07
1857,2.3187168807226044e-07
1858,2.0161945890606603e-07
1859,2.39332148765925e-07
1860,2.2840148083957956e-07
1861,1.9524089900357922e-07
1862,2.1550793904978605e-07
1863,1.848009685279095e-07
1864,2.421337753633068e-07
1865,2.080425196560043e-07
1866,2.4765968564821605e-07
1867,1.6693671511802677e-07
1868,2.1982439957213273e-07
1869,2.1145638040565018e-07
1870,2.7867477303544774e-07
1871,2.910202514527782e-07
1872,2.473361906396576e-07
1873,1.7898153492623692e-07
1874,1.5892460281108356e-07
1875,1.8995470441041107e-07
1876,1.5054576518735985e-07
1877,1.6018673054674082e-07
1878,1.690944850807341e-07
1879,1.96109341876749e-07
1880,1.9317717114830657e-07
1881,1.7361543669380808e-07
1882,1.9234063408646307e-07
1883,1.2954645267626574e-07
1884,1.8022632541914163e-07
1885,2.017483913263618e-07
1886,1.206797770603174e-07
1887,1.5408262599159173e-07
1888,1.4963850469840168e-07
1889,1.3845952384627935e-07
1890,1.284659815192768e-07
1891,1.3640830864858344e-07
1892,1.7113038675020675e-07
1893,1.385643750850818e-07
1894,1.550178660991719e-07
1895,1.3782627839020734e-07
1896,1.6629621946151474e-07
1897,1.392584536574759e-07
1898,8.657282757340568e-08
1899,1.243705138875839e-07
1900,1.469068013904007e-07
1901,1.0003842421113518e-07
1902,1.4141617299401332e-07
1903,1.1448466974428584e-07
1904,1.3490308603536505e-07
1905,1.326315071104034e-07
1906,1.419794948276376e-07
1907,1.5479958648256797e-07
1908,1.3015181288267286e-07
1909,1.3862478631665454e-07
1910,1.5391154217780922e-07
1911,1.5641900330543024e-07
1912,1.5419886478795775e-07
1913,1.3946862864600007e-07
1914,8.571831777715033e-08
1915,1.5786221385649668e-07
1916,1.3075079641211573e-07
1917,1.5791650798124834e-07
1918,1.3324195968777985e-07
1919,1.2338516697241175e-07
1920,1.4614407550794795e-07
1921,1.4009582038898571e-07
1922,1.254249006876762e-07
1923,1.2632977952620195e-07
1924,1.2504875623875478e-07
1925,1.319781375297424e-07
1926,1.69421309870188e-07
1927,1.1372209329785221e-07
1928,9.369353470844999e-08
1929,9.357941266330272e-08
1930,1.1448927939028408e-07
1931,9.124285504924501e-08
1932,1.0411559880907362e-07
1933,1.422362125858001e-07
1934,1.198158052773124e-07
1935,1.2087966805296446e-07
1936,1.0669748640168564e-07
1937,1.133200659975131e-07
1938,1.1150084233690905e-07
1939,1.0705835418178822e-07
1940,1.4453962648985907e-07
1941,1.3281761290784289e-07
1942,9.102635578628337e-08
1943,9.870999684302717e-08
1944,1.2210107591670294e-07
1945,1.3724575742557477e-07
1946,1.475637114722872e-07
1947,1.883497642296561e-07
1948,1.3154984745966658e-07
1949,1.2958451200972831e-07
1950,1.1911604502756745e-07
1951,1.290029660871994e-07
1952,1.3391900521853017e-07
1953,1.0773827119336943e-07
1954,1.172704333640695e-07
1955,9.010183177338149e-08
1956,1.3081712513240973e-07
1957,1.201565162922691e-07
1958,1.0919361637107272e-07
1959,1.2168674246026967e-07
1960,1.4810583248703324e-07
1961,1.4799578895718923e-07
1962,1.1605780381174213e-07
1963,1.260880413411769e-07
1964,1.3810608212594389e-07
1965,1.5376442163983484e-07
1966,1.423542173029091e-07
1967,1.6615231235306283e-07
1968,1.495641432924799e-07
1969,1.24444159643744e-07
1970,1.4118086166803323e-07
1971,1.4644432688726283e-07
1972,1.3902697704182287e-07
1973,1.2018784456557796e-07
1974,1.254502479675068e-07
1975,1.0166434805114477e-07
1976,1.4283817462157344e-07
1977,1.4456883157265565e-07
1978,1.3544548593813488e-07
1979,1.3576578261620398e-07
1980,1.2336776755716983e-07
1981,1.2714354280518592e-07
1982,1.446348063538494e-07
1983,1.2125406545493433e-07
1984,1.5541343145741848e-07
1985,1.2933449511365325e-07
1986,1.492626870991387e-07
1987,1.2404958393830157e-07
1988,1.4871453313247684e-07
1989,1.602531662925344e-07
1990,1.1224221285743852e-07
1991,1.441920414180231e-07
1992,1.5262545893790502e-07
1993,1.617448504021013e-07
1994,1.587752924692154e-07
1995,1.5291310972997962e-07
1996,1.4679753324031708e-07
1997,1.553545789789723e-07
1998,1.2969311757871083e-07
1999,1.8372208376860044e-07
2000,1.6567618033036524e-07
2001,1.6736228847236134e-07
2002,1.726201253049453e-07
2003,1.862614489311909e-07
2004,1.9469177914288593e-07
2005,1.7204323832231694e-07
2006,1.9065830691999963e-07
2007,1.889388752118748e-07
2008,1.80515444370144e-07
2009,2.1599911370628888e-07
2010,1.7430795828943246e-07
2011,1.804914777636668e-07
2012,1.8893602948821808e-07
2013,1.8854485794861375e-07
2014,2.117805326662392e-07
2015,1.8397575374251574e-07
2016,2.1769783931091524e-07
2017,2.004942283306832e-07
2018,1.7399086260638796e-07
2019,2.1708905340034335e-07
