year,profond_ADJ homme_NOUN,profond_ADJ somme_NOUN
1914,6.696743715117748e-10,2.0090231700464756e-09
1915,3.534228465440492e-09,0.0
1916,0.0,3.2962386153911893e-09
1917,1.0966424435210342e-09,3.289927441585405e-09
1918,0.0,2.2972752589112133e-09
1919,9.207848372660976e-10,1.8415696745321952e-09
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,6.640141769764796e-09
1923,0.0,1.0615948120573648e-09
1924,0.0,5.156649773851996e-09
1925,0.0,2.1996355847875293e-09
1926,1.1146138456652466e-09,6.687683296036084e-09
1927,0.0,1.1149224876660924e-09
1928,0.0,2.2852082448565625e-09
1929,0.0,1.1140406375176326e-09
1930,0.0,6.302162347537887e-09
1931,3.4216069977333063e-09,6.843213995466613e-09
1932,2.1919073223131136e-09,2.1919073223131136e-09
1933,0.0,3.4411986593596566e-09
1934,0.0,7.188948103475923e-09
1935,0.0,2.393656828303392e-09
1936,1.2124714565686645e-09,2.424942913137329e-09
1937,0.0,2.5182236296217297e-09
1938,0.0,1.2965214457594243e-09
1939,0.0,3.058810094103137e-09
1940,0.0,0.0
1941,0.0,2.066051862925633e-08
1942,0.0,3.034211770724937e-09
1943,0.0,5.806470415592457e-09
1944,0.0,6.4263723231761105e-09
1945,0.0,0.0
1946,1.3921104269343232e-09,8.352662561605939e-09
1947,1.1920870957027319e-09,0.0
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,0.0,9.817008317369869e-10
1950,1.0635361480382244e-09,2.1270722960764488e-09
1951,0.0,3.1984206394497505e-09
1952,0.0,2.1089607837865287e-09
1953,0.0,4.3095309543161875e-09
1954,0.0,1.9545072227344917e-09
1955,0.0,1.8771215692936494e-09
1956,0.0,8.72114158667614e-10
1957,8.835037701437898e-10,8.835037701437898e-10
1958,0.0,1.6544486891589827e-09
1959,0.0,0.0
1960,0.0,2.076250060767393e-09
1961,0.0,4.86371165564492e-09
1962,1.2683912808952869e-09,7.610347907416326e-09
1963,0.0,2.5864212993553792e-09
1964,0.0,7.909158661334459e-09
1965,0.0,3.2832261354087677e-09
1966,0.0,1.1078149508847446e-09
1967,9.860671168482327e-10,5.916402479044791e-09
1968,0.0,8.982831700699023e-10
1969,0.0,5.450109252791435e-09
1970,0.0,1.8394900047624674e-09
1971,1.0276794970565106e-09,3.083038491169532e-09
1972,0.0,5.130146862875051e-10
1973,0.0,3.3079223804577396e-09
1974,1.1251143350321513e-09,3.937900228123681e-09
1975,0.0,5.711480177694739e-10
1976,0.0,1.142705374768127e-09
1977,0.0,1.1753563677885381e-09
1978,0.0,1.1881182704343018e-09
1979,0.0,3.5111840102075575e-09
1980,0.0,1.1370301367108482e-09
1981,0.0,5.69299452024552e-09
1982,0.0,1.2415004579935385e-09
1983,0.0,1.2630632095778083e-09
1984,0.0,2.3196033982486597e-09
1985,0.0,3.0077789148208467e-09
1986,0.0,1.1988970927134801e-09
1987,0.0,6.110816852533674e-10
1988,0.0,1.798966087207532e-09
1989,0.0,3.2928733073589456e-09
1990,0.0,1.6345953479657283e-09
1991,0.0,3.5168792322792797e-09
1992,0.0,1.65298330578878e-09
1993,0.0,1.661762283333701e-09
1994,0.0,0.0
1995,0.0,7.591431483433553e-09
1996,0.0,2.6690460952494277e-09
1997,9.58978896292706e-10,0.0
1998,0.0,3.814503379828693e-09
1999,9.140402323914998e-10,1.8280804647829996e-09
2000,4.4180314962005696e-10,8.836062992401139e-10
2001,4.3812117822561447e-10,4.3812117822561447e-10
2002,0.0,3.066854992184176e-09
2003,0.0,1.2500769308587678e-09
2004,8.809582507929292e-10,3.0833537945085254e-09
2005,0.0,0.0
2006,0.0,3.294311934354255e-09
2007,0.0,2.7961355453243186e-09
2008,0.0,3.405951742863067e-09
2009,0.0,1.430457752249481e-09
2010,0.0,3.7790344187271785e-09
2011,0.0,1.911985902935953e-09
2012,0.0,4.425528388196653e-09
2013,0.0,5.020424964641279e-09
2014,2.1654451842767486e-10,2.3819897165822113e-09
2015,4.433150790905671e-10,3.989835573037226e-09
2016,2.0713400439298368e-10,6.214019965256057e-09
2017,2.515611330355938e-10,1.0062445321423752e-09
2018,5.162933414126769e-10,3.872199894061623e-09
2019,2.55098775436835e-10,4.591778068885333e-09
