year,quand_CONJ en_PRON
1800,5.659496160603794e-08
1801,1.04772034603684e-07
1802,1.4098392853156838e-07
1803,7.606322949271771e-08
1804,1.2606439980800133e-07
1805,9.097208675257207e-08
1806,1.0662175498055149e-07
1807,4.839823652957875e-08
1808,3.172503637571822e-08
1809,5.873479524964864e-08
1810,7.956430891908894e-08
1811,5.264861258069686e-08
1812,6.668020446909395e-08
1813,7.764502640839055e-08
1814,4.405348086322647e-08
1815,5.66416948899473e-08
1816,5.7940097164532745e-08
1817,7.940054302935096e-08
1818,7.629553522292554e-08
1819,7.349245478849298e-08
1820,6.407899810767503e-08
1821,6.705811905760584e-08
1822,5.81485721795616e-08
1823,7.906149246394989e-08
1824,7.831634540877985e-08
1825,1.047847710822225e-07
1826,6.782147821127182e-08
1827,5.99122760291948e-08
1828,4.76959645112629e-08
1829,5.658296392541118e-08
1830,5.114049628218709e-08
1831,8.419251429359065e-08
1832,6.900284255095812e-08
1833,7.52935847003755e-08
1834,9.521221855379736e-08
1835,7.260564416355919e-08
1836,9.47625775071792e-08
1837,8.349469204915749e-08
1838,5.617824250236936e-08
1839,7.760537457102146e-08
1840,6.178597899975102e-08
1841,7.062603435414871e-08
1842,7.312009131510422e-08
1843,9.451057891851633e-08
1844,7.464443646520991e-08
1845,9.318980931372067e-08
1846,7.786486833083472e-08
1847,6.579733025091627e-08
1848,6.516629724728773e-08
1849,6.284561138159006e-08
1850,6.924775952654727e-08
1851,6.900899407469296e-08
1852,1.0807505645971105e-07
1853,8.719020505587594e-08
1854,9.715892490547162e-08
1855,9.870903383557561e-08
1856,9.215396773454287e-08
1857,9.958278757160599e-08
1858,8.172438809017635e-08
1859,9.675129675201788e-08
1860,1.0298663610797121e-07
1861,1.3581975777388067e-07
1862,1.292144098385961e-07
1863,9.98924178929883e-08
1864,1.1795030507855131e-07
1865,1.1390563514623864e-07
1866,1.0655692150862706e-07
1867,1.300553460481524e-07
1868,1.1855697934493037e-07
1869,9.327521643953673e-08
1870,1.422044100252151e-07
1871,1.6250401557726946e-07
1872,1.566260861007862e-07
1873,1.62819318916263e-07
1874,1.2725917741818193e-07
1875,1.4532679060152986e-07
1876,1.6807921232597778e-07
1877,1.3049961467004323e-07
1878,1.262169567750604e-07
1879,1.5517686335897451e-07
1880,1.1295409629852315e-07
1881,1.1295462215565877e-07
1882,1.4575293305618686e-07
1883,1.1185230014421066e-07
1884,1.3863563452787275e-07
1885,1.3922573316449416e-07
1886,1.27778586156424e-07
1887,1.305784944616306e-07
1888,1.236419819861112e-07
1889,1.2592925074939032e-07
1890,1.2649966407707325e-07
1891,1.4724448149650016e-07
1892,1.1534062949181134e-07
1893,1.268633802453678e-07
1894,1.4052433017219812e-07
1895,1.2699276275007776e-07
1896,8.31481068441775e-08
1897,1.2527434101183843e-07
1898,1.36932188365968e-07
1899,1.0391847382607011e-07
1900,1.1316495829305495e-07
1901,9.947955348366122e-08
1902,1.0655315707541746e-07
1903,9.288379132499358e-08
1904,9.405594347811075e-08
1905,1.228260622099242e-07
1906,9.619624918855152e-08
