year,soient_VERB en_ADP,soient_VERB sans_ADP
1800,3.1787501897362347e-06,6.351212391564331e-07
1801,3.3503238618948217e-06,3.0955374086261145e-07
1802,3.430608842336369e-06,2.1483265300048515e-07
1803,3.2609671478667224e-06,2.398917331447592e-07
1804,2.8475723947707365e-06,2.1505103120489366e-07
1805,2.5557470584303132e-06,3.439882050315646e-07
1806,3.4176596273027826e-06,3.544452908954554e-07
1807,2.96937425048327e-06,3.5871633485839993e-07
1808,2.773674576239671e-06,2.741949458595627e-07
1809,2.9096311939813546e-06,3.0722816291017807e-07
1810,2.9462195918483758e-06,3.1123684607337054e-07
1811,2.9633648495064335e-06,2.2563691004506836e-07
1812,2.7178852128884046e-06,2.053750307595692e-07
1813,2.5335284519201196e-06,1.2653262615458516e-07
1814,2.4386747980997825e-06,2.8949429520253034e-07
1815,3.0235876371520476e-06,2.832084646797739e-07
1816,3.091683622002961e-06,2.688420579488593e-07
1817,2.473871809627326e-06,2.631116160500824e-07
1818,2.696570364335571e-06,3.361772087373538e-07
1819,2.8216962437710436e-06,3.405495476727083e-07
1820,2.6355454494364494e-06,3.53621146587102e-07
1821,2.7099368864469398e-06,2.810524222240929e-07
1822,2.828226286055724e-06,2.7971469762633205e-07
1823,2.2443582352593694e-06,2.5497331535007106e-07
1824,2.6829665848993045e-06,2.1726471288729954e-07
1825,2.500745744704602e-06,2.7825200277220574e-07
1826,2.6556073038364048e-06,3.091602422955475e-07
1827,2.7651819420881907e-06,3.216828190488741e-07
1828,2.584754600576389e-06,3.164443853620469e-07
1829,2.5728101551436566e-06,3.197794740117388e-07
1830,2.853431025684472e-06,3.0162456710058905e-07
1831,2.4852382907170067e-06,1.9489007740958186e-07
1832,2.6748749091254354e-06,2.232444984429094e-07
1833,2.5877826992370956e-06,3.01174338801502e-07
1834,2.3933737907100294e-06,3.0243879223235126e-07
1835,2.5230460849456904e-06,2.6017022491942043e-07
1836,2.549180422306563e-06,2.143919317632026e-07
1837,2.683658518520815e-06,2.6648723405742203e-07
1838,2.5804117118610748e-06,2.2597539839352976e-07
1839,2.413457323768853e-06,3.2440445352222014e-07
1840,2.45105622020958e-06,2.73259644245627e-07
1841,2.4642065632463073e-06,2.52969613256937e-07
1842,2.5149286315695463e-06,2.2875184413351235e-07
1843,2.5393810973994846e-06,2.3804851423392392e-07
1844,2.5302266468685275e-06,2.189935912610963e-07
1845,2.430747294113189e-06,2.1986097920034808e-07
1846,2.399760150595398e-06,2.42961817775722e-07
1847,2.394591209764485e-06,1.9577402099457686e-07
1848,2.433679650692966e-06,2.3170238705461088e-07
1849,2.080608833665565e-06,2.103233214256761e-07
1850,2.1616162522164473e-06,1.8669739176857547e-07
1851,2.2102226004960812e-06,1.9154833807988325e-07
1852,2.268925047843595e-06,1.946653043205515e-07
1853,2.4783517353910156e-06,2.2693340895330039e-07
1854,2.4409230547917105e-06,2.2549183142928086e-07
1855,2.194418598833181e-06,2.4411912136201863e-07
1856,2.3452666617629347e-06,2.3918613578644e-07
1857,2.0829399609567645e-06,2.1966791052818735e-07
1858,2.3166661229367946e-06,2.373432863578273e-07
1859,2.144314198204711e-06,2.0012241463973623e-07
1860,2.107793203975916e-06,2.279437580909871e-07
1861,2.3395896029398955e-06,2.3626978418178624e-07
1862,2.358840514915528e-06,2.001467862555728e-07
1863,2.31650513171644e-06,2.2675578748021508e-07
1864,2.306264029527938e-06,2.0952961676812265e-07
1865,2.191977429788494e-06,2.0380636556183163e-07
1866,2.133084727518053e-06,1.8586641203910403e-07
1867,2.192500151210197e-06,1.9168605547292827e-07
1868,2.588000093339815e-06,2.0747471296544973e-07
1869,2.262534380292891e-06,1.640862450358327e-07
1870,2.391671785062499e-06,2.3738961374419887e-07
1871,1.8703892656901644e-06,1.8587060424124502e-07
1872,2.1939745948884593e-06,1.5420715726577328e-07
1873,2.33274592176258e-06,1.8436894322348962e-07
1874,2.210605284602707e-06,1.3980584867567813e-07
1875,2.0500232409403907e-06,1.52764769723035e-07
1876,2.1396846392462976e-06,1.7231141669071803e-07
1877,2.1653041919478255e-06,2.0162499936304812e-07
1878,1.7634138380628883e-06,1.6788666812317388e-07
1879,2.119935818001295e-06,2.1199358002377267e-07
1880,1.9998007978472288e-06,1.8419218861254194e-07
1881,2.079201760096794e-06,1.2759689127506135e-07
1882,2.083801177832356e-06,2.2295540702543803e-07
1883,2.084749894493143e-06,1.7251795725314878e-07
1884,1.9904117252167453e-06,1.485381773136396e-07
1885,2.071627321242886e-06,2.139951078561353e-07
1886,2.1277070132441622e-06,1.7166213694963517e-07
