year,arrêtant_VERB en_ADP
1800,4.7162465932615305e-08
1801,5.2386017301842e-08
1802,0.0
1803,9.751696339321825e-09
1804,0.0
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,0.0
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,1.4040760554223652e-08
1811,0.0
1812,2.9339290108509886e-08
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,1.3486118000116676e-08
1816,9.270415546325239e-09
1817,3.113746815941454e-09
1818,9.536941902865692e-09
1819,1.6561680027393777e-08
1820,1.542642635854463e-08
1821,1.676452932031225e-08
1822,5.012807946513931e-09
1823,9.882686669016039e-09
1824,1.0105335235266466e-08
1825,4.4027217427355936e-09
1826,2.1139161532346407e-08
1827,2.3043183361437514e-08
1828,2.7516904310687096e-09
1829,4.286587973467704e-09
1830,7.305785310052215e-09
1831,1.5591206103948707e-09
1832,1.8941957335982806e-08
1833,1.7375443306377747e-08
1834,1.9602515166639023e-08
1835,2.2689263801112247e-08
1836,4.704525213838906e-09
1837,2.435261770017405e-08
1838,1.5780404538645598e-08
1839,2.7965900706306e-09
1840,8.917564464638872e-09
1841,1.4767261191650505e-08
1842,1.1404051036834062e-08
1843,1.1223130869097986e-08
1844,1.4819115712327857e-08
1845,7.812318791877715e-09
1846,4.0981511517657054e-09
1847,1.6718992412734224e-08
1848,8.04522137798358e-09
1849,1.0893239199560867e-08
1850,2.7155984128057753e-09
1851,1.2253933867611977e-08
1852,3.906327261660181e-09
1853,1.3735443005202796e-08
1854,6.234797567117312e-09
1855,1.8574279891936385e-08
1856,5.694908100650764e-09
1857,1.3180074809326925e-08
1858,1.565976326389773e-08
1859,1.476730293603623e-08
1860,6.865775947773045e-09
1861,2.2165028923382124e-08
1862,1.355395884417021e-08
1863,1.7980635647063536e-08
1864,1.5343129433631475e-08
1865,1.5061901947888146e-08
1866,1.8489329178805747e-08
1867,2.1837651686951176e-08
1868,2.1241458370013788e-08
1869,6.348574999037737e-09
1870,4.587239033071455e-09
1871,8.496941816815706e-09
1872,1.0280476914203973e-08
1873,1.2570609442263958e-08
1874,4.182226565063729e-09
1875,6.865832347102696e-09
1876,7.255217759905008e-09
1877,2.288381928394756e-08
1878,2.3552445327368332e-08
1879,2.3826368433788048e-08
1880,8.984985200299889e-09
1881,1.1853263259808955e-08
1882,1.4641846846075168e-08
1883,2.5277355319985872e-08
1884,1.3203393933736152e-08
1885,7.090199094506033e-09
1886,1.4842966855610484e-08
1887,1.2404957061562527e-08
1888,7.355112785489837e-08
1889,1.8795409673089125e-08
1890,1.0487018364813139e-08
1891,1.0836173736095134e-08
1892,1.002961980134387e-08
1893,2.9560400349737392e-08
1894,2.2055386850183822e-08
1895,1.444467478961542e-08
1896,8.845543852942228e-09
1897,1.5149455023788505e-08
1898,2.319925584970406e-08
1899,2.1004797901014172e-08
1900,3.322274011452464e-08
1901,2.6825947685438223e-08
1902,3.437198614619774e-08
1903,1.83607493653426e-08
1904,2.2573425795258117e-08
1905,2.6835946798087207e-08
1906,1.594697174311932e-08
1907,2.3657079850636364e-08
1908,4.0273391732625896e-08
1909,2.9155213354670195e-08
1910,9.619471441624228e-09
1911,7.448523575703803e-09
1912,1.3023552902780011e-08
1913,1.3257474229533273e-08
1914,2.6117300322425763e-08
1915,8.246533234057551e-09
1916,1.7579939282086343e-08
1917,1.973956464951243e-08
1918,1.1486376294556067e-08
1919,2.301962176431971e-08
1920,1.590168707821249e-08
1921,1.2116395886607734e-08
1922,1.549366501762961e-08
1923,7.431163684401554e-09
1924,2.5783249313349188e-08
1925,2.0896537833436923e-08
1926,2.5636119005412183e-08
1927,1.5608915049369898e-08
1928,1.4853853258500749e-08
1929,1.5596569369336066e-08
1930,2.2057568216382606e-08
1931,1.596749932275543e-08
1932,1.9727165678773417e-08
1933,2.408838994938378e-08
1934,3.354842448288764e-08
1935,2.393656828303392e-08
1936,9.699771652549316e-09
1937,1.2591118370153254e-08
1938,1.5558256905023882e-08
1939,1.3764645423464117e-08
1940,1.2678914806940611e-08
1941,1.7709016475464523e-08
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,2.5705489292704442e-08
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,2.0265479960812627e-08
1948,1.848220954059343e-08
1949,1.0798709482173763e-08
1950,6.381216888229346e-09
1951,1.8124383771578323e-08
1952,1.2653764258629963e-08
1953,9.69644453618912e-09
1954,1.172704333640695e-08
1955,1.595553378308523e-08
1956,8.72114114258693e-09
1957,6.184526224473075e-09
1958,1.6544486669545222e-08
1959,1.0851047171911432e-08
1960,1.038124963770315e-08
1961,1.111705483225478e-08
1962,7.610347907416326e-09
1963,9.69907976156037e-09
1964,2.1902286206909594e-08
1965,1.0396882466068291e-08
1966,1.163205709531212e-08
1967,1.035370456037299e-08
1968,1.0779397818794223e-08
1969,8.629339909305145e-09
1970,2.6672605457633836e-08
1971,7.707596338946132e-09
1972,7.69522046084603e-09
1973,9.37244681864513e-09
1974,1.1251143128276908e-08
1975,7.4249242310031605e-09
1976,7.427584769459372e-09
1977,8.22749424145286e-09
1978,8.316828115084718e-09
1979,7.607565244427406e-09
1980,9.096241093686785e-09
1981,5.69299452024552e-09
1982,6.828252629986764e-09
1983,7.57837881337764e-09
1984,6.378909400694965e-09
1985,6.015557829641693e-09
1986,9.591176741707841e-09
1987,1.1610551631235921e-08
1988,5.99655392008458e-09
1989,7.683371272548811e-09
1990,1.0897301727652575e-08
1991,7.033758464558559e-09
1992,7.162927584403178e-09
1993,6.647049133334804e-09
1994,9.494868002946077e-09
1995,6.506940763983948e-09
1996,5.871901187504136e-09
1997,8.630809844589749e-09
1998,1.0013071261028017e-08
1999,9.597422412355172e-09
2000,6.185244316725402e-09
2001,9.20054432640427e-09
2002,1.0953053575235572e-08
2003,9.58392298855415e-09
2004,7.928623979580607e-09
2005,4.954124666056714e-09
2006,1.1118302722934459e-08
2007,8.38840730210677e-09
2008,7.663391698997657e-09
2009,5.721831008997924e-09
2010,8.97520635589899e-09
2011,9.55992973672437e-09
2012,6.127654827992046e-09
2013,1.0040849929282558e-08
2014,7.145969149746634e-09
2015,8.86630147078904e-09
2016,7.663958356829426e-09
2017,9.30776167251679e-09
2018,8.002547069452248e-09
2019,1.0459049626376782e-08
