year,écoutant_VERB en_ADP,écoutant_VERB sans_ADP
1800,9.432493897065797e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,3.1329761895904085e-08,1.3427040812530322e-08
1803,7.801356893821776e-09,1.950339223455444e-09
1804,1.4831105232815389e-08,5.19088700912107e-08
1805,0.0,3.1271653710973624e-08
1806,2.305335300434308e-08,1.4408345627714425e-08
1807,0.0,2.8469551160981155e-09
1808,1.1330369531492579e-08,9.064295980465431e-09
1809,6.7770917766551975e-09,6.099382532376296e-08
1810,0.0,1.6380887757350138e-08
1811,2.5070767684098882e-09,1.2535384286138651e-08
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,0.0,3.163315653864629e-08
1814,0.0,2.5173417128598885e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,1.1588019432906549e-08,9.270415546325239e-09
1817,1.556873407970727e-09,3.113746771532533e-08
1818,1.4305412854298538e-08,1.1921177378582115e-09
1819,9.315945348475907e-09,1.8631889808773394e-08
1820,1.6613073583471305e-08,3.5599443393152796e-09
1821,1.1833785507064931e-08,3.8459803231027934e-08
1822,0.0,2.7069162911175226e-08
1823,2.9648060007048116e-08,2.569498536164616e-08
1824,6.736890156844311e-09,1.431589158329416e-08
1825,1.2327619813845558e-08,4.754939197937347e-08
1826,1.7615968128659176e-08,1.5854372037438225e-08
1827,2.3043183361437514e-08,1.566936447261469e-08
1828,3.210305266065916e-08,2.1096292046607346e-08
1829,6.858540679832714e-09,6.85854095738847e-09
1830,4.487839233568991e-08,2.2961038848023918e-08
1831,6.236482441579483e-09,6.236482219534878e-09
1832,2.3000947813045514e-08,3.653091618094351e-08
1833,1.2741991461950875e-08,4.40177885252524e-08
1834,1.2134890647885754e-08,2.1469420685704677e-08
1835,9.075705520444899e-09,3.327758690829796e-08
1836,1.3441500523736494e-08,2.688300027031687e-08
1837,1.2524203785169163e-08,3.478945487245255e-08
1838,1.0730675237269338e-08,2.7773512600859362e-08
1839,6.292327547896548e-09,2.4470162895973147e-08
1840,7.006657365415947e-09,2.54787554387903e-08
1841,9.630822361827995e-09,1.219904222082846e-08
1842,1.0733223643200063e-08,2.4820580257767233e-08
1843,1.1223130924609137e-08,3.130662851180688e-08
1844,8.232841963717874e-09,1.0428266250528395e-08
1845,1.4508592383055685e-08,2.3994980058450466e-08
1846,1.7563503984519002e-09,1.5221703231205197e-08
1847,6.47186837454683e-09,1.294373674909366e-08
1848,4.0226108000140925e-09,1.528592136201823e-08
1849,2.1786478399121734e-08,5.865590679832167e-09
1850,1.4935791270431764e-08,1.968808849284187e-08
1851,1.1608989325395669e-08,7.094382858952031e-09
1852,9.114764054629632e-09,3.2552727180501506e-08
1853,5.971931837933653e-09,6.569124799682413e-09
1854,8.832629738719788e-09,1.50674273058371e-08
1855,1.5920811335945473e-08,3.661786607267459e-08
1856,2.692138334481342e-08,2.174419444500586e-08
1857,1.5620829074691756e-08,1.9037886378470148e-08
1858,1.7127865237220874e-08,2.3000277127316338e-08
1859,1.8331824946926645e-08,1.833182472488204e-08
1860,1.2358396750400402e-08,1.7393299245327398e-08
1861,8.960331143725853e-09,1.0375120595984555e-08
1862,1.807194582870153e-08,2.981871105589562e-08
1863,1.848009767435599e-08,1.7980634148262453e-08
1864,1.4384184066074113e-08,2.5891531363342324e-08
1865,1.2237795665726026e-08,1.694463946932956e-08
1866,5.838735384067206e-09,1.2650593461671633e-08
1867,1.9896527092555516e-08,1.2132028714972876e-08
1868,1.0867722721741302e-08,5.433861582915256e-09
1869,1.6603965091732675e-08,2.8324410150659673e-08
1870,1.834895613228582e-08,1.6628741050794815e-08
