year,pouvait_VERB avoir_VERB,pouvait_VERB savoir_VERB
1800,2.9712355171795934e-06,1.2576657582030748e-07
1801,3.1050619782035938e-06,4.524246932646747e-08
1802,2.1102832761243917e-06,8.951360541686881e-08
1803,2.9957209335407242e-06,1.0726865440346955e-07
1804,4.0266450014314614e-06,2.026917798048089e-07
1805,3.4427248465362936e-06,9.097208675257207e-08
1806,2.904722578023211e-06,1.2103009794373065e-07
1807,5.548715307668317e-06,6.547996633798903e-08
1808,3.460294919932494e-06,1.0197332755979005e-07
1809,4.685229214373976e-06,9.03612189517844e-08
1810,4.048419214086607e-06,1.427477371862551e-07
1811,4.66316259917221e-06,1.353821517113829e-07
1812,4.758299382956466e-06,8.535066342574282e-08
1813,5.538678578886902e-06,2.6169249167651287e-07
1814,4.024600002594525e-06,1.5733385794192145e-07
1815,5.008744210499572e-06,1.6183341244868643e-07
1816,4.454434474610025e-06,9.270415546325239e-08
1817,5.254447842162335e-06,1.9460917144442647e-07
1818,5.2834657253697515e-06,2.098127254157589e-07
1819,5.152752692083595e-06,2.970751324937737e-07
1820,5.774229521193774e-06,1.0798498095709874e-07
1821,5.971131031401455e-06,2.820385702761996e-07
1822,6.692098395433277e-06,2.7269675229035784e-07
1823,6.595705144718522e-06,1.7492355652848346e-07
1824,5.689303634426324e-06,2.5347549126308877e-07
1825,5.933988177275751e-06,2.1661389837390743e-07
1826,6.332059911073884e-06,1.9113325322450692e-07
1827,7.316671144508291e-06,2.8573546728694055e-07
1828,7.200256277428707e-06,1.8069432883294212e-07
1829,7.925043973955326e-06,4.346600235294318e-07
1830,7.575055406050524e-06,3.0997401267995883e-07
1831,6.1959453887538984e-06,2.05803914354874e-07
1832,6.598565960302949e-06,2.3136247762067796e-07
1833,6.369837137754075e-06,1.9460496503143077e-07
1834,5.8966234064428136e-06,2.3709708329988644e-07
1835,6.406691682059318e-06,2.6017022491942043e-07
1836,6.221398507477716e-06,2.076711780318874e-07
1837,6.003268481435953e-06,1.5307360001770576e-07
1838,6.530562586704036e-06,2.297626906511141e-07
1839,6.4111827668966725e-06,2.7057009788222786e-07
1840,7.192015345935943e-06,3.5351771998648474e-07
1841,6.617659437324619e-06,2.5617987375881057e-07
1842,6.770651907572756e-06,2.2808100652582652e-07
1843,6.4527098402322736e-06,2.522251065784076e-07
1844,6.769042556697968e-06,2.639997944697825e-07
1845,6.837453383923275e-06,1.9419192653913342e-07
1846,6.8731847022718284e-06,3.190703239397408e-07
1847,6.4907444539130665e-06,2.3999845666367037e-07
1848,6.103909527155338e-06,1.89867236599639e-07
1849,6.794029559387127e-06,1.9188860278518405e-07
1850,6.444794053095393e-06,2.1249557846658718e-07
1851,6.774490429961588e-06,1.7155507237021084e-07
1852,6.120563739386853e-06,2.2331170157485758e-07
1853,6.136159754532855e-06,2.311137592414525e-07
1854,5.567674179474125e-06,1.9535698925210454e-07
1855,6.214953828020953e-06,2.4411912136201863e-07
1856,5.977065029583173e-06,2.0035722059219552e-07
