year,abandonnant_VERB en_ADP,abandonnant_VERB sans_ADP
1800,9.432493897065797e-09,2.829747991484055e-08
1801,0.0,1.4287095950749062e-08
1802,4.699464284385613e-08,4.923248297927785e-08
1803,7.801356671777171e-09,1.5602713787643552e-08
1804,1.4831105232815389e-08,2.9662210465630778e-08
1805,1.9900143755080535e-08,1.9900143755080535e-08
1806,4.8988376022407465e-08,2.5935023018064385e-08
1807,2.562259560079383e-08,3.9857372513552036e-08
1808,1.8128591960930862e-08,3.852325747288887e-08
1809,9.036122072814123e-09,2.25903047379461e-08
1810,1.1700633351097167e-08,2.8081521108447305e-08
1811,2.2563691359778204e-08,2.0056614147279106e-08
1812,2.1337665856435706e-08,2.1337665856435706e-08
1813,7.189353823378042e-08,1.7254450312975678e-08
1814,3.1466771410748606e-09,4.090680150170556e-08
1815,3.506390555685357e-08,2.4275012222574333e-08
1816,3.9399267848239106e-08,7.416332437060191e-08
1817,1.4011860338669635e-08,4.514932783195036e-08
1818,2.384235386898581e-08,2.5034472272977837e-08
1819,3.622867339458935e-08,2.6912729822470283e-08
1820,2.8479553826343817e-08,6.051905643289501e-08
1821,2.5639868894700157e-08,4.437669787193954e-08
1822,1.1028177482330648e-08,3.60922172149003e-08
1823,6.127265805844218e-08,2.2730180404550993e-08
1824,4.29476756380609e-08,6.231623217445303e-08
1825,2.2013607603454943e-08,4.57883047033647e-08
1826,1.6735169694470642e-08,3.963592831723872e-08
1827,3.96342727526644e-08,4.7008093417844066e-08
1828,1.9261833017480967e-08,6.695779575238703e-08
1829,1.628903412154159e-08,7.715858174606183e-09
1830,1.7742621594152297e-08,4.383471008395645e-08
1831,1.870944643656003e-08,4.677361786775691e-08
1832,1.488296597074168e-08,2.976593294068408e-08
1833,1.7375443306377747e-08,4.865124125785769e-08
1834,2.240287422239362e-08,5.1339918538673146e-08
1835,4.235329242874286e-08,3.1764969321557146e-08
1836,3.2259599436201825e-08,4.099657502365517e-08
1837,1.0436836284100082e-08,1.530736071231331e-08
1838,3.092959488526503e-08,2.9667161172142187e-08
1839,2.37710154893378e-08,5.3135210009713774e-08
1840,2.1019973317493168e-08,3.9492068282243054e-08
1841,3.274479842829692e-08,1.926164472365599e-08
1842,2.750388716776797e-08,3.085801836277824e-08
1843,2.8943864194275193e-08,2.5990408047960045e-08
1844,2.9089374464774664e-08,3.677336124496833e-08
1845,2.5669049108500985e-08,3.62714816515286e-08
1846,2.6345256642912318e-08,4.9177812044831626e-08
1847,4.907833428546837e-08,2.9662729161827883e-08
1848,3.539897619475596e-08,4.988037449749072e-08
1849,6.703531951757213e-09,5.1114432686460987e-08
1850,4.752297311227949e-08,2.7834883731259197e-08
1851,3.031236062156495e-08,4.6435957301582675e-08
1852,3.320378283433456e-08,3.841221829503638e-08
1853,7.166318205520383e-09,2.9262465339741084e-08
1854,4.1045748133683446e-08,3.221311994927589e-08
1855,2.1227748447927297e-08,3.92713346286655e-08
1856,1.5531567143511893e-08,3.9346637059622935e-08
1857,3.661131842136456e-08,3.221795830121721e-08
1858,3.327699621413771e-08,3.376636525942445e-08
1859,3.106225676674512e-08,3.717286678472931e-08
1860,3.295572525985335e-08,2.654766717569146e-08
1861,4.4330059900676844e-08,2.357981898626349e-08
1862,2.5752521892741242e-08,2.8463313511695176e-08
1863,1.6482248454963155e-08,6.19332971574238e-08
1864,2.2535221688713136e-08,2.3014694150447212e-08
1865,1.6473954644879996e-08,3.2006543193574544e-08
1866,2.6274309394835882e-08,3.405928988842177e-08
1867,9.220341823379385e-09,1.3102591012170706e-08
1868,2.0253484556143064e-08,3.853101659956337e-08
1869,1.4162205630441349e-08,4.981189505315342e-08
1870,4.7019200088982416e-08,1.8922360567330543e-08
1871,3.1863531146925084e-08,1.805600113868877e-08
1872,3.08414298544335e-08,4.777398032729252e-08
1873,3.95076291681562e-08,2.514121905106137e-08
1874,3.345780963392997e-08,2.5690820137924675e-08
1875,2.9179789251543298e-08,1.6592428764283795e-08
1876,2.9020871039620033e-08,3.023007266733657e-08
1877,2.9068635498674666e-08,3.7727378554563984e-08
1878,4.106580209217725e-08,4.287753085918666e-08
1879,2.993569481191116e-08,2.7491964260661916e-08
1880,2.2462462112571302e-08,1.2193908105473383e-08
1881,3.0679034201952504e-08,3.2770785196589713e-08
1882,2.4624924765959122e-08,2.1297232422057277e-08
1883,2.8437025179073316e-08,2.780509089639338e-08
1884,2.8387296069354306e-08,1.9805090900604227e-08
1885,2.8360796489046436e-08,3.2228177515580825e-08
1886,2.258712406000285e-08,3.22673189834255e-08
1887,3.264462478114183e-08,2.285123557044244e-08
1888,1.7119660356001987e-08,3.233713385952797e-08
1889,3.5084767091575486e-08,3.4458253139746375e-08
1890,1.7041405175888258e-08,1.3764211992395303e-08
1891,2.42220359325529e-08,2.4222035377441387e-08
1892,2.1312942521944933e-08,3.886477561998447e-08
1893,2.155445777418663e-08,1.970693297437265e-08
1894,1.5123694296903523e-08,3.7809236630437226e-08
1895,1.5046536017138123e-08,2.5880041887305083e-08
1896,3.774098406017501e-08,3.715128332748563e-08
1897,1.4566784223291052e-08,1.631479840114025e-08
1898,2.263341902786209e-08,1.9804241802034994e-08
1899,2.984892333302014e-08,3.371822998587959e-08
1900,3.218453115128028e-08,2.647437047365031e-08
1901,2.682594613112599e-08,2.6825947685438223e-08
1902,1.5712908307818907e-08,2.0132164380015638e-08
1903,2.430099144135056e-08,1.8900771614482892e-08
1904,2.741058935384899e-08,2.7948050984605288e-08
1905,2.7352022868853965e-08,3.302885787093146e-08
1906,2.1091157265118454e-08,2.366324858282809e-08
1907,3.394276504309346e-08,1.5942815068115124e-08
1908,2.89771957540097e-08,4.4202500770751385e-08
1909,2.3654228797909127e-08,1.8153245739949142e-08
1910,3.0461659528135954e-08,2.1376603487333057e-08
1911,4.149891807969652e-08,2.6601870928288918e-08
1912,3.229841105678588e-08,1.5628263128064646e-08
