year,agissant_VERB en_ADP,agissant_VERB sans_ADP
1800,2.924073059240584e-07,6.917161954334006e-08
1801,3.809892181738661e-07,9.048493865293494e-08
1802,2.8196785706313676e-07,8.951360541686881e-09
1803,2.6719646939454833e-07,8.386458461018265e-08
1804,3.856087342768433e-07,8.651478244914301e-08
1805,5.42989653240511e-07,7.107194477384837e-08
1806,1.700184730779597e-07,6.339671898558663e-08
1807,4.4697196699416963e-07,5.97860605466849e-08
1808,3.263146579612908e-07,8.157866204783204e-08
1809,3.298184643174551e-07,8.810219043198231e-08
1810,5.639705560334107e-07,9.126494404654295e-08
1811,4.863728668702549e-07,2.2563691359778204e-08
1812,3.6807472270083963e-07,6.13457871168066e-08
1813,2.3293507922517165e-07,3.4508900625951355e-08
1814,2.076806868700487e-07,1.1013369771717407e-07
1815,5.745085900343838e-07,3.776112933451259e-08
1816,4.1485108681627025e-07,5.5622493277951435e-08
1817,3.238296812924091e-07,1.2610674104962527e-07
1818,5.018815505408725e-07,8.225612191381515e-08
1819,3.498654788103295e-07,5.900098543065724e-08
1820,4.4736633952879856e-07,6.645229433388522e-08
1821,4.260162995706196e-07,7.790576006527772e-08
1822,4.5115271518625377e-07,6.416394171537831e-08
1823,5.297119969327468e-07,8.696764552951208e-08
1824,4.707401899395336e-07,5.3895121254754486e-08
1825,3.9008112917571225e-07,1.3912600138610287e-07
1826,5.337638731006678e-07,7.574866645043699e-08
1827,6.249311232942034e-07,1.5208500769858802e-07
1828,5.475863957826732e-07,6.512333783348367e-08
1829,6.609918519195901e-07,5.1439055681612444e-08
1830,4.957497239388431e-07,7.931995327226105e-08
1831,6.127343894490878e-07,1.0134284167406804e-07
1832,8.050331512521325e-07,5.682587200794842e-08
1833,7.957952945503166e-07,9.151066393542351e-08
1834,7.448955585687145e-07,1.0548019702127931e-07
1835,5.210967870539207e-07,1.0361430469174593e-07
1836,7.58100618725166e-07,9.409050355513315e-08
1837,6.658701465767081e-07,7.305785210132143e-08
1838,8.717095845156564e-07,7.385229139345029e-08
1839,7.956298500033654e-07,7.830451853596543e-08
1840,8.153201713767544e-07,7.707323135264232e-08
1841,8.545750027622034e-07,1.1364370777755539e-07
1842,9.6666101123688e-07,1.7173158539662836e-07
1843,7.377732202940024e-07,9.037573805992238e-08
