year,chantant_VERB en_ADP
1800,7.231578535993322e-08
1801,2.6193008650921e-08
1802,2.4616241489638924e-08
1803,3.705644502360883e-08
1804,6.673997354766925e-08
1805,5.970043304159844e-08
1806,1.152667650217154e-08
1807,1.7081731584767113e-08
1808,2.4926813946279935e-08
1809,3.388545621874073e-08
1810,3.7442028144596406e-08
1811,7.771937582390365e-08
1812,1.8670457180292033e-08
1813,3.738464116054274e-08
1814,7.552025138579666e-08
1815,8.631115377966125e-08
1816,1.622322720606917e-08
1817,2.490997452753163e-08
1818,6.079800130009971e-08
1819,2.898294049202832e-08
1820,1.0679833017945839e-08
1821,2.2681422962023134e-08
1822,3.709477880420309e-08
1823,5.633131616722409e-08
1824,1.431589158329416e-08
1825,6.075755432100038e-08
1826,3.435113749006291e-08
1827,4.2399457278463615e-08
1828,5.228211580332598e-08
1829,8.744639434787871e-08
1830,8.662573391937656e-08
1831,8.731075240575592e-08
1832,1.0012177242835207e-07
1833,7.297686188678654e-08
1834,6.62751729052502e-08
1835,9.605121675804185e-08
1836,6.115882911217341e-08
1837,6.888312220620918e-08
1838,4.734121294980298e-08
1839,6.292327725532232e-08
1840,5.860113683198165e-08
1841,7.062603657459476e-08
1842,5.500777389144673e-08
1843,7.324569667455094e-08
1844,6.202074587235984e-08
1845,8.984166816050632e-08
1846,5.444686168587509e-08
1847,6.849393763275202e-08
1848,5.9534640106662096e-08
1849,5.865590591014325e-08
1850,7.264225843073291e-08
1851,5.1595508532287226e-08
1852,6.380334838240742e-08
1853,8.181546373720039e-08
1854,4.831968003493614e-08
1855,9.923972399406011e-08
1856,8.283502894723682e-08
1857,1.0592874843950995e-07
1858,5.627727484025513e-08
1859,7.129042689513199e-08
1860,8.010071872455171e-08
1861,6.366551064118653e-08
1862,5.466763419725851e-08
1863,4.345320248066997e-08
1864,4.411149623351207e-08
1865,7.719224459634688e-08
1866,4.914269108313718e-08
1867,5.338092634588065e-08
1868,4.3964877960434023e-08
1869,5.5672117804661525e-08
1870,8.830435271889314e-08
1871,3.717412155879174e-08
1872,6.833493459978968e-08
1873,7.48250528204153e-08
1874,9.260643984987382e-08
1875,6.465325463889116e-08
1876,5.441413142293072e-08
1877,8.41134961682144e-08
1878,6.2202616391005e-08
1879,4.337620829186761e-08
1880,8.407378970787249e-08
1881,1.1295462321037064e-07
1882,7.187815653786345e-08
1883,7.077659303078576e-08
1884,6.271612296160356e-08
1885,6.832373689036331e-08
1886,7.356949133230373e-08
1887,4.3090901069575693e-08
1888,7.5453316039642e-08
1889,6.89165040590467e-08
1890,5.7023163357872164e-08
1891,6.629188931128738e-08
1892,5.829716442917743e-08
1893,5.48099060027063e-08
1894,5.545354442304529e-08
1895,7.282523206697533e-08
1896,4.9535042734305534e-08
1897,6.817254671886985e-08
1898,5.941272740450643e-08
1899,4.145683796252797e-08
1900,6.125442364446343e-08
1901,3.968004602672437e-08
1902,3.977329826598819e-08
1903,5.8322379370423505e-08
1904,6.449549871945237e-08
1905,4.489860377931976e-08
1906,4.475440434914546e-08
1907,5.6056993713582415e-08
1908,4.371136341774218e-08
1909,5.555993326522568e-08
1910,6.359539006517423e-08
1911,5.3203741412488625e-08
1912,5.1573270709592833e-08
1913,5.1438998838193584e-08
1914,4.553785615257766e-08
1915,5.772573175022444e-08
1916,5.493731114469824e-08
1917,5.483212106582869e-08
1918,7.236417332023848e-08
1919,3.038589824200244e-08
1920,5.6791738423100924e-08
1921,4.240738649130549e-08
1922,4.500540740082215e-08
1923,4.989495661078536e-08
1924,4.383152285569736e-08
1925,3.95934391939079e-08
1926,6.687682940764716e-08
1927,5.3516280407173156e-08
1928,5.141718650847338e-08
1929,2.2280811862174232e-08
1930,5.566909833110145e-08
1931,4.676196141417677e-08
1932,3.3974563717897865e-08
1933,5.276504566609219e-08
1934,7.06913212411564e-08
1935,5.505410793915644e-08
1936,4.364897421282876e-08
1937,4.784624962894668e-08
1938,4.019216603978748e-08
1939,3.8235125288110794e-08
1940,3.803674331059881e-08
1941,7.969057236323351e-08
1942,4.5513175450651033e-08
1943,7.258088174921795e-08
1944,5.1410978585408884e-08
1945,5.2284098384092204e-08
1946,5.150808579656996e-08
1947,4.887557025767819e-08
1948,4.674911635582646e-08
1949,4.515823803785679e-08
1950,3.722376362702562e-08
1951,7.356366893418453e-08
1952,5.905090050273287e-08
1953,4.632745742583211e-08
1954,4.299915956629263e-08
1955,4.8805161689813303e-08
1956,8.110661409155284e-08
1957,4.947621123907453e-08
1958,3.22617488279775e-08
1959,5.580538398053392e-08
1960,4.360125160918216e-08
1961,5.141637871020066e-08
1962,4.883306276015631e-08
1963,5.108182121738025e-08
1964,4.502136435879933e-08
1965,6.347570524756208e-08
1966,4.4866504067542223e-08
1967,5.423369064949668e-08
1968,6.826952358984784e-08
1969,5.450109341609277e-08
1970,4.782674034586876e-08
1971,5.9091569415414824e-08
1972,7.233506948978174e-08
1973,4.3554308604143444e-08
1974,4.444201451292429e-08
1975,4.683413656891844e-08
1976,4.456551028209077e-08
1977,5.2891035551283494e-08
1978,4.217819893348462e-08
1979,4.9741772367717374e-08
1980,5.4577446673143015e-08
1981,4.617651111482601e-08
1982,4.0348763663544673e-08
1983,6.315315914662278e-08
1984,6.320919104796374e-08
1985,7.459292172828924e-08
1986,7.313272393227876e-08
1987,3.788706381957496e-08
1988,4.3774843250243833e-08
1989,4.225854155492925e-08
1990,5.993515972413377e-08
1991,6.154538523261976e-08
1992,7.052728334677738e-08
1993,5.5392073705640144e-08
1994,5.855168427881807e-08
1995,6.886512282644475e-08
1996,5.8719012985264385e-08
1997,6.041567346404264e-08
1998,6.198567670256949e-08
1999,6.261175722332979e-08
2000,5.036555972282031e-08
2001,5.8270115121938915e-08
2002,5.9146489261863167e-08
2003,6.917092099101296e-08
2004,6.783378783681293e-08
2005,7.160962156582684e-08
2006,7.288665315741127e-08
2007,7.709345473116969e-08
2008,6.769329052858097e-08
2009,6.961561216378698e-08
2010,6.849499722960672e-08
2011,7.686183411959036e-08
2012,7.217015529636939e-08
2013,7.502746668386351e-08
2014,7.730639106640069e-08
2015,7.602853258070752e-08
2016,8.927475780851069e-08
2017,6.917931338890071e-08
2018,8.002547002838867e-08
2019,7.423374459580856e-08
