year,perdant_VERB en_ADP
1800,4.087413785214267e-08
1801,6.905429472681135e-08
1802,1.3427040812530322e-08
1803,3.90067853572873e-08
1804,3.9549615138412264e-08
1805,3.695740957709859e-08
1806,2.305335300434308e-08
1807,1.1387820464392462e-08
1808,3.852325747288887e-08
1809,6.777091243748146e-08
1810,5.148278958699848e-08
1811,3.760615285841595e-08
1812,1.600324850414836e-08
1813,5.463909147351842e-08
1814,6.293354282149721e-09
1815,6.203614333344376e-08
1816,6.952811659743929e-09
1817,2.490997452753163e-08
1818,2.6226590454925258e-08
1819,4.864993385922389e-08
1820,2.610625848831205e-08
1821,6.212737702071536e-08
1822,2.3058916553964082e-08
1823,4.644862894309654e-08
1824,2.105278085196005e-08
1825,3.522177394188475e-08
1826,5.460950447400137e-08
1827,3.502563927781921e-08
1828,3.3020285172824515e-08
1829,1.6289033955008136e-08
1830,5.3227864116323076e-08
1831,1.02901957177437e-07
1832,3.923691083151937e-08
1833,4.40177885252524e-08
1834,4.573920042716395e-08
1835,6.126101226300307e-08
1836,3.763620171071125e-08
1837,4.313892532081809e-08
1838,4.8603647551104245e-08
1839,2.866504900111977e-08
1840,6.942960784073193e-08
1841,5.1364387410046675e-08
1842,5.970355942963579e-08
1843,4.4892523476391943e-08
1844,4.50062032086862e-08
1845,4.743193926515232e-08
1846,6.908311434017378e-08
1847,4.6921044827286096e-08
1848,4.3444197794784145e-08
1849,6.53594351973652e-08
1850,5.702756666892128e-08
1851,3.934157732921051e-08
1852,5.859491025717034e-08
1853,2.8068079416243563e-08
1854,3.4810952342922974e-08
1855,3.92713346286655e-08
1856,6.62680221807932e-08
1857,4.4421732070532016e-08
1858,4.306435008594178e-08
1859,5.244938683368616e-08
1860,6.728460277827253e-08
1861,3.3954938694069625e-08
1862,5.511943257374696e-08
1863,5.793760138317339e-08
1864,4.698833389049639e-08
1865,5.836486982602196e-08
1866,5.5954547661940524e-08
1867,6.308654754150211e-08
1868,8.64477989193091e-08
1869,5.274200631788517e-08
1870,5.504686839685746e-08
1871,7.222400455475508e-08
1872,6.349706183073067e-08
1873,3.7711828326791874e-08
1874,6.273339286932966e-08
1875,5.9503880489586436e-08
1876,6.952916664637598e-08
1877,5.75187900642149e-08
1878,5.7975250322694905e-08
1879,5.315112849846315e-08
1880,4.5566708850586224e-08
1881,5.9266312746331096e-08
1882,3.660461800336634e-08
1883,6.508919325742824e-08
1884,4.951272813968899e-08
1885,7.412480768076435e-08
1886,4.840097744818195e-08
1887,8.55289101764356e-08
1888,6.721051448721482e-08
1889,4.322944491264025e-08
1890,6.554386544621593e-08
1891,6.437961985739094e-08
1892,8.086380631766588e-08
1893,6.466337509891673e-08
1894,6.175508815431385e-08
1895,6.500103921780465e-08
1896,6.073939573525422e-08
1897,5.535378022614168e-08
1898,5.545187964361986e-08
1899,7.185852091140532e-08
1900,6.177353384373419e-08
1901,4.806315345717849e-08
1902,5.450415230257022e-08
1903,5.184211460118604e-08
1904,5.0521478556220245e-08
1905,5.573619593635115e-08
1906,6.790323681116206e-08
1907,5.142843306771283e-08
1908,4.7640472899956876e-08
1909,5.5009834909469646e-08
1910,6.35953933958433e-08
1911,5.1075592866212105e-08
1912,4.3759139867205477e-08
1913,5.1439002002329204e-08
1914,5.2904276071075174e-08
1915,3.062998032987707e-08
1916,4.724608815287468e-08
1917,4.1672411299487067e-08
1918,5.398596769623509e-08
1919,5.156394977667844e-08
1920,6.96645301445642e-08
1921,6.66401760440749e-08
1922,4.426761179843197e-08
1923,7.431163684401554e-08
1924,5.672314884463958e-08
1925,7.368779364469447e-08
1926,6.35329868714507e-08
1927,3.34476758512281e-08
1928,6.170062105681495e-08
1929,4.233354289340241e-08
1930,5.671945813023882e-08
1931,5.5886248517822423e-08
1932,4.603005265835236e-08
1933,4.01473165823063e-08
1934,4.4331848414458364e-08
1935,5.0266791618014395e-08
1936,3.394919900756577e-08
1937,3.399602022113868e-08
1938,4.537824938033452e-08
1939,5.047036655270176e-08
1940,5.832300686847702e-08
1941,5.017554371988808e-08
1942,7.282108072104165e-08
1943,2.9032351633873077e-08
1944,6.7476911169706e-08
1945,4.357008265287732e-08
1946,7.378184907480545e-08
1947,6.556478870933802e-08
1948,6.088257165082211e-08
1949,4.613994031288371e-08
1950,4.46685171073824e-08
1951,4.584402901741669e-08
1952,5.166953798152463e-08
1953,4.3095308654983455e-08
1954,5.76579628486229e-08
1955,3.941955162289901e-08
1956,3.750090726839517e-08
1957,4.152467597551279e-08
1958,3.8052320405768114e-08
1959,3.720359131875739e-08
1960,5.7442917977823527e-08
1961,4.655266605535502e-08
1962,5.390662849436012e-08
1963,5.496145127903418e-08
1964,5.840609762497451e-08
1965,5.581484163741379e-08
1966,4.8743857616884156e-08
1967,4.38799866442352e-08
1968,4.8956432907587555e-08
1969,3.6334062758491825e-08
1970,5.1965593439451396e-08
1971,4.5217899091731795e-08
1972,3.745007148836521e-08
1973,3.5284502652999095e-08
1974,3.206575899250552e-08
1975,3.084199162728396e-08
1976,4.57082158789035e-08
1977,3.526069181081226e-08
1978,4.871284886576177e-08
1979,5.091216837005419e-08
1980,5.287189996927566e-08
1981,3.732074183027123e-08
1982,5.338451902758834e-08
1983,5.62063142695024e-08
1984,4.465236536077555e-08
1985,5.353846688205266e-08
1986,4.435919281897682e-08
1987,6.110816963555976e-08
1988,3.837794415595397e-08
1989,5.543003467334273e-08
1990,5.884542908507484e-08
1991,3.985796181993351e-08
1992,5.1793476840700237e-08
1993,5.1514628396365225e-08
1994,4.589186253234345e-08
1995,5.151328430486046e-08
1996,5.551615989141112e-08
1997,5.0346392610478574e-08
1998,4.86349165385036e-08
1999,4.6616050797254616e-08
2000,6.141063790821022e-08
2001,4.950769350031692e-08
2002,4.950780352341866e-08
2003,5.250322931971141e-08
2004,5.77027659542928e-08
2005,4.638862194372706e-08
2006,6.012119113663061e-08
2007,6.031663701833168e-08
2008,5.194076568848516e-08
2009,5.9602405455549956e-08
2010,5.904741162687799e-08
2011,4.7417253012937977e-08
2012,5.9233995819418794e-08
2013,7.056486284184871e-08
2014,6.041592126582174e-08
2015,6.649725858842714e-08
2016,7.083982866973315e-08
2017,5.811062264715616e-08
2018,6.840886768166854e-08
2019,5.688702708894766e-08
