year,voudront_VERB avoir_VERB,voudront_VERB savoir_VERB
1800,1.8236154630812962e-07,2.2009151834367913e-08
1801,1.571580554582397e-07,1.4287095950749062e-08
1802,8.727576528144709e-08,2.4616241489638924e-08
1803,1.0726865440346955e-07,3.1205427575287104e-08
1804,9.39303390623536e-08,1.2359254952798437e-08
1805,4.5486043376286034e-08,1.421438877713399e-08
1806,8.933174200365102e-08,1.152667650217154e-08
1807,5.124519120158766e-08,2.2775640928784924e-08
1808,3.6257183921861724e-08,4.305540457494317e-08
1809,1.8749953767382976e-07,1.3554183553310395e-08
1810,7.956430891908894e-08,1.8721014072298203e-08
1811,1.504246114336638e-07,1.504245972228091e-08
1812,9.601949813031752e-08,5.3344166417446104e-08
1813,1.4091133948568313e-07,3.163315653864629e-08
1814,1.3845379953636439e-07,3.1466771410748606e-09
1815,9.170560133497929e-08,5.394447111228828e-09
1816,6.025770460382773e-08,5.0987285504788815e-08
1817,7.7843672841027e-08,4.3592454090912724e-08
1818,8.702459552978326e-08,3.2187177367859476e-08
1819,7.763287612760905e-08,2.5877625375869684e-08
1820,1.38837833674188e-07,2.7292905713238724e-08
1821,1.015733275266939e-07,3.550135829755163e-08
1822,1.012587205195814e-07,3.308453244699194e-08
1823,4.842516432290722e-08,2.174191138237802e-08
1824,9.600068295867459e-08,3.2842340402794434e-08
1825,1.3560382683408534e-07,4.0505039322624725e-08
1826,1.2859656806085695e-07,3.699353356978463e-08
1827,8.940754980812926e-08,2.027800150017356e-08
1828,1.2841221064263664e-07,3.944089499441361e-08
1829,8.658907546532646e-08,3.0006116702452346e-08
1830,9.288783786587373e-08,4.4878394334091354e-08
1831,1.2472965238430334e-07,2.8064171431196883e-08
1832,9.200379480489573e-08,3.2471927369215337e-08
1833,6.602667923516492e-08,1.0425265983826648e-08
1834,6.440826183506942e-08,1.8669062740173104e-08
1835,1.013453783116347e-07,4.840376277570613e-08
1836,9.409050250042128e-08,6.04867480547e-08
1837,9.53231023004264e-08,3.478945487245255e-08
1838,1.0288823659720947e-07,2.019891809368346e-08
1839,4.824117993962318e-08,8.38977065598101e-09
1840,8.153201491722939e-08,1.4013314952876499e-08
1841,5.264849889385914e-08,2.3756030032018316e-08
1842,1.0397810967788246e-07,2.3478927246856074e-08
1843,6.852016554148577e-08,3.1306630177141415e-08
1844,5.0494762149355665e-08,2.4698525891153622e-08
1845,4.910600637231255e-08,4.910600637231255e-08
1846,1.042101231973902e-07,3.6297908678761814e-08
1847,1.003139615818327e-07,1.1865092020002521e-08
1848,6.275273278788518e-08,1.367687652020777e-08
1849,1.2317740072376182e-07,3.267971848686102e-08
1850,4.820187271548093e-08,1.5614691761811628e-08
1851,1.064157402197452e-07,1.1608989325395669e-08
1852,7.617337871579366e-08,2.539112742283578e-08
1853,6.389966955566706e-08,1.4332636411040767e-08
1854,5.0917510208137173e-08,3.221311928314208e-08
1855,6.474463276617826e-08,2.5473298137512757e-08
1856,5.643136091748602e-08,4.34883880018333e-08
1857,6.004255936886693e-08,1.122747050885664e-08
1858,5.970284888690003e-08,3.474509924217273e-08
1859,6.161529597648041e-08,3.4626779665813956e-08
1860,6.270742147762576e-08,3.570203332969868e-08
1861,5.989274143303192e-08,4.1500481273715195e-08
1862,9.804030298710131e-08,3.3884898442693157e-08
1863,8.9903174682604e-08,4.2454278315062766e-08
1864,5.5618844641003307e-08,4.075518589274907e-08
1865,6.777855787731824e-08,3.435996376310868e-08
1866,6.665889884516218e-08,1.8489329178805747e-08
1867,9.754150909202508e-08,1.7955402498159856e-08
1868,6.471235280969267e-08,3.507310708528166e-08
1869,7.66712489053134e-08,4.2974967584541446e-08
1870,7.740965912717002e-08,5.2753250656678574e-08
1871,4.885741589077952e-08,3.186353225714811e-08
1872,8.889588798410841e-08,2.0560953828407946e-08
1873,5.327543917132971e-08,1.0774807712721213e-08
1874,6.153847209589003e-08,9.559374625212058e-09
1875,6.064819046969205e-08,3.20405533216217e-08
1876,5.8646342893098335e-08,2.539326260375674e-08
1877,7.607323482261563e-08,2.1028373708986692e-08
1878,5.254007007238215e-08,1.9928991790152395e-08
1879,5.1318330918093125e-08,2.3215436684154156e-08
1880,6.931274043608937e-08,2.5029599726167362e-08
1881,8.436734333372442e-08,2.2312024228199334e-08
1882,9.184431348785438e-08,2.3293848627758962e-08
1883,6.824885900869049e-08,4.1707636455612374e-08
1884,6.007544328667791e-08,1.7164412113856997e-08
1885,7.283568237426152e-08,2.320428826863008e-08
1886,9.68019548963639e-08,2.2587123282846733e-08
1887,7.834709236931303e-08,1.2404957061562527e-08
1888,6.847864142400795e-08,2.028996703984376e-08
1889,5.0121094830046786e-08,2.1301465480405568e-08
1890,6.292211196523567e-08,1.4419650362640368e-08
1891,6.055508805502541e-08,2.358461337337303e-08
1892,6.519253048509199e-08,1.3163876211308434e-08
1893,7.205347429817266e-08,1.4780200174868696e-08
1894,7.561847326087445e-08,2.142523314319078e-08
1895,8.847363375252826e-08,6.6204757231957956e-09
1896,6.250850503874972e-08,2.0049897742069334e-08
1897,5.710179351581246e-08,1.8645483379486905e-08
1898,9.506036491302439e-08,1.6975064909274806e-08
1899,5.7486815308038786e-08,4.4220627160029835e-09
1900,4.1009318607621026e-08,1.2977633190303095e-08
1901,8.718432553678213e-08,8.941982265753268e-09
1902,6.334266089425e-08,7.856454153909453e-09
1903,6.318257561588325e-08,1.1880484152015924e-08
1904,6.18081870129572e-08,7.524475265086039e-09
1905,5.676835002077496e-08,1.2901897328276846e-08
1906,7.201858664984684e-08,8.230695236477459e-09
1907,4.6285588695127444e-08,1.8514235478050978e-08
1908,4.7640472899956876e-08,1.3260750719723546e-08
1909,4.1807474815414025e-08,1.1001967337165297e-08
1910,5.451033757708501e-08,1.8170112525695004e-08
1911,3.1390207766435196e-08,1.1704822888702893e-08
1912,5.46989227245831e-08,7.814131564032323e-09
1913,4.8787505591008085e-08,1.2196876397752021e-08
1914,5.558297289098846e-08,1.2054139020278853e-08
1915,5.0657277483878715e-08,3.534228465440492e-09
1916,5.933229374477378e-08,4.0653610255958483e-08
1917,2.4126133979507358e-08,2.631941953268324e-08
1918,5.513460621386912e-08,3.9053681177847466e-08
1919,5.248473655683483e-08,2.301962176431971e-08
1920,6.96645301445642e-08,1.8930579770426448e-08
1921,4.0892835784234194e-08,9.087297137000405e-09
1922,7.968170478989123e-08,1.4018077365562931e-08
1923,4.671016995416721e-08,1.5923921736771263e-08
1924,4.898817351772777e-08,1.675911143195208e-08
1925,5.27912540349007e-08,8.798542339150117e-09
1926,4.458455293843144e-08,1.89484357093761e-08
1927,4.1252132376712325e-08,1.6723836537835268e-08
1928,3.427812345080383e-08,9.14083297942625e-09
1929,5.23599084090165e-08,1.4482528065684619e-08
1930,3.991369368350206e-08,9.453243521306831e-09
1931,4.790249619190945e-08,1.8248570654577634e-08
1932,2.301502632917618e-08,7.6716757391182e-09
1933,2.064719240024715e-08,1.1470662641954732e-08
1934,3.1152108448395666e-08,1.4377896206951846e-08
1935,3.4708023122220766e-08,8.377798899061872e-09
1936,2.0612015205756506e-08,9.699771652549316e-09
1937,3.273690651894867e-08,6.295559185076627e-09
1938,4.148868626430158e-08,9.075650453382877e-09
1939,2.5999884911698246e-08,1.2235240376412548e-08
1940,7.60734906180005e-08,5.0715658339584024e-09
1941,1.4757512545315876e-08,1.1806010391524069e-08
1942,2.1239483061208375e-08,3.3376331032286544e-08
1943,2.0322646676618206e-08,1.7419411690866582e-08
1944,3.213186161588055e-08,3.2131861615880553e-09
1945,1.3071024262956144e-08,2.178504043826024e-09
1946,2.3665876369705074e-08,1.1136883415474585e-08
1947,4.7683485604466114e-08,4.7683483828109274e-09
1948,2.717971980814582e-08,7.610321262063735e-09
1949,3.141442661558358e-08,1.9634017078828947e-08
1950,2.9779013033248702e-08,6.381216888229346e-09
1951,1.7058242818279723e-08,5.330700769690111e-09
1952,3.585233443459401e-08,1.7926167217297007e-08
1953,3.124409886368085e-08,1.508335856215126e-08
1954,3.224936762080688e-08,1.3681550115052232e-08
1955,3.191106756617046e-08,1.220129064449793e-08
1956,1.3081712602058815e-08,7.849027205963921e-09
1957,1.501956425897788e-08,1.236905244894615e-08
1958,2.1507833736222892e-08,1.0753916868111446e-08
1959,2.6352543258667538e-08,1.3951345856355601e-08
1960,1.6610000486139143e-08,7.612916519406099e-09
1961,1.737039845295385e-08,1.459113452284555e-08
1962,1.7123282347597524e-08,8.8787386332001e-09
