year,devrait_VERB avoir_VERB,devrait_VERB savoir_VERB
1800,5.439404731077957e-07,5.65949598296811e-08
1801,5.476720161823323e-07,2.1430643926123594e-08
1802,5.035140020481776e-07,4.0281122437590966e-08
1803,4.427270141604822e-07,2.9255089017965474e-08
1804,5.635820343741216e-07,4.943701981119375e-08
1805,4.150601569108403e-07,3.695740957709859e-08
1806,5.993871923237748e-07,4.8988376022407465e-08
1807,5.43768408078904e-07,7.686778502602465e-08
1808,7.319418955376022e-07,2.2660739062985158e-08
1809,3.95330346236733e-07,2.25903047379461e-08
1810,6.084329697841895e-07,5.8503168531842675e-08
1811,4.938941060572688e-07,5.0141537144554604e-08
1812,7.734903988421138e-07,3.467370746079723e-08
1813,9.461189733883657e-07,1.1790540810352468e-07
1814,8.055493481151643e-07,5.349351184236184e-08
1815,7.039753313620167e-07,4.5852800667489646e-08
1816,6.303882855718257e-07,7.648093003354006e-08
1817,6.258630946831545e-07,1.1520863552050287e-07
1818,5.972509597995668e-07,8.940882878505363e-08
1819,7.266436909958429e-07,1.4698491668241331e-07
1820,7.167354851844721e-07,1.7087732828713342e-07
1821,1.0157333463212126e-06,1.7356219927933125e-07
1822,8.160851621141774e-07,1.0727409005539812e-07
1823,6.987059464336198e-07,7.609668983832307e-08
1824,6.560046585946111e-07,5.5579342017608724e-08
1825,8.558890840504318e-07,1.3472327964336728e-07
1826,9.715206488181138e-07,6.077509340229881e-08
1827,9.991523484131903e-07,1.511632774509053e-07
1828,9.098922646444407e-07,6.604057034564903e-08
1829,1.1213713833058137e-06,1.5431716349212365e-07
1830,1.101086127164308e-06,9.601888706356476e-08
1831,1.1942863693548134e-06,2.0268568334813608e-07
1832,1.1256934158154763e-06,1.8400758960979147e-07
1833,1.3147417803338612e-06,1.285782786908385e-07
1834,9.735915682540508e-07,8.027696907220161e-08
1835,9.869829682429554e-07,1.187404805591541e-07
1836,9.375446552439826e-07,8.602560086501398e-08
1837,9.483605367677228e-07,6.95789097449051e-08
1838,8.887524245437817e-07,9.594486272135327e-08
1839,9.54336314862303e-07,8.110111338055503e-08
1840,9.688296813692432e-07,7.070354257621148e-08
1841,1.0754419008662808e-06,7.255219713897532e-08
1842,1.0981430023093708e-06,1.2410289684794407e-07
1843,1.1855170214403188e-06,1.1459407289748924e-07
1844,1.2173628647360601e-06,9.111011678442082e-08
1845,1.1472948244772851e-06,1.0490828827869336e-07
1846,1.053810251505638e-06,1.1943183153562131e-07
1847,1.1401274377931259e-06,1.0139260098185332e-07
1848,1.2993033351449412e-06,1.0056527344204369e-07
1849,1.1831733672806877e-06,8.211826951765033e-08
1850,9.952668733603787e-07,9.911934029105396e-08
1851,1.198305767502461e-06,9.545169632474426e-08
1852,1.022806713990576e-06,1.0221556578926538e-07
1853,9.029561169882072e-07,1.2003583549358154e-07
1854,1.0038023674496799e-06,8.624802916301633e-08
1855,9.579021025274415e-07,9.764764286046557e-08
1856,1.0587351653157384e-06,5.9537676122545236e-08
1857,8.679323286742147e-07,9.079607110606958e-08
1858,1.1035239140255726e-06,1.1304391733801822e-07
1859,9.619114962333697e-07,1.3443337820717716e-07
1860,1.082961716747377e-06,1.382309591235753e-07
1861,1.0936320222754148e-06,9.148969581929123e-08
1862,9.98475002234045e-07,8.177555343991116e-08
1863,1.0978176305798115e-06,1.0788380766513228e-07
1864,1.0644296253303764e-06,1.4528025626958652e-07
1865,1.0778674095490715e-06,1.0072646716707823e-07
1866,9.682569270808017e-07,8.612134649865766e-08
1867,1.1370137826816062e-06,8.055667422013357e-08
1868,1.232004592566227e-06,1.0324336585654237e-07
1869,1.126139522966696e-06,1.416220527516998e-07
1870,1.178347019958892e-06,1.146809722740727e-07
1871,1.2713549040199723e-06,7.965883241922711e-08
1872,1.1870927210111404e-06,1.3666986831140093e-07
1873,1.1211786841158755e-06,8.200826329129995e-08
