year,cachant_VERB en_ADP
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,6.713520406265161e-09
1803,0.0
1804,1.4831105898949204e-08
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,0.0
1808,3.852325747288887e-08
1809,0.0
1810,4.680253518074551e-09
1811,1.2535384286138651e-08
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,9.341240669868967e-09
1818,1.4305412854298538e-08
1819,1.1386154796788617e-08
1820,1.1866481131050932e-08
1821,9.86148829262845e-10
1822,2.3058916553964082e-08
1823,1.8777104315859106e-08
1824,3.115811608722652e-08
1825,1.8491430608946757e-08
1826,1.0569580766173203e-08
1827,1.1060727445055818e-08
1828,1.834460228167245e-08
1829,1.800366966620004e-08
1830,3.757260813586072e-08
1831,6.236482441579483e-09
1832,2.976593194148336e-08
1833,1.50587169400751e-08
1834,3.733812548034621e-08
1835,1.8151411040889798e-08
1836,2.688300027031687e-09
1837,2.7135774516295896e-08
1838,8.837027110075724e-09
1839,1.0487212875887053e-08
1840,1.1465439264668476e-08
1841,1.2841097074556274e-08
1842,1.7441490030023488e-08
1843,1.7130041385371442e-08
1844,1.975882035765153e-08
1845,1.3950569588416784e-08
1846,1.0538101946622191e-08
1847,9.707802561820245e-09
1848,2.574470947536156e-08
1849,2.4300303991253713e-08
1850,1.425689166723032e-08
1851,3.8696632564949596e-09
1852,7.812654523320361e-09
1853,5.3747388761848924e-09
1854,1.6106559475037585e-08
1855,1.8043586180738203e-08
1856,2.1226476576430287e-08
1857,9.274867096564776e-09
1858,1.4191660291373864e-08
1859,1.9859475841599306e-08
1860,2.197048232233101e-08
1861,1.839225838295988e-08
1862,1.8975542914745347e-08
1863,2.097740825490746e-08
1864,7.671564605793435e-09
1865,8.47231973466478e-09
1866,9.244664589402873e-09
1867,4.4160586298858107e-08
1868,1.432563490055827e-08
1869,1.3673853160867111e-08
1870,2.0069169881509197e-08
1871,2.3366590440332402e-08
1872,2.9027228620748247e-08
1873,1.97538145840781e-08
1874,2.0313670745508716e-08
1875,3.089624556196213e-08
1876,4.474050996350343e-08
1877,2.1646856751544874e-08
1878,2.6571990829893366e-08
1879,1.649517855639715e-08
1880,1.6686399817444908e-08
1881,9.064259565150223e-09
1882,1.0648616211028639e-08
1883,1.516641390253426e-08
1884,8.582206056928499e-09
1885,9.66845359329227e-09
1886,7.744156427236248e-09
1887,8.48760173255414e-09
1888,1.014498351992188e-08
1889,1.2530273707511697e-08
1890,1.2453334363726754e-08
1891,1.0198752065093686e-08
1892,1.56712811616444e-08
1893,1.3548516086814288e-08
1894,1.071261657159539e-08
1895,1.0833506536300774e-08
1896,1.8280790214930676e-08
1897,1.3984112534615178e-08
1898,1.640922953072277e-08
1899,9.949641111006713e-09
1900,1.142031713641245e-08
1901,1.0059730159994729e-08
1902,1.6203935970793282e-08
1903,9.1803746826713e-09
1904,1.1286712897629059e-08
1905,1.4450125540577119e-08
1906,2.1605574662686422e-08
1907,1.697138252154673e-08
1908,9.822778146428846e-09
1909,2.0903737407707013e-08
1910,1.068830179917768e-08
1911,1.649316061502759e-08
1912,1.250261111307438e-08
1913,2.0151361468379037e-08
1914,1.339348720819089e-08
1915,2.591767678250534e-08
1916,9.888715624128963e-09
1917,1.0966424213165737e-08
1918,1.2635013924011673e-08
1919,1.9336480860943084e-08
1920,1.741613253614105e-08
1921,7.572747762196741e-09
1922,1.696925089333945e-08
1923,1.2739138188777588e-08
1924,1.0313299547703991e-08
1925,8.798542339150117e-09
1926,1.3375366592072169e-08
1927,1.5608915049369898e-08
1928,2.2852082892654835e-08
1929,1.3368487650211591e-08
1930,1.7856125467119455e-08
1931,1.3686427990933225e-08
1932,1.0959536389520963e-08
1933,1.7205993074753678e-08
1934,1.7972370258689807e-08
1935,2.6330224223158893e-08
1936,2.9099314957647948e-08
1937,1.2591118259130951e-08
1938,7.779128452511941e-09
1939,6.117620188206274e-09
1940,1.5214697057785997e-08
1941,8.854508237732261e-09
1942,3.3376331032286544e-08
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,3.485606470121638e-08
1946,1.1136883415474585e-08
1947,2.622591566137089e-08
1948,1.7395020535104777e-08
1949,2.3560819073509265e-08
1950,1.4889506516624351e-08
1951,1.9190522948520083e-08
1952,2.636200890915319e-08
1953,2.0470272588113403e-08
1954,1.2704297169818801e-08
1955,2.1586897158698548e-08
1956,2.0930738919844316e-08
1957,1.9437083054185678e-08
1958,1.1581140491045971e-08
1959,2.40273188012452e-08
1960,1.5225833038812198e-08
1961,1.042223907177231e-08
1962,1.3318108227355907e-08
1963,1.4225316813387678e-08
1964,1.5818317322668918e-08
1965,1.5321720781003023e-08
1966,1.7725039214155913e-08
1967,1.6763140875397653e-08
1968,1.6169096284102125e-08
1969,1.862120768691966e-08
1970,9.657322774803134e-09
1971,3.237190426830239e-08
1972,1.487742551375959e-08
1973,1.543697081274331e-08
1974,1.012602890426706e-08
1975,1.1422959911300268e-08
1976,1.5997875024709174e-08
