year,tout_ADV en_ADP,tout_ADV sans_ADP
1800,1.9028483393412898e-05,1.82047119778872e-06
1801,1.7718379126563377e-05,1.9382825939828763e-06
1802,1.6410081343565253e-05,1.7320883216598304e-06
1803,1.532966666673019e-05,2.1044161258032545e-06
1804,1.6971728655335028e-05,2.1208481939538615e-06
1805,1.5405554449898773e-05,2.4306605155288707e-06
1806,1.660705879658053e-05,2.64537220573402e-06
1807,1.612515382021229e-05,2.4768510229478125e-06
1808,1.8196573478235223e-05,2.531204700062517e-06
1809,1.8557934936325182e-05,2.030868472502334e-06
1810,1.790431053905195e-05,3.227034767405712e-06
1811,1.7657341459198506e-05,2.188678081438411e-06
1812,1.713681263026956e-05,1.8937178083433537e-06
1813,2.0173327584416256e-05,1.6794331259006867e-06
1814,2.2306795017357217e-05,1.5513118114540703e-06
1815,2.2511027054861188e-05,1.2919700793645461e-06
1816,1.8183920815317833e-05,1.5481593891308876e-06
1817,2.1058269794593798e-05,1.7997456325247185e-06
1818,2.0964582290616818e-05,1.5998219851098838e-06
1819,1.9405113221182546e-05,2.0008578758279327e-06
1820,2.275041720167792e-05,1.924743173731258e-06
1821,2.3038409153741668e-05,1.7444972399971448e-06
1822,2.265789225930348e-05,2.0351999410195276e-06
1823,2.3819251964596333e-05,1.716622705316695e-06
1824,2.506038845240255e-05,1.8804344108502846e-06
1825,2.5388734684383962e-05,1.8535457684265566e-06
1826,2.320287239854224e-05,1.7122721374107641e-06
1827,2.605907366159954e-05,2.1181292595429113e-06
1828,2.774988047349325e-05,1.8977491436089622e-06
1829,2.849552242878417e-05,2.1210037175478647e-06
1830,3.097444073318911e-05,1.931858378156903e-06
1831,3.152853741994477e-05,1.527938252365857e-06
1832,3.399810702831019e-05,1.8319578884984367e-06
1833,3.543547904882871e-05,1.5047133956613834e-06
1834,3.198663762304932e-05,1.8781075823426363e-06
1835,3.4127676372008864e-05,1.8257294414070202e-06
1836,3.579673216336232e-05,1.9853096091537736e-06
1837,3.608571023505647e-05,1.8466242863723892e-06
1838,3.499778108562168e-05,1.8519882587497705e-06
1839,3.782248290917778e-05,1.600348696229048e-06
