year,devait_VERB ôter_VERB,devait_VERB oter_VERB,devait_VERB sauter_VERB
1800,1.2576657937302116e-08,0.0,6.288328968651058e-09
1801,7.143547975374531e-09,0.0,0.0
1802,8.951360541686881e-09,0.0,1.7902721083373763e-08
1803,1.5602713787643552e-08,0.0,1.950339223455444e-09
1804,1.730295728918918e-08,0.0,0.0
1805,8.528632911009026e-09,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,0.0,0.0
1807,2.8469550272802735e-08,0.0,0.0
1808,2.2660739951163578e-09,0.0,9.064295980465431e-09
1809,4.518061036407062e-09,0.0,6.7770917766551975e-09
1810,1.1700633351097167e-08,0.0,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0,7.521229861140455e-09
1812,0.0,0.0,8.00162425207418e-09
1813,3.4508900625951355e-08,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0,0.0
1816,1.622322720606917e-08,0.0,0.0
1817,3.269434145636296e-08,0.0,0.0
1818,7.510341504257667e-08,0.0,2.384235475716423e-09
1819,5.175524897538253e-09,0.0,6.210630232317271e-09
1820,3.797273961936298e-08,0.0,1.6613073583471305e-08
1821,2.1695274909916407e-08,9.86148829262845e-10,1.97229765852569e-09
1822,3.408709403629473e-08,0.0,3.208197085768916e-08
1823,2.174191138237802e-08,0.0,0.0
1824,1.6842225392110777e-08,0.0,5.894778887238772e-09
1825,2.0252519661312363e-08,0.0,7.924898959288385e-09
1826,1.76159691278599e-08,0.0,8.807984341885344e-10
1827,2.7651818612639545e-08,0.0,1.8434546111834038e-09
1828,2.7516904310687096e-08,0.0,1.0089530988466322e-08
1829,2.1432940755516938e-08,0.0,5.143905745796928e-09
1830,2.5048406016026092e-08,0.0,1.1480519646056564e-08
1831,1.2472964883158966e-08,0.0,2.9623292263636358e-08
1832,2.705993829010822e-08,0.0,8.117981842303834e-09
1833,1.6217079235048004e-08,0.0,6.950177322551099e-09
1834,2.240287422239362e-08,0.0,4.667265685043276e-09
1835,1.1344631900556124e-08,0.0,9.075705520444899e-09
1836,1.8146025126952736e-08,0.0,9.409050427677812e-09
1837,1.6003149028165353e-08,0.0,3.478945576063097e-09
1838,3.597932263232906e-08,6.312161904276081e-10,6.312161904276081e-10
1839,2.3771015378315496e-08,0.0,9.788065469251706e-09
1840,9.554533164646273e-09,0.0,8.917564464638872e-09
1841,2.43980835534785e-08,0.0,7.704658244733764e-09
1842,1.542900918138912e-08,0.0,7.379091560011375e-09
1843,4.252975926988256e-08,0.0,5.906910960362666e-09
1844,1.5916826967554698e-08,5.488561272137815e-10,2.195424508855126e-09
1845,6.41726245476093e-08,1.1160455892778032e-09,1.1160455670733427e-08
1846,4.2152407786488766e-08,0.0,2.0490753982471688e-08
1847,2.534815024546333e-08,0.0,6.47186837454683e-09
1848,2.976732105253177e-08,0.0,1.850401076808339e-08
1849,2.9327951622803994e-08,0.0,3.1841775438579134e-08
1850,7.467895635215882e-09,0.0,1.765138968323754e-08
1851,1.7413483988093503e-08,0.0,9.029214709244116e-09
1852,1.1067927019325907e-08,0.0,1.5625309046640723e-08
1853,2.8068079416243563e-08,0.0,1.3735443005202796e-08
1854,1.610655964157104e-08,0.0,1.9223959313308114e-08
1855,1.3798036491152743e-08,5.306937111981824e-10,3.1841622671890946e-09
1856,1.5531567143511893e-08,0.0,2.5885946719483854e-09
1857,1.513267733344037e-08,0.0,2.4407544874094356e-09
1858,1.663849857891364e-08,0.0,4.404308473482388e-09
1859,1.6804172275897145e-08,0.0,1.018434669930457e-08
1860,3.112485202905191e-08,0.0,1.6020143434047895e-08
1861,8.017138064531082e-09,4.715963730639317e-10,6.13075279431996e-09
1862,3.11741068514948e-08,0.0,5.421583626485926e-09
1863,6.493007020935693e-09,0.0,4.994620717013731e-09
1864,1.821996598039277e-08,0.0,3.835782358407869e-09
1865,2.9653119071326728e-08,0.0,5.177528628053096e-09
1866,9.244664589402873e-09,4.865612912574591e-10,7.298419202328432e-09
1867,8.73506067478047e-09,0.0,1.164674756637396e-08
1868,1.679557115608077e-08,0.0,1.2349684830326169e-08
1869,2.6859355628516823e-08,0.0,6.8369265804335555e-09
1870,1.3761717099214366e-08,0.0,5.160643912205387e-09
1871,1.4869648623516696e-08,2.1242354542039266e-09,4.6733180880664804e-08
1872,1.4513614310374123e-08,0.0,4.8378714367913744e-09
1873,1.496501056408306e-08,0.0,1.4366410283628284e-08
1874,2.2703515512034755e-08,0.0,6.572069999322139e-09
1875,1.4303817685856757e-08,0.0,6.865832347102696e-09
1876,1.6324239737741664e-08,0.0,9.673623679873344e-09
1877,1.1751150275074451e-08,0.0,1.8554447978047506e-09
1878,1.509772218355465e-08,0.0,1.1474268646338714e-08
1879,1.2829582729523281e-08,1.221865053580018e-09,4.887460214320072e-09
1880,5.776061406947974e-09,0.0,7.059631101924424e-09
1881,1.2550513517339823e-08,6.972507571312292e-10,1.2550513517339823e-08
1882,1.3310770263785798e-08,1.3310770263785798e-09,5.324308105514319e-09
1883,5.687405213450347e-09,0.0,4.423537092179686e-09
1884,6.601696966868076e-09,0.0,6.601696966868076e-09
1885,7.090199094506033e-09,6.445635691854079e-10,1.2891271161663553e-08
1886,5.162771099520569e-09,0.0,9.680196200179125e-09
1887,1.0446279397058333e-08,0.0,1.3057849024278312e-08
1888,7.60873763994141e-09,0.0,4.4384300679212174e-09
1889,6.265136853755848e-09,0.0,2.5060546970934183e-09
1890,9.176140736144589e-09,0.0,1.3108772956016423e-09
1891,5.736798147637501e-09,0.0,4.461953917456185e-09
1892,1.002961980134387e-08,0.0,3.761107425503951e-09
1893,7.390100087434348e-09,0.0,8.621783287310336e-09
1894,5.041231432301174e-09,0.0,1.3233232287745977e-08
1895,7.22233739480771e-09,0.0,9.027921521465032e-09
