year,offrant_VERB en_ADP,offrant_VERB sans_ADP
1800,1.3834323908668011e-07,6.288328968651058e-09
1801,1.3334621939975477e-07,4.0480102825313224e-08
1802,7.384872446891677e-08,4.0281122437590966e-08
1803,1.1116933507082649e-07,0.0
1804,1.2359254242255702e-07,1.730295728918918e-08
1805,1.3645812657614442e-07,2.2743021688143017e-08
1806,2.2765186713513685e-07,8.645007376628655e-09
1807,1.195721210933698e-07,1.4234775136401367e-08
1808,8.837688625362716e-08,6.798221985349073e-09
1809,1.7168632382436044e-07,2.259030518203531e-09
1810,8.89248141788812e-08,2.3401267590372754e-09
1811,1.3788921648938413e-07,2.5070767684098882e-09
1812,1.0135391192989118e-07,3.7340914360584065e-08
1813,7.764502640839055e-08,5.751483289628823e-09
1814,1.7621391634747852e-07,1.2586708564299443e-08
1815,1.2137506644194218e-07,1.8880564667256294e-08
1816,9.965696534663948e-08,2.3176038865813098e-09
1817,1.71256075987003e-07,4.981994905506326e-08
1818,1.3947777688372298e-07,1.0729059418679299e-08
1819,1.738976465048836e-07,2.4842520929269085e-08
1820,1.6613073228199937e-07,7.119888678630559e-09
1821,1.5679766818266216e-07,2.9584463767662328e-09
1822,1.2030739071633434e-07,8.02049271442229e-09
1823,2.490437225333153e-07,5.929612356680991e-09
1824,3.200022717919637e-07,2.947389532437228e-08
1825,1.4793144487157406e-07,1.4088708866211164e-08
1826,2.0082204343907506e-07,9.688783109140786e-09
1827,1.9264101069893513e-07,2.7651818612639545e-09
1828,2.1646630443683534e-07,4.586150570418113e-09
1829,3.060623896544712e-07,1.5431716349212365e-08
1830,1.8577567573174747e-07,2.817945699007396e-08
1831,2.2451337144957506e-07,9.35472388441383e-09
1832,2.624813930651726e-07,4.058990654698391e-08
1833,2.965408896216104e-07,6.950177322551099e-09
1834,2.8190282819196e-07,1.4001796166951408e-08
1835,2.0722860938349186e-07,7.563087933704082e-09
1836,4.509623181547795e-07,6.72075017860152e-09
1837,2.630082747145934e-07,4.87052354003481e-09
1838,3.0613983881266904e-07,3.787297142565649e-09
1839,3.89425167668378e-07,1.4682097426721441e-08
1840,2.5478755105723394e-07,1.9746034141121527e-08
1841,2.1187810261835693e-07,1.0914932957462042e-08
1842,1.9118554916985886e-07,1.2745703159566801e-08
1843,2.108767205299955e-07,1.7720733325177207e-08
1844,2.431432619687257e-07,2.4149668931272572e-08
1845,2.751052363691997e-07,7.812318791877715e-09
1846,2.0724934302052134e-07,4.0981511517657054e-09
1847,2.0170656966911338e-07,9.707802561820245e-09
1848,1.6251347290108242e-07,1.689496542667257e-08
1849,2.0697154923254857e-07,1.256912263158938e-08
1850,1.9823868058210792e-07,3.394498016007219e-09
1851,2.3088990985797864e-07,4.514607354622058e-09
1852,3.5938211340180715e-07,1.3021090872200602e-08
1853,3.147208076370589e-07,4.777545470346922e-09
1854,2.6238106443088327e-07,1.454786069388092e-08
1855,2.786142090371868e-07,1.751289246954002e-08
1856,2.604126052574429e-07,4.659470143053568e-09
1857,2.9777206123071664e-07,3.905207268672939e-09
1858,2.6132229891118186e-07,4.893676130990343e-09
1859,2.841432831246493e-07,1.3748867822016564e-08
