year,portant_VERB en_ADP,portant_VERB cent_DET
1800,8.929427197656992e-07,3.144164484325529e-09
1801,1.1143934224300267e-06,0.0
1802,1.139060657351365e-06,0.0
1803,7.781853657018445e-07,0.0
1804,1.1815447908958276e-06,0.0
1805,1.424281687922857e-06,1.421438877713399e-08
1806,5.965055152046261e-07,0.0
1807,1.110312533469937e-06,0.0
1808,6.662257638900826e-07,4.5321479902327155e-09
1809,9.397566762547882e-07,0.0
1810,5.943921812523456e-07,0.0
1811,7.270522770497223e-07,0.0
1812,9.095180089069288e-07,0.0
1813,7.735744795844823e-07,8.627225156487839e-09
1814,8.621895477567421e-07,2.2026739543434815e-08
1815,8.145614875942897e-07,0.0
1816,1.0707329920478514e-06,0.0
1817,8.874178476503403e-07,1.71256075987003e-08
1818,8.440193699499332e-07,0.0
1819,7.628724141284238e-07,1.1386155129855524e-08
1820,8.377735642994821e-07,2.3732962262101864e-09
1821,9.181045501627239e-07,8.875339574387908e-09
1822,8.371389128569717e-07,2.0051231786055723e-09
1823,1.1157553050367142e-06,1.581229902569703e-08
1824,1.1865347815387395e-06,1.6842225392110777e-08
1825,1.3032055932171716e-06,8.805443041381977e-10
1826,8.191425338033298e-07,5.284790383086602e-09
1827,8.267894144320387e-07,0.0
1828,1.081414362946731e-06,3.668920500743411e-09
1829,9.061847198177375e-07,1.5431716349212365e-08
1830,9.027863272503822e-07,3.1310507520032616e-09
1831,1.0726749541944969e-06,9.354723218280014e-09
1832,9.944527548100268e-07,4.058990921151917e-09
1833,9.023646612149605e-07,2.3167257001688313e-09
1834,9.194512746724115e-07,6.534171426153534e-09
1835,9.953023720754572e-07,1.5126175867408165e-09
1836,8.622722456053111e-07,0.0
1837,8.850437538399092e-07,2.0873671680021744e-09
1838,8.818090124762534e-07,3.1560809521380406e-09
1839,9.277687543773894e-07,6.9914749545318955e-09
1840,8.822018937593157e-07,8.280594876453051e-09
1841,1.2224723935361226e-06,0.0
1842,9.337905062523078e-07,2.683306021822318e-09
1843,8.694972919442989e-07,1.1813822142769936e-09
1844,9.286645674677629e-07,4.9397050894128824e-09
1845,1.235462500304152e-06,1.0044410636567136e-08
1846,9.929234145999999e-07,1.1709002656346001e-09
1847,1.0840379660592703e-06,5.393223645455691e-10
1848,9.799080089578638e-07,9.65426583121598e-09
1849,1.0566442565362877e-06,0.0
1850,1.0047714296135268e-06,2.7155984128057753e-09
1851,9.287191815587903e-07,6.449438760824933e-10
1852,1.080099506944876e-06,1.3021090872200602e-09
1853,1.0839055910594197e-06,6.569124799682413e-09
1854,9.970480063792309e-07,3.117398783558656e-09
1855,1.0364448037591956e-06,7.960405667972736e-09
1856,1.0794439022632218e-06,3.1063134287023786e-09
1857,1.1203062868503366e-06,1.4644527812635033e-09
1858,1.0653532696025536e-06,0.0
1859,1.0372757639487418e-06,5.092173349652285e-10
1860,9.74940137066227e-07,0.0
1861,1.0724101828785138e-06,0.0
1862,1.059919562784728e-06,9.035972525772706e-10
1863,1.0024203467295933e-06,3.496234635136375e-09
1864,1.003536576504871e-06,1.9178911792039344e-09
1865,1.067041657698553e-06,1.4120533631256649e-09
1866,1.015940017445871e-06,1.4596839292835284e-09
1867,1.1345872898971265e-06,9.7056229719783e-10
1868,1.0166260491217827e-06,0.0
1869,1.0436080781772716e-06,0.0
1870,1.111832085953779e-06,1.1468097582678638e-09
1871,1.2671064020253198e-06,2.1242354542039266e-09
1872,1.0703790671584557e-06,0.0
1873,1.1331506142298053e-06,7.183205141814142e-09
1874,1.2134430695809328e-06,1.1949218281515073e-09
1875,1.1197028868537018e-06,1.1443054281912168e-09
1876,1.1378600035527597e-06,3.02300739996042e-09
1877,1.1410985365500892e-06,6.184815992682502e-10
1878,1.058652213004052e-06,0.0
1879,1.1039550571467771e-06,0.0
1880,1.1346752604168842e-06,0.0
1881,1.093289235143402e-06,0.0
1882,1.1181046986052934e-06,0.0
1883,1.2518610157385979e-06,1.2638677882037541e-09
1884,1.1071046301935894e-06,3.9610181801208455e-09
