year,vendant_VERB en_ADP
1800,1.5720821977538435e-08
1801,7.143547975374531e-09
1802,6.713520406265161e-09
1803,3.900678446910888e-09
1804,0.0
1805,2.2743021688143017e-08
1806,6.339671898558663e-08
1807,4.555128185756985e-08
1808,4.078933102391602e-08
1809,4.518061036407062e-09
1810,1.1700633351097167e-08
1811,1.2535384286138651e-08
1812,1.8670457180292033e-08
1813,4.3136125782439194e-08
1814,9.754699448194515e-08
1815,4.315557688983063e-08
1816,8.806894413737609e-08
1817,2.0239355080775567e-08
1818,1.4305412854298538e-08
1819,3.519356894798875e-08
1820,4.390598107306687e-08
1821,2.6626018723163725e-08
1822,1.7043547018147365e-08
1823,2.569498569471307e-08
1824,1.0947446504872005e-08
1825,2.4655239627691117e-08
1826,5.372870504061211e-08
1827,8.111200600069424e-08
1828,1.3758452155343548e-08
1829,3.257806824308318e-08
1830,1.1480519646056564e-08
1831,4.2096257146795324e-08
1832,1.352996914505411e-08
1833,2.7800709290204395e-08
1834,1.7735608537350345e-08
1835,3.6302822081779595e-08
1836,2.8899226123257904e-08
1837,5.5663129217009555e-08
1838,3.471689069556305e-08
1839,2.866504900111977e-08
1840,4.9046601446889326e-08
1841,5.264849889385914e-08
1842,5.1653639587811995e-08
1843,4.371114314949409e-08
1844,4.171306500211358e-08
1845,4.9664027557128065e-08
1846,2.5759806732139623e-08
1847,2.1572894581822766e-08
1848,2.735375304041554e-08
1849,2.1786478399121734e-08
1850,2.4440385715251978e-08
1851,3.998652076120379e-08
1852,1.40627776090696e-07
1853,3.58315901394235e-08
1854,5.143707682009335e-08
1855,3.714855978387277e-08
1856,4.245295315286057e-08
1857,3.026535466688074e-08
1858,2.202154192332273e-08
1859,3.3099126994784456e-08
1860,2.5632230560290736e-08
1861,5.4705179053371467e-08
1862,4.879425219428413e-08
1863,6.343168479361339e-08
1864,3.404256787575832e-08
1865,4.6597758540656287e-08
1866,6.422609288847525e-08
1867,5.046923945428716e-08
1868,3.754304245262574e-08
1869,3.076617005604021e-08
1870,4.472558146062511e-08
1871,4.885741589077952e-08
1872,3.0236694925633856e-08
1873,1.2690328787812177e-07
1874,1.5115760731987393e-07
1875,3.661777370211894e-08
1876,1.2152489148320456e-07
1877,2.968711676487601e-08
1878,1.1293095525388708e-07
1879,3.0546626561545054e-08
1880,1.2065551402429264e-07
1881,6.149751925477176e-07
1882,3.9932309903178975e-08
1883,4.486730631469982e-08
1884,3.498899303622238e-08
1885,1.3793660968985932e-07
1886,1.0002869288427974e-07
1887,8.226444947467826e-08
1888,8.433017484321681e-08
1889,6.202485280937253e-08
1890,2.4054597247413767e-07
1891,1.7019166875797964e-07
1892,8.650547300703693e-08
1893,2.3155645578754047e-07
1894,7.120739553556632e-08
1895,9.38903852443218e-08
1896,4.363801409112966e-08
1897,5.884980680548324e-08
1898,7.808530000374958e-08
1899,7.462230655619351e-08
1900,6.177353384373419e-08
1901,3.023507701982453e-07
1902,1.689137576477151e-07
1903,1.5120616581043578e-07
1904,6.073326375144461e-08
1905,1.6978897576791496e-07
1906,1.1677298772383438e-07
1907,1.2805679716620944e-07
1908,1.586378601814431e-07
1909,5.996071905656208e-08
1910,4.702852507421085e-08
1911,4.362706818028528e-08
1912,7.345283847826067e-08
1913,7.795394907361697e-08
1914,7.701255100300841e-08
1915,7.775302890422608e-08
1916,4.724608615447323e-08
1917,6.141197417264266e-08
1918,1.229042254635715e-07
1919,1.3443458612982795e-07
1920,4.846228307542333e-08
1921,6.28538003866197e-08
1922,8.263288009402459e-08
1923,4.883336046646036e-08
1924,4.2542360745301266e-08
1925,8.248633776020142e-08
1926,6.018914433525424e-08
1927,5.0171511389862644e-08
1928,2.9707706517001498e-08
1929,4.3447585085232276e-08
1930,3.886333388436469e-08
1931,4.44808918587114e-08
1932,4.7126007984843454e-08
1933,5.6206243215228824e-08
1934,1.258065935871855e-07
1935,1.029272453934027e-07
1936,1.3822175048971985e-07
1937,4.5328025777280345e-08
1938,4.6674770715071645e-08
1939,6.72938256229827e-08
1940,2.028626333583361e-08
1941,5.60785480274717e-08
1942,8.799214157306778e-08
1943,3.4838823381733164e-08
1944,3.855823393905666e-08
1945,9.367567344042982e-08
1946,2.7842208538686464e-08
1947,5.364391952866754e-08
1948,2.8266908813634473e-08
1949,2.5524220959027843e-08
1950,6.274863295629984e-08
1951,3.838104589704017e-08
1952,3.268889159357968e-08
1953,3.232148060305917e-08
1954,4.0067398288101685e-08
1955,1.8771215692936494e-08
1956,3.488456457034772e-08
1957,4.59421976017893e-08
1958,2.6471179026543723e-08
1959,3.797866554577922e-08
1960,6.713208478004162e-08
1961,2.223410966450956e-08
1962,3.805173776072479e-08
1963,3.556329275511416e-08
1964,3.467862086381501e-08
1965,3.173785145804686e-08
1966,4.597432123887302e-08
1967,3.007504645324843e-08
1968,3.5931325470528463e-08
1969,6.449295852917203e-08
1970,3.54101814536989e-08
1971,4.213486093362917e-08
1972,3.5398013409349005e-08
1973,2.4809416743210022e-08
1974,2.0814615808717463e-08
1975,3.8838066984681063e-08
1976,3.25671045686704e-08
1977,3.173462204131283e-08
1978,3.089107636355948e-08
1979,3.2185852205657284e-08
1980,3.1268328370970266e-08
1981,3.479052068655619e-08
1982,3.289976291398489e-08
1983,2.462973291983417e-08
1984,2.2616132966390978e-08
1985,2.6468455871508922e-08
1986,3.6566362382473017e-08
1987,4.0942474299754394e-08
1988,2.338656024392094e-08
1989,3.0733485090195245e-08
1990,2.7788120249283565e-08
1991,1.934283488935762e-08
1992,2.1488782309120324e-08
1993,2.7696037463442735e-08
1994,2.0572214154412904e-08
1995,3.416144167545099e-08
1996,2.829188794351012e-08
1997,2.157702461147437e-08
1998,1.2397135762398648e-08
1999,1.6452723627935484e-08
2000,2.076474814316498e-08
2001,1.7086726700199506e-08
2002,2.4972962364699924e-08
2003,2.3334768783911386e-08
2004,2.7309706496225772e-08
2005,1.261049931144953e-08
2006,1.7706927479821388e-08
2007,1.3181781888249589e-08
2008,2.2138685551453818e-08
2009,2.1933685090402832e-08
2010,1.5588517143783065e-08
2011,1.8355065023456518e-08
2012,2.2127641940983267e-08
2013,2.5102124823206395e-08
2014,1.5591204771681078e-08
2015,1.3964425171764105e-08
2016,1.8434926474242275e-08
2017,1.2074934829797712e-08
2018,1.3939920329164579e-08
2019,1.785691416955615e-08
