year,soient_VERB avant_ADV,soient_VERB savants_ADJ
1800,0.0,0.0
1801,0.0,4.7623651688866175e-09
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,4.680253518074551e-09
1811,2.5070767684098882e-09,3.259199843341776e-08
1812,0.0,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,4.670620334934483e-09
1818,0.0,0.0
1819,3.1053151161586356e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,0.0,7.88919063410276e-09
1822,1.0025615893027862e-09,9.023054303725075e-09
1823,0.0,9.882686891060644e-10
1824,0.0,2.863178316658832e-08
1825,2.641632912414593e-09,7.044354433105582e-09
1826,1.7615968683770689e-09,9.688783109140786e-09
1827,9.217273055917019e-10,7.373818444733615e-09
1828,4.586150570418113e-09,4.586150570418113e-09
1829,0.0,1.2002446148073886e-08
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,0.0,4.677361609140007e-09
1832,8.117981842303834e-09,1.352996914505411e-08
1833,2.3167257001688313e-09,2.3167257001688313e-09
1834,1.3068342852307069e-08,1.8669061851994684e-09
1835,2.2689263801112247e-09,7.563087933704082e-09
1836,2.688300027031687e-09,0.0
1837,0.0,4.174734336004349e-09
1838,0.0,1.7674054220151447e-08
1839,6.9914751765765e-10,6.9914749545318955e-09
1840,1.2739377330817092e-09,9.554533164646273e-09
1841,1.2841097074556274e-09,8.988767952189392e-09
1842,8.049918065466954e-09,5.366612043644636e-09
1843,3.5441467538532834e-09,1.063243981747064e-08
1844,6.037417232818143e-09,6.586273748609983e-09
1845,1.1160455892778032e-09,1.674068439427856e-09
1846,7.025401593807601e-09,1.0538101946622191e-08
1847,0.0,1.294373674909366e-08
1848,8.045221711050488e-10,6.43617736884039e-09
1849,8.379414939696517e-10,4.1897072478036534e-09
1850,8.82569484161877e-09,2.0366988096043315e-09
1851,5.159551008659946e-09,3.8696632564949596e-09
1852,0.0,6.510545436100301e-09
1853,5.971931837933653e-10,1.0749477752369785e-08
1854,5.195664343204953e-09,2.5978321716024766e-09
1855,3.1841622671890946e-09,1.1144567935161831e-08
1856,1.2425253714809514e-08,9.318940286107136e-09
1857,4.881509085841174e-10,8.78671624349181e-09
1858,9.787352039936081e-10,9.787352039936081e-10
1859,0.0,5.092173349652285e-09
1860,9.154367819341758e-10,7.323494255473406e-09
1861,1.0846716413936974e-08,2.8295783494058924e-09
1862,2.2589932147099034e-09,1.0843167252971853e-08
1863,1.0988165932701577e-08,7.491931519609807e-09
1864,3.3563094525845827e-09,4.794727948009836e-10
1865,2.3534221238463715e-09,1.882737743486018e-09
1866,7.784980660119345e-09,7.784980660119345e-09
1867,1.455843445796745e-09,3.88224918879132e-09
1868,4.93987406535723e-10,2.4699371437009177e-09
1869,9.767038289254515e-10,5.860222973552709e-09
1870,9.747882501187632e-09,4.013834153937523e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,4.23313739617015e-09,1.3304146229131675e-08
1873,1.7958012854535355e-09,1.0176207432266438e-08
1874,0.0,2.9873046258899194e-09
1875,1.1443054281912168e-09,1.1443054281912168e-09
1876,6.04601479992084e-10,1.5115036333668286e-08
1877,1.2369632429454214e-08,1.8554447978047506e-09
1878,6.039088673581716e-10,1.268208649207736e-08
1879,2.443730107160036e-09,4.27652757650776e-09
1880,8.343199908722454e-09,6.417846254436199e-10
1881,5.5780060570498335e-09,6.2752567586699115e-09
1882,2.6621540527571597e-09,8.652000893505374e-09
1883,3.159669414998234e-09,5.0554711528150165e-09
1884,0.0,4.621187876807653e-09
1885,1.933690763067375e-09,1.933690763067375e-09
1886,5.808117542471791e-09,6.453463874400711e-10
1887,6.528924623161458e-10,1.3057849024278312e-08
1888,4.4384300679212174e-09,0.0
1889,4.385595886446936e-09,6.265136742733546e-10
1890,7.209825181320184e-09,1.9663159989136147e-09
1891,3.824531802365527e-09,0.0
1892,0.0,6.268512375839919e-10
1893,1.2316833108982905e-09,6.158416554491453e-10
1894,6.301539290376468e-10,0.0
1895,3.611168697403855e-09,6.018614495673091e-10
1896,0.0,3.5382172747233653e-09
1897,5.826713556089658e-10,2.9133566670225264e-09
1898,0.0,2.26334195829736e-09
1899,0.0,6.633094074004475e-09
1900,8.30568502863116e-09,1.5573159428683425e-09
1901,3.353243460679778e-09,4.470991132876634e-09
1902,7.365425602756659e-09,3.928227076954727e-09
1903,5.400220270956879e-09,1.0800440541913758e-09
1904,1.6123875568041512e-09,5.374625189347171e-09
1905,1.0321518084666081e-09,7.741138396966107e-09
1906,3.600929110447737e-09,1.1317205839134203e-08
1907,1.028568674676933e-09,3.599990305858114e-09
1908,1.964555629285769e-09,1.964555629285769e-09
1909,3.300590023513905e-09,1.6502950117569526e-09
1910,5.878565634276356e-09,8.550641084070776e-09
1911,1.5961122423746588e-09,2.6601871816467337e-09
1912,5.209421227725386e-10,5.730363294986773e-09
1913,1.060597942803554e-09,2.121195885607108e-09
1914,3.3483718020477227e-09,6.027069510139427e-09
1915,9.424609537234119e-09,2.3561523843085297e-09
1916,0.0,6.592477230782379e-09
1917,2.1932848870420685e-09,1.4256351654751143e-08
1918,2.2972752589112133e-09,3.44591288836682e-09
1919,1.8415696745321952e-09,0.0
1920,8.329454459499175e-09,5.300562211374427e-09
1921,3.7863738810983705e-09,4.543648568500203e-09
1922,2.2133805899215986e-09,0.0
1923,3.1847844361720945e-09,4.246379248229459e-09
1924,2.578324886925998e-09,1.289162443462999e-09
1925,1.0998177923937646e-09,4.399271169575059e-09
1926,2.229227691330493e-09,2.229227691330493e-09
1927,0.0,4.4596899506643695e-09
1928,2.2852082448565625e-09,2.2852082448565625e-09
1929,1.1140406375176326e-09,1.1140406375176326e-09
1930,6.302162347537887e-09,2.100720708497761e-09
1931,1.1405356659111021e-09,1.1405356659111021e-09
1932,3.287861094491973e-09,1.0959536611565568e-09
1933,2.2941324395731044e-09,3.4411986593596566e-09
1934,0.0,7.188948103475923e-09
1935,3.590485242455088e-09,1.196828414151696e-09
1936,3.6374143697059935e-09,2.424942913137329e-09
1937,5.0364472592434595e-09,0.0
1938,1.2965214457594243e-09,6.482607339819424e-09
1939,6.117620188206274e-09,0.0
1940,1.0143131667916805e-08,0.0
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,0.0,1.1612940831184915e-08
1944,0.0,1.2852744646352221e-08
1945,0.0,0.0
1946,5.568441707737293e-09,1.3921104269343232e-09
1947,1.1920870957027319e-09,8.344609447874518e-09
1948,0.0,4.348755133776194e-09
1949,4.908504269707237e-09,4.908504269707237e-09
1950,3.190608444114673e-09,4.2541445921528975e-09
1951,7.462981344019681e-09,4.264560704569931e-09
1952,1.0544803918932644e-09,1.1599284199803606e-08
1953,1.0773827385790469e-09,1.0773827385790469e-09
1954,9.772536113672459e-10,3.9090144454689835e-09
1955,2.815682353940474e-09,0.0
1956,4.360570571293465e-09,1.744228317335228e-09
1957,8.835037701437898e-10,7.068030161150318e-09
1958,8.272243445794913e-10,6.617794756635931e-09
1959,6.975672928177801e-09,9.300897829689347e-09
1960,4.152500121534786e-09,1.038124963770315e-08
1961,3.47407969059077e-09,4.86371165564492e-09
1962,6.341956293454132e-09,7.610347907416326e-09
1963,4.526237162849611e-09,5.1728425987107585e-09
1964,3.041984220075733e-09,6.083968329129164e-10
1965,6.5664522708175355e-09,4.924839203113152e-09
1966,5.539074976468328e-09,3.8773522170743036e-09
1967,4.437302081328198e-09,5.916402479044791e-09
1968,3.5931326802796093e-09,5.838840522187638e-09
1969,1.8167031212712459e-09,4.087581828571274e-09
1970,4.598724956395017e-09,4.1388523719376735e-09
1971,4.1107179882260425e-09,4.1107179882260425e-09
1972,6.156176013405457e-09,0.0
1973,4.9618833486420044e-09,6.064523994098181e-09
1974,2.812785782069227e-09,4.500457340128605e-09
1975,5.140332159925265e-09,3.998036124386317e-09
1976,2.856763492431469e-09,2.856763492431469e-09
1977,3.526069214387917e-09,5.876781727920388e-09
1978,3.5643548113029055e-09,4.158414057542359e-09
1979,4.096381456264453e-09,4.096381456264453e-09
1980,4.548120546843393e-09,5.685150683554241e-10
1981,6.325549417596221e-09,3.1627747087981106e-09
1982,6.828252629986764e-09,4.345251713999687e-09
1983,5.68378455412244e-09,3.157658134966823e-09
1984,1.739702604197646e-09,2.8995041922996734e-09
1985,1.2031116103372597e-09,1.2632671797518924e-08
1986,2.997242676272549e-09,1.019062523255343e-08
1987,6.110816741511371e-09,1.0388388815840699e-08
1988,5.99655392008458e-09,2.398621523624911e-09
