year,tout_DET or_NOUN,tout_DET sort_NOUN
1800,9.432493452976587e-09,4.0874138740321087e-08
1801,4.286128785224719e-08,4.286128607589035e-08
1802,2.4616241489638924e-08,2.6854081625060644e-08
1803,4.290746380419819e-08,2.925508790774245e-08
1804,1.9774807569206132e-08,8.15710812229753e-08
1805,2.842877755426798e-08,6.538618890772341e-08
1806,4.3225035994964855e-08,7.780506372512264e-08
1807,1.9928686256776018e-08,1.4234776024579787e-08
1808,2.4926814390369145e-08,4.985362700438145e-08
1809,8.35841271751292e-08,2.484933525614963e-08
1810,1.8721014516387413e-08,6.084329662314758e-08
1811,4.512738271955641e-08,3.008492122091866e-08
1812,1.8670456736202823e-08,2.9339290108509886e-08
1813,5.7514832008109806e-08,1.7254450312975678e-08
1814,2.2026739543434815e-08,2.8320092937406116e-08
1815,2.6972236000233352e-08,2.6972236000233352e-08
1816,3.476405829871965e-08,1.1588019432906549e-08
1817,3.89218364205135e-08,5.137682212996708e-08
1818,3.21871784780825e-08,6.318224143875284e-08
1819,3.415846616672269e-08,5.279035342198313e-08
1820,2.0173017922786585e-08,6.051905288018133e-08
1821,1.6764530097468366e-08,7.494730791535176e-08
1822,2.4061478143266868e-08,4.110502516141423e-08
1823,6.819054299000982e-08,4.150728438734319e-08
1824,1.7684337549894735e-08,4.968456490672679e-08
1825,7.132408930132783e-08,5.107156919592626e-08
1826,2.6423953580767545e-08,2.3781558500246547e-08
1827,1.4747637222534138e-08,1.5669363917503176e-08
1828,2.5682442839070063e-08,5.870272679064925e-08
1829,9.430493719264632e-09,6.344150271786475e-08
1830,2.5048406016026092e-08,7.827626546941246e-08
1831,7.951515157422762e-08,2.9623292263636358e-08
1832,1.0823975493678972e-08,6.900284432731496e-08
1833,4.865124036967927e-08,6.023486864847882e-08
1834,4.013848342587778e-08,5.507373068702748e-08
1835,2.7227116561334697e-08,5.294161553592858e-08
1836,2.0834324654384062e-08,3.696412509412994e-08
1837,4.3834712526447106e-08,6.818733311320102e-08
1838,4.418513199766494e-08,7.700837478807898e-08
1839,1.1466019300687691e-07,7.201219354158184e-08
1840,3.7581163736533085e-08,5.350538634374402e-08
1841,3.467096254539115e-08,5.457466478731021e-08
1842,5.2324466537356784e-08,5.903273336826942e-08
1843,3.3078700778510495e-08,7.26550082319477e-08
1844,2.1405388628270572e-08,6.970472732348298e-08
1845,3.459741143574391e-08,6.026646071077835e-08
1846,2.868705673009231e-08,8.254846939337313e-08
1847,3.289866423727972e-08,5.4471557930924064e-08
1848,1.850401076808339e-08,2.8158275489076345e-08
1849,1.5920888163378777e-08,3.85453096107824e-08
1850,2.5798185809833285e-08,6.381656536547098e-08
1851,2.257303544084266e-08,4.8370788929830155e-08
1852,3.711010876372711e-08,4.4922762398869054e-08
