year,fallut_VERB ôter_VERB,fallut_VERB sauter_VERB
1800,0.0,0.0
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,7.801356893821776e-09,1.950339223455444e-09
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,3.200649700829672e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,2.0858434979231788e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,1.5497530370112145e-08,2.026600220972341e-08
1819,1.9666995143552413e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,5.9168927535324656e-09,2.9584463767662328e-09
1822,3.208197085768916e-08,0.0
1823,4.249555374258307e-08,0.0
1824,6.736890156844311e-09,0.0
1825,1.0566531649658373e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,1.1060727445055818e-08,0.0
1828,1.2841221419535032e-08,0.0
1829,1.457439946506156e-08,9.430493719264632e-09
1830,7.305785310052215e-09,0.0
1831,9.354723218280014e-09,0.0
1832,4.058990921151917e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,6.534171426153534e-09,2.8003592777992026e-09
1835,2.647080776796429e-08,0.0
1836,1.008112526790228e-08,6.720750067579218e-10
1837,9.045257876039159e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,5.5931801412612e-09,0.0
1840,5.095750932326837e-09,4.458782232319436e-09
1841,7.704658244733764e-09,8.988767952189392e-09
1842,1.0733224087289273e-08,8.720745015011744e-09
1843,8.860366662588604e-09,4.7255288571079745e-09
1844,6.037417232818143e-09,4.390849017710252e-09
1845,5.022205318283568e-09,3.9061593959388574e-09
1846,1.1709002656346001e-08,1.7563503984519002e-09
1847,7.550513103637968e-09,0.0
1848,7.24069959545659e-09,2.413566457803995e-09
1849,7.54147322368226e-09,0.0
1850,5.431196825611551e-09,2.7155984128057753e-09
1851,1.2898877521649865e-09,0.0
1852,3.2552727180501506e-09,1.3021090872200602e-09
1853,2.388772735173461e-09,3.5831591027601917e-09
1854,3.117398783558656e-09,4.1565315633818045e-09
1855,6.368324534378189e-09,0.0
1856,1.0872097000458325e-08,6.73034605824796e-09
1857,1.3668225662399891e-08,1.9526036343364694e-09
1858,1.5170396494568195e-08,7.829881631948865e-09
1859,4.073738679721828e-09,2.036869339860914e-09
1860,9.612086238064421e-09,4.577183909670879e-10
1861,9.903524222920623e-09,4.715963730639317e-10
1862,1.8975542914745347e-08,9.035972525772706e-10
