year,tout_ADV sans_ADP
1800,1.82047119778872e-06
1801,1.9382825939828763e-06
1802,1.7320883216598304e-06
1803,2.1044161258032545e-06
1804,2.1208481939538615e-06
1805,2.4306605155288707e-06
1806,2.64537220573402e-06
1807,2.4768510229478125e-06
1808,2.531204700062517e-06
1809,2.030868472502334e-06
1810,3.227034767405712e-06
1811,2.188678081438411e-06
1812,1.8937178083433537e-06
1813,1.6794331259006867e-06
1814,1.5513118114540703e-06
1815,1.2919700793645461e-06
1816,1.5481593891308876e-06
1817,1.7997456325247185e-06
1818,1.5998219851098838e-06
1819,2.0008578758279327e-06
1820,1.924743173731258e-06
1821,1.7444972399971448e-06
1822,2.0351999410195276e-06
1823,1.716622705316695e-06
1824,1.8804344108502846e-06
1825,1.8535457684265566e-06
1826,1.7122721374107641e-06
1827,2.1181292595429113e-06
1828,1.8977491436089622e-06
1829,2.1210037175478647e-06
1830,1.931858378156903e-06
1831,1.527938252365857e-06
1832,1.8319578884984367e-06
1833,1.5047133956613834e-06
1834,1.8781075823426363e-06
1835,1.8257294414070202e-06
1836,1.9853096091537736e-06
1837,1.8466242863723892e-06
1838,1.8519882587497705e-06
1839,1.600348696229048e-06
1840,1.7255487136935699e-06
1841,1.5280905927284039e-06
1842,1.5120428997761337e-06
1843,1.5948660347930854e-06
1844,1.611990455785417e-06
1845,1.6171500192285748e-06
1846,1.4993378272265545e-06
1847,1.7085732224586536e-06
1848,1.339529376309656e-06
1849,1.4353937558553298e-06
1850,1.4935791341486038e-06
1851,1.5504450630032807e-06
1852,1.7292009033553768e-06
1853,1.4529709915223066e-06
1854,1.6740431192374672e-06
1855,1.451978050681646e-06
1856,1.5914679352135863e-06
1857,1.659713120716333e-06
1858,1.4612517134082736e-06
1859,1.4095136293690302e-06
1860,1.4180116068018833e-06
1861,1.6769967032814748e-06
1862,1.4778332797504845e-06
1863,1.5068770835569012e-06
1864,1.4782145854042028e-06
1865,1.639864535718516e-06
1866,1.5175846783677116e-06
1867,1.4014919997862307e-06
1868,1.4434311879085726e-06
1869,1.4777529031562153e-06
1870,1.352662138742744e-06
1871,1.1980688441326492e-06
1872,1.376979184897209e-06
1873,1.1798414334407425e-06
1874,1.3705753190151881e-06
1875,1.4052070582692977e-06
1876,1.2503159041443723e-06
1877,1.2858232594226138e-06
1878,1.1800378842963255e-06
1879,1.3709326367461472e-06
1880,1.721266357890272e-06
1881,1.2104272855140152e-06
1882,1.2412293699526344e-06
1883,1.1848760550492443e-06
1884,1.3203393791627605e-06
1885,1.1859970072691794e-06
1886,1.1867920193253667e-06
1887,1.2019750101899263e-06
1888,1.173647774521669e-06
1889,1.1321102419969975e-06
1890,1.1234218391109607e-06
1891,1.0160506462852936e-06
1892,1.4054004395802622e-06
1893,1.107283310375351e-06
1894,1.0838647312993999e-06
1895,1.218769398292352e-06
1896,1.0007257742472575e-06
1897,1.0470604365764302e-06
1898,9.715395208331756e-07
1899,1.0303406270395499e-06
1900,9.333513730780396e-07
1901,1.0305634532414842e-06
1902,9.07911498870817e-07
1903,9.304579293711868e-07
1904,9.389470392306976e-07
1905,9.511279017715424e-07
1906,1.0134043577636476e-06
1907,9.838258847594261e-07
1908,9.68525910138851e-07
1909,9.863263130682753e-07
1910,9.469835049458197e-07
1911,9.608595519239316e-07
1912,8.892482128430856e-07
1913,8.638569966024079e-07
1914,8.80621826127026e-07
1915,8.140506224663113e-07
1916,8.119734502542997e-07
1917,7.873892968746077e-07
1918,8.316136472785729e-07
1919,7.550435725534044e-07
1920,8.253732630691957e-07
1921,7.428865274050622e-07
1922,7.761587994536967e-07
1923,7.558555239484122e-07
1924,7.992807127266133e-07
1925,8.468596774946491e-07
1926,7.445620440194034e-07
1927,8.272724585367541e-07
1928,7.803986363796866e-07
1929,8.578113011026289e-07
1930,8.7705092255419e-07
1931,8.976015806183568e-07
1932,6.685317543997371e-07
1933,6.274452175603074e-07
1934,6.709684612360434e-07
1935,7.803321295796195e-07
1936,1.033025682772859e-06
1937,9.833663625613553e-07
1938,1.1176015277669649e-06
1939,1.5615225947840372e-06
1940,1.0320636647520587e-06
1941,9.858018756858655e-07
1942,7.646213475709374e-07
1943,8.041961336857639e-07
1944,8.868393592820212e-07
1945,7.755474484838487e-07
1946,6.918788812981802e-07
1947,8.022745987545932e-07
1948,6.697082994833181e-07
1949,6.204349460858793e-07
1950,6.38121662177582e-07
1951,6.620730346185155e-07
1952,6.927936055944883e-07
1953,6.615130132558988e-07
1954,7.309856755455257e-07
1955,5.621978971248609e-07
1956,5.947818522145099e-07
1957,5.866464789505699e-07
1958,6.427533207897795e-07
1959,6.541631023537775e-07
1960,5.778895797448058e-07
1961,7.114915092643059e-07
1962,6.037542448211752e-07
1963,6.711763376188173e-07
1964,6.966143928366364e-07
1965,7.190265023382381e-07
1966,6.286849725256616e-07
1967,6.843305868642346e-07
1968,7.231179779410013e-07
1969,7.766406042719609e-07
1970,7.229195944091771e-07
1971,6.906006433382572e-07
1972,6.38190272184147e-07
