year,envoyant_VERB en_ADP,envoyant_VERB sans_ADP
1800,4.087413785214267e-08,3.144164484325529e-09
1801,4.524246932646747e-08,0.0
1802,6.042168365638645e-08,2.0140561218795483e-08
1803,1.5602713787643552e-08,1.3652374342143503e-08
1804,6.673997887673977e-08,4.943701892301533e-09
1805,8.24434565060983e-08,0.0
1806,1.152667650217154e-08,1.152667650217154e-08
1807,8.256169792275614e-08,2.8469551160981155e-09
1808,9.744118134591417e-08,4.5321479902327155e-09
1809,6.777091243748146e-08,1.8072244145628247e-08
1810,4.44624070894406e-08,4.680253518074551e-09
1811,1.504246114336638e-07,0.0
1812,5.067695596494559e-08,2.6672082320544632e-09
1813,6.039057609541487e-08,0.0
1814,7.552024783308298e-08,0.0
1815,1.1867783911156948e-07,8.091670444798638e-09
1816,6.257530316133852e-08,1.3905623319487859e-08
1817,3.7364962679475866e-08,1.556873407970727e-09
1818,7.74876554032744e-08,3.5763532135746345e-09
1819,9.522965882524659e-08,1.035105001712111e-09
1820,7.475883023744245e-08,3.797273961936298e-08
1821,9.2697987952306e-08,0.0
1822,1.0727409005539812e-07,0.0
1823,1.096978223813494e-07,8.894418535021487e-09
1824,1.3221146843989118e-07,2.5263338088166165e-09
1825,9.245714949202011e-08,3.522177216552791e-09
1826,1.0129181760021311e-07,2.642395191543301e-09
1827,1.2996355280847638e-07,0.0
1828,7.154395120778645e-08,0.0
1829,9.173298565201549e-08,1.714635211591542e-09
1830,8.140732177253085e-08,9.39315203396518e-09
1831,4.365537620287796e-08,0.0
1832,6.3590853471851e-08,0.0
1833,5.79181431703546e-08,2.20088942626262e-08
1834,7.000897994657862e-08,1.8669061851994684e-09
1835,6.731148260996633e-08,7.563087933704082e-10
1836,1.3038255319841596e-07,6.048674894287842e-09
1837,1.1271783506572319e-07,4.87052354003481e-09
1838,1.3508027052466787e-07,8.2058102535143e-09
1839,1.3843120427736721e-07,1.0487212875887053e-08
1840,8.025807574085775e-08,8.917564464638872e-09
1841,8.025685360735224e-08,3.2102742686390684e-09
1842,8.921992211696761e-08,4.695785538189057e-09
1843,6.025049370528279e-08,2.3627644285539873e-09
