year,tout_ADV avant_ADV,tout_ADV savants_ADJ
1800,0.0,0.0
1801,3.095537337571841e-08,0.0
1802,4.475680270843441e-09,0.0
1803,7.801356671777171e-09,1.950339223455444e-09
1804,1.7302956178966156e-08,0.0
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,6.571614363792833e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,3.008491944456182e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,2.4275012222574333e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,9.315945015409e-09,0.0
1820,2.0173017034608165e-08,0.0
1821,7.88919063410276e-09,9.86148829262845e-10
1822,1.0025615893027862e-08,4.010246357211145e-09
1823,0.0,9.882686891060644e-10
1824,9.263223965660927e-09,1.6842225392110777e-09
1825,1.8491430608946757e-08,5.283265824829186e-09
1826,1.76159691278599e-08,7.927186018719112e-09
1827,0.0,1.8434546111834038e-09
1828,4.769596628761974e-08,1.8344602503717056e-09
1829,5.143905745796928e-09,9.430493719264632e-09
1830,5.218417697960831e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,6.764984572527055e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,1.8669061851994684e-09,1.8669061851994684e-09
1835,6.050470346963266e-09,1.5126175867408165e-09
1836,1.6129800772812786e-08,1.3441500135158435e-09
1837,3.270208637218275e-08,2.0873671680021744e-09
1838,1.2624323808552163e-09,3.1560809521380406e-09
1839,3.49573756608379e-08,3.4957374772659477e-09
1840,3.567025697037707e-08,1.0828470564661075e-08
1841,2.760835826620678e-08,0.0
1842,3.957876337778998e-08,1.341653010911159e-09
1843,7.088293119128508e-09,1.7720733769266417e-09
1844,3.841992946007622e-09,2.195424508855126e-09
1845,1.674068439427856e-09,6.138250907561371e-09
1846,3.5127007969038004e-09,1.7563503984519002e-09
1847,4.314578916364553e-09,2.6966118227278457e-09
1848,8.045221711050488e-10,4.02261068899179e-09
1849,2.0110596077316245e-08,2.513824481908955e-09
1850,2.5119284430275002e-08,1.425689166723032e-08
1851,3.8696632564949596e-09,1.9348316282474798e-09
1852,6.510545436100301e-10,1.9531636308300904e-09
1853,4.777545470346922e-09,5.971931837933653e-09
1854,3.117398617025202e-09,0.0
1855,1.5920811335945473e-09,1.0613874223963649e-09
1856,8.283502495043393e-09,5.177189232874468e-10
1857,3.4170563045776703e-09,2.9289055625270066e-09
1858,1.3212924865335651e-08,3.4255731584664773e-09
1859,4.073738679721828e-09,4.582956236731661e-09
1860,5.034902272882391e-09,1.373155145145688e-09
1861,1.2733101961703852e-08,7.545541969022906e-09
1862,3.6143890103090826e-09,2.710791813242963e-09
1863,3.146611149418277e-08,2.4973103585068657e-09
1864,9.589455562952764e-09,2.8768367688059016e-09
1865,2.3534221793575227e-09,2.3534221238463715e-09
1866,5.352174092809747e-09,1.9462451650298362e-09
1867,1.067618526917613e-08,9.7056229719783e-10
1868,1.5807597009143137e-08,7.409810987013543e-09
1869,1.3185501579471293e-08,1.4650557433881772e-09
1870,1.204150290590178e-08,1.1468097582678638e-09
1871,2.7615060460561835e-08,0.0
1872,1.3304146673220885e-08,3.6284036886158333e-09
1873,1.316921005578564e-08,1.1972008939764578e-09
1874,5.377148226681783e-09,1.1949218281515073e-09
1875,1.2587359599081083e-08,1.1443054281912168e-09
1876,1.5115037221846706e-08,4.836811839936672e-09
1877,1.36065949618569e-08,8.040261012531857e-09
1878,3.321498698305447e-08,0.0
1879,2.016077393918181e-08,1.221865053580018e-09
1880,5.776061851037184e-09,3.8507077526617195e-09
1881,3.486253841167297e-09,2.091752326904839e-09
